game_id,game_time,away_team,home_team,bookmaker,fetched_at,last_update,away_spread,away_price,home_price
ac7881cc5a498c5b72680498d3fa8f6e,2025-12-19T01:15:00Z,Los Angeles Rams,Seattle Seahawks,draftkings,2025-12-16T02:38:39.774046+00:00,2025-12-16T02:37:53Z,-1.5,102,-122
ac7881cc5a498c5b72680498d3fa8f6e,2025-12-19T01:15:00Z,Los Angeles Rams,Seattle Seahawks,williamhill_us,2025-12-16T02:38:39.774046+00:00,2025-12-16T02:36:18Z,-1.0,-104,-117
ac7881cc5a498c5b72680498d3fa8f6e,2025-12-19T01:15:00Z,Los Angeles Rams,Seattle Seahawks,fanduel,2025-12-16T02:38:39.774046+00:00,2025-12-16T02:38:08Z,-1.5,-102,-120
ac7881cc5a498c5b72680498d3fa8f6e,2025-12-19T01:15:00Z,Los Angeles Rams,Seattle Seahawks,mybookieag,2025-12-16T02:38:39.774046+00:00,2025-12-16T02:38:07Z,-1.0,-110,-110
ac7881cc5a498c5b72680498d3fa8f6e,2025-12-19T01:15:00Z,Los Angeles Rams,Seattle Seahawks,betonlineag,2025-12-16T02:38:39.774046+00:00,2025-12-16T02:38:33Z,0.0,-110,-110
ac7881cc5a498c5b72680498d3fa8f6e,2025-12-19T01:15:00Z,Los Angeles Rams,Seattle Seahawks,lowvig,2025-12-16T02:38:39.774046+00:00,2025-12-16T02:38:32Z,0.0,-105,-105
ac7881cc5a498c5b72680498d3fa8f6e,2025-12-19T01:15:00Z,Los Angeles Rams,Seattle Seahawks,betus,2025-12-16T02:38:39.774046+00:00,2025-12-16T02:38:09Z,0.0,-110,-110
ac7881cc5a498c5b72680498d3fa8f6e,2025-12-19T01:15:00Z,Los Angeles Rams,Seattle Seahawks,betrivers,2025-12-16T02:38:39.774046+00:00,2025-12-16T02:38:21Z,-0.5,-113,-113
ac7881cc5a498c5b72680498d3fa8f6e,2025-12-19T01:15:00Z,Los Angeles Rams,Seattle Seahawks,betmgm,2025-12-16T02:38:39.774046+00:00,2025-12-16T02:37:52Z,-1.0,-110,-110
ac7881cc5a498c5b72680498d3fa8f6e,2025-12-19T01:15:00Z,Los Angeles Rams,Seattle Seahawks,fanatics,2025-12-16T02:38:39.774046+00:00,2025-12-16T02:38:07Z,-0.5,-110,-110
ac7881cc5a498c5b72680498d3fa8f6e,2025-12-19T01:15:00Z,Los Angeles Rams,Seattle Seahawks,bovada,2025-12-16T02:38:39.774046+00:00,2025-12-16T02:37:55Z,-1.0,-105,-115
