game_id,game_time,away_team,home_team,bookmaker,fetched_at,last_update,away_spread,away_price,home_price
ac7881cc5a498c5b72680498d3fa8f6e,2025-12-19T01:15:00Z,Los Angeles Rams,Seattle Seahawks,draftkings,2025-12-17T06:33:08.519932+00:00,2025-12-17T06:32:48Z,-1.5,102,-122
ac7881cc5a498c5b72680498d3fa8f6e,2025-12-19T01:15:00Z,Los Angeles Rams,Seattle Seahawks,williamhill_us,2025-12-17T06:33:08.519932+00:00,2025-12-17T06:32:22Z,-1.0,-102,-118
ac7881cc5a498c5b72680498d3fa8f6e,2025-12-19T01:15:00Z,Los Angeles Rams,Seattle Seahawks,fanduel,2025-12-17T06:33:08.519932+00:00,2025-12-17T06:33:05Z,-1.5,100,-122
ac7881cc5a498c5b72680498d3fa8f6e,2025-12-19T01:15:00Z,Los Angeles Rams,Seattle Seahawks,mybookieag,2025-12-17T06:33:08.519932+00:00,2025-12-17T06:32:49Z,-1.0,-110,-110
ac7881cc5a498c5b72680498d3fa8f6e,2025-12-19T01:15:00Z,Los Angeles Rams,Seattle Seahawks,betonlineag,2025-12-17T06:33:08.519932+00:00,2025-12-17T06:33:05Z,0.0,-112,-108
ac7881cc5a498c5b72680498d3fa8f6e,2025-12-19T01:15:00Z,Los Angeles Rams,Seattle Seahawks,lowvig,2025-12-17T06:33:08.519932+00:00,2025-12-17T06:32:48Z,0.0,-107,-103
ac7881cc5a498c5b72680498d3fa8f6e,2025-12-19T01:15:00Z,Los Angeles Rams,Seattle Seahawks,betus,2025-12-17T06:33:08.519932+00:00,2025-12-17T06:32:22Z,0.0,-110,-110
ac7881cc5a498c5b72680498d3fa8f6e,2025-12-19T01:15:00Z,Los Angeles Rams,Seattle Seahawks,betrivers,2025-12-17T06:33:08.519932+00:00,2025-12-17T06:31:04Z,0.0,-113,-113
ac7881cc5a498c5b72680498d3fa8f6e,2025-12-19T01:15:00Z,Los Angeles Rams,Seattle Seahawks,betmgm,2025-12-17T06:33:08.519932+00:00,2025-12-17T06:32:50Z,-1.0,-105,-115
ac7881cc5a498c5b72680498d3fa8f6e,2025-12-19T01:15:00Z,Los Angeles Rams,Seattle Seahawks,fanatics,2025-12-17T06:33:08.519932+00:00,2025-12-17T06:32:49Z,-0.5,-110,-110
