play_num,quarter,game_minute,cumulative_points,prob_over,prob_over_smooth
1,1,0.0000,0,0.4870,0.4426
2,1,0.3667,0,0.4690,0.4435
3,1,0.4167,0,0.4190,0.4430
4,1,0.5667,0,0.4300,0.4412
5,1,0.5667,0,0.4540,0.4379
6,1,0.8333,0,0.4420,0.4349
7,1,0.9333,0,0.4510,0.4323
8,1,0.9833,0,0.4140,0.4288
9,1,1.1333,0,0.4200,0.4267
10,1,1.2000,0,0.4400,0.4253
11,1,1.4833,0,0.4520,0.4227
12,1,1.6667,0,0.4380,0.4163
13,1,1.6667,0,0.4190,0.4106
14,1,1.6667,0,0.3960,0.4064
15,1,1.7000,0,0.3920,0.4026
16,1,1.9833,0,0.3940,0.3983
17,1,2.1000,0,0.3720,0.3911
18,1,2.1000,0,0.3920,0.3853
19,1,2.3333,0,0.3990,0.3799
20,1,2.7333,0,0.3740,0.3750
21,1,3.0333,0,0.3590,0.3728
22,1,3.2000,0,0.3550,0.3654
23,1,3.4333,0,0.3360,0.3623
24,1,3.4500,0,0.3530,0.3592
25,1,3.7500,0,0.3680,0.3561
26,1,4.0833,0,0.2980,0.3542
27,1,4.3000,0,0.3350,0.3522
28,1,4.3667,0,0.3050,0.3512
30,1,4.7167,1,0.3220,0.3482
31,1,4.7167,2,0.3960,0.3453
29,1,4.7167,0,0.3050,0.3440
32,1,4.8833,2,0.3760,0.3440
33,1,4.9167,2,0.3580,0.3438
34,1,4.9833,2,0.3330,0.3460
35,1,5.2833,2,0.3530,0.3459
36,1,5.3333,2,0.3540,0.3436
37,1,5.4667,2,0.3520,0.3445
38,1,5.5167,2,0.3330,0.3432
39,1,5.5667,2,0.3400,0.3442
40,1,5.6000,2,0.3490,0.3448
41,1,5.6667,2,0.3590,0.3408
42,1,5.7667,2,0.3520,0.3421
43,1,5.7667,2,0.3790,0.3388
44,1,5.9833,2,0.3510,0.3377
45,1,6.0333,2,0.3220,0.3378
49,1,6.2000,2,0.3160,0.3349
48,1,6.2000,2,0.3100,0.3325
46,1,6.2000,2,0.3240,0.3286
47,1,6.2000,2,0.3340,0.3266
50,1,6.4333,2,0.3160,0.3232
51,1,6.4667,2,0.3300,0.3203
52,1,6.5667,2,0.3120,0.3164
53,1,6.6000,2,0.3360,0.3131
54,1,6.6167,2,0.3350,0.3079
55,1,6.8833,2,0.2950,0.3044
56,1,6.9167,2,0.3040,0.3034
57,1,7.0333,2,0.2760,0.3011
58,1,7.4500,2,0.2930,0.2990
63,1,7.4833,2,0.2710,0.2959
64,1,7.4833,2,0.2900,0.2917
62,1,7.4833,2,0.2810,0.2890
59,1,7.4833,2,0.2880,0.2856
60,1,7.4833,2,0.2730,0.2825
61,1,7.4833,2,0.2830,0.2784
65,1,7.6833,2,0.3010,0.2720
66,1,7.7333,2,0.2710,0.2685
67,1,8.0167,2,0.2670,0.2656
68,1,8.1000,2,0.2620,0.2629
69,1,8.3833,2,0.2500,0.2603
70,1,8.4167,2,0.2620,0.2581
71,1,8.4333,2,0.2610,0.2546
72,1,8.5000,2,0.2500,0.2541
73,1,8.5000,2,0.2560,0.2545
74,1,8.6667,2,0.2050,0.2561
75,1,8.8833,2,0.2260,0.2565
76,1,8.9167,2,0.2450,0.2576
77,1,8.9833,2,0.2230,0.2599
78,1,9.2500,2,0.2410,0.2639
79,1,9.2500,2,0.2280,0.2662
80,1,9.2500,2,0.2190,0.2675
81,1,9.2500,3,0.2710,0.2700
82,1,9.2500,4,0.2960,0.2751
83,1,9.4667,4,0.3060,0.2794
84,1,9.4833,4,0.2890,0.2828
89,1,9.8000,5,0.3230,0.2909
88,1,9.8000,5,0.3170,0.2974
90,1,9.8000,6,0.3470,0.3029
86,1,9.8000,5,0.3090,0.3089
85,1,9.8000,4,0.2750,0.3144
87,1,9.8000,5,0.3130,0.3191
91,1,9.9833,6,0.3630,0.3247
92,1,9.9833,6,0.3370,0.3267
93,1,9.9833,6,0.3220,0.3281
94,1,9.9833,6,0.3690,0.3276
95,1,10.2500,6,0.3540,0.3282
96,1,10.2500,6,0.3570,0.3271
97,1,10.2500,6,0.3420,0.3265
98,1,10.5333,6,0.3510,0.3254
99,1,10.8833,6,0.3210,0.3248
100,1,10.9167,6,0.3320,0.3251
102,1,11.0567,6,0.3120,0.3247
103,1,11.0567,6,0.3220,0.3214
101,1,11.0567,6,0.2980,0.3195
104,1,11.2783,6,0.3010,0.3179
105,1,11.2783,6,0.3000,0.3128
106,1,11.2783,6,0.3050,0.3093
107,1,11.2783,6,0.3250,0.3047
108,1,11.4383,6,0.2980,0.3006
109,1,11.4383,6,0.2790,0.2957
