play_num,quarter,game_minute,cumulative_points,prob_over
1,1,0.0000,0,0.5110
2,1,0.1333,0,0.4740
3,1,0.5500,0,0.4760
4,1,0.6167,0,0.4770
5,1,0.8833,2,0.6040
6,1,1.2500,2,0.5590
7,1,1.5833,2,0.5720
8,1,1.6667,2,0.5340
9,1,1.7833,2,0.5800
10,1,2.0500,2,0.5340
11,1,2.0500,2,0.5960
12,1,2.0500,2,0.5140
13,1,2.0500,2,0.5560
14,1,2.2167,2,0.5660
15,1,2.5333,2,0.5220
16,1,2.5833,2,0.5640
17,1,2.9000,2,0.5440
18,1,2.9333,2,0.5190
19,1,3.0500,2,0.5390
20,1,3.3833,2,0.5410
21,1,3.4333,2,0.5330
22,1,3.4333,2,0.5180
23,1,3.7833,2,0.5370
24,1,4.0500,2,0.5030
25,1,4.4000,2,0.5040
26,1,4.5333,2,0.5230
27,1,4.6000,2,0.4830
28,1,4.8167,2,0.5040
29,1,5.1500,2,0.5030
30,1,5.5167,2,0.5000
31,1,5.5167,2,0.4700
32,1,5.5167,2,0.4770
33,1,5.5167,2,0.4770
34,1,5.5167,2,0.4870
35,1,5.6833,2,0.4810
36,1,6.0500,2,0.4720
37,1,6.1167,2,0.4660
38,1,6.2667,2,0.4610
39,1,6.3167,2,0.4730
40,1,6.3167,2,0.4720
41,1,6.3167,2,0.4470
42,1,6.5833,2,0.4630
43,1,6.8167,2,0.4570
44,1,6.8167,2,0.4430
45,1,6.8167,2,0.4500
46,1,6.8167,2,0.4550
47,1,7.0500,2,0.4560
48,1,7.2000,2,0.4560
49,1,7.2500,2,0.4330
50,1,7.3833,2,0.4410
51,1,7.3833,2,0.4290
52,1,7.5000,2,0.3990
53,1,7.6167,2,0.4470
54,1,7.6167,2,0.4410
55,1,7.6167,2,0.4420
56,1,7.6333,2,0.4230
57,1,7.8833,2,0.4290
58,1,7.9500,2,0.4440
59,1,8.1500,2,0.4500
60,1,8.4167,2,0.4010
61,1,8.4667,2,0.4090
62,1,8.4833,2,0.4020
63,1,8.4833,2,0.4270
64,1,8.5333,2,0.3900
65,1,8.6000,2,0.3940
66,1,8.8000,2,0.3910
67,1,8.8333,2,0.3800
68,1,8.8333,2,0.3880
69,1,9.0667,2,0.4210
70,1,9.1167,2,0.4110
71,1,9.1833,2,0.3780
72,1,9.1833,2,0.3920
73,1,9.1833,2,0.3900
74,1,9.1833,2,0.3770
75,1,9.1833,2,0.4160
76,1,9.1833,2,0.3720
77,1,9.1833,2,0.3940
78,1,9.3500,2,0.3590
79,1,9.4500,2,0.3870
80,1,9.8333,2,0.3780
81,1,10.1167,2,0.3670
82,1,10.2667,2,0.3600
83,1,10.5000,2,0.3820
84,1,10.5333,2,0.3430
85,1,10.6500,2,0.3620
86,1,10.7000,2,0.3340
87,1,10.8833,2,0.3470
88,1,11.0267,2,0.3430
89,1,11.1467,2,0.3430
90,1,11.4067,2,0.3190
91,1,11.4583,2,0.3390
92,1,11.4583,2,0.3450
93,1,11.4583,2,0.3340
94,1,11.4583,2,0.3290
95,1,11.4850,2,0.3290
96,1,11.7950,2,0.3220
102,2,12.0000,2,0.3400
101,2,12.0000,2,0.3260
100,2,12.0000,2,0.3220
98,2,12.0000,2,0.3390
97,1,12.0000,2,0.2830
99,2,12.0000,2,0.2820
103,2,12.1667,2,0.2990
104,2,12.2500,2,0.3010
105,2,12.5167,2,0.2990
106,2,12.7500,2,0.2910
107,2,13.0000,2,0.3030
108,2,13.0833,2,0.2760
109,2,13.2000,2,0.2660
110,2,13.2667,2,0.2730
111,2,13.3667,2,0.2530
112,2,13.5833,2,0.2720
113,2,13.6333,2,0.2690
114,2,13.7500,2,0.2730
115,2,13.7500,2,0.2480
116,2,13.8667,2,0.2530
117,2,13.9333,2,0.2520
118,2,13.9833,2,0.2440
119,2,13.9833,2,0.2480
120,2,13.9833,2,0.2520
121,2,14.1833,2,0.2510
122,2,14.1833,2,0.2270
123,2,14.1833,2,0.2560
124,2,14.3833,2,0.2350
125,2,14.5167,2,0.2320
126,2,14.5500,2,0.2240
127,2,14.6167,2,0.2230
128,2,14.8167,2,0.2290
129,2,14.9500,2,0.1840
130,2,14.9500,2,0.2270
131,2,15.0833,2,0.2200
132,2,15.0833,2,0.2110
133,2,15.0833,2,0.2150
134,2,15.2167,2,0.1920
135,2,15.5500,2,0.1880
136,2,15.6167,2,0.1950
137,2,15.6500,2,0.1700
138,2,15.6500,2,0.1760
141,2,15.6667,2,0.1810
142,2,15.6667,2,0.1830
139,2,15.6667,2,0.1600
140,2,15.6667,2,0.1750
143,2,15.9333,2,0.1880
144,2,16.1833,2,0.1610
145,2,16.3667,2,0.1620
146,2,16.4167,2,0.1540
147,2,16.4833,2,0.1600
148,2,16.4833,2,0.1630
149,2,16.4833,2,0.1520
150,2,16.4833,2,0.1580
151,2,16.7167,2,0.1430
152,2,16.7167,2,0.1410
153,2,16.7167,2,0.1370
155,2,16.9667,2,0.1540
154,2,16.9667,2,0.1380
156,2,17.0000,2,0.1140
157,2,17.0667,2,0.1370
158,2,17.2833,2,0.1280
159,2,17.3667,2,0.1180
160,2,17.4500,2,0.1190
161,2,17.6500,2,0.1190
162,2,17.9833,2,0.0910
163,2,18.0000,2,0.1090
164,2,18.1000,2,0.1080
165,2,18.1000,2,0.0980
166,2,18.1000,2,0.0920
167,2,18.1000,2,0.0860
168,2,18.1000,2,0.0980
173,2,18.3333,2,0.0890
172,2,18.3333,2,0.0910
