player,game,game_time,market,line,bookmaker,under_odds,over_odds
Cameron Johnson,New York Knicks @ Brooklyn Nets,2025-01-22T00:40:00Z,player_threes,2.5,draftkings,124,-160
Mikal Bridges,New York Knicks @ Brooklyn Nets,2025-01-22T00:40:00Z,player_threes,2.5,draftkings,-145,114
Noah Clowney,New York Knicks @ Brooklyn Nets,2025-01-22T00:40:00Z,player_threes,2.5,draftkings,-160,124
Jalen Brunson,New York Knicks @ Brooklyn Nets,2025-01-22T00:40:00Z,player_threes,1.5,draftkings,140,-180
Karl-Anthony Towns,New York Knicks @ Brooklyn Nets,2025-01-22T00:40:00Z,player_threes,1.5,draftkings,114,-145
OG Anunoby,New York Knicks @ Brooklyn Nets,2025-01-22T00:40:00Z,player_threes,1.5,draftkings,110,-140
Miles McBride,New York Knicks @ Brooklyn Nets,2025-01-22T00:40:00Z,player_threes,1.5,draftkings,-145,114
Josh Hart,New York Knicks @ Brooklyn Nets,2025-01-22T00:40:00Z,player_threes,0.5,draftkings,160,-210
Precious Achiuwa,New York Knicks @ Brooklyn Nets,2025-01-22T00:40:00Z,player_threes,0.5,williamhill_us,-554,334
Jalen Brunson,New York Knicks @ Brooklyn Nets,2025-01-22T00:40:00Z,player_threes,1.5,williamhill_us,143,-199
Mikal Bridges,New York Knicks @ Brooklyn Nets,2025-01-22T00:40:00Z,player_threes,2.5,williamhill_us,-133,-103
Karl-Anthony Towns,New York Knicks @ Brooklyn Nets,2025-01-22T00:40:00Z,player_threes,1.5,williamhill_us,100,-137
OG Anunoby,New York Knicks @ Brooklyn Nets,2025-01-22T00:40:00Z,player_threes,1.5,williamhill_us,112,-154
Cameron Johnson,New York Knicks @ Brooklyn Nets,2025-01-22T00:40:00Z,player_threes,3.5,williamhill_us,-174,126
Miles McBride,New York Knicks @ Brooklyn Nets,2025-01-22T00:40:00Z,player_threes,1.5,williamhill_us,-137,100
Noah Clowney,New York Knicks @ Brooklyn Nets,2025-01-22T00:40:00Z,player_threes,2.5,williamhill_us,-174,126
Josh Hart,New York Knicks @ Brooklyn Nets,2025-01-22T00:40:00Z,player_threes,0.5,williamhill_us,159,-224
Miles McBride,New York Knicks @ Brooklyn Nets,2025-01-22T00:40:00Z,player_threes,1.5,betonlineag,-135,105
Jalen Brunson,New York Knicks @ Brooklyn Nets,2025-01-22T00:40:00Z,player_threes,1.5,betonlineag,140,-185
Cameron Johnson,New York Knicks @ Brooklyn Nets,2025-01-22T00:40:00Z,player_threes,3.5,betonlineag,-172,132
Josh Hart,New York Knicks @ Brooklyn Nets,2025-01-22T00:40:00Z,player_threes,0.5,betonlineag,169,-227
Noah Clowney,New York Knicks @ Brooklyn Nets,2025-01-22T00:40:00Z,player_threes,2.5,betonlineag,-179,136
OG Anunoby,New York Knicks @ Brooklyn Nets,2025-01-22T00:40:00Z,player_threes,1.5,betonlineag,111,-145
Precious Achiuwa,New York Knicks @ Brooklyn Nets,2025-01-22T00:40:00Z,player_threes,0.5,betonlineag,-500,334
Mikal Bridges,New York Knicks @ Brooklyn Nets,2025-01-22T00:40:00Z,player_threes,2.5,betonlineag,-141,109
Karl-Anthony Towns,New York Knicks @ Brooklyn Nets,2025-01-22T00:40:00Z,player_threes,1.5,betonlineag,107,-139
D'Angelo Russell,New York Knicks @ Brooklyn Nets,2025-01-22T00:40:00Z,player_threes,1.5,betonlineag,134,-175
Cameron Johnson,New York Knicks @ Brooklyn Nets,2025-01-22T00:40:00Z,player_threes,3.5,betmgm,-165,125
OG Anunoby,New York Knicks @ Brooklyn Nets,2025-01-22T00:40:00Z,player_threes,1.5,betmgm,110,-150
Noah Clowney,New York Knicks @ Brooklyn Nets,2025-01-22T00:40:00Z,player_threes,2.5,betmgm,-185,135
Josh Hart,New York Knicks @ Brooklyn Nets,2025-01-22T00:40:00Z,player_threes,0.5,betmgm,165,-225
