player,game,game_time,market,line,bookmaker,bookmaker_last_update,market_last_update,over_odds,under_odds
Franz Wagner,Boston Celtics @ Orlando Magic,2025-11-08T00:10:00Z,player_threes,1.5,fanduel,2025-11-07T14:55:01Z,2025-11-07T14:54:23Z,-114,-114
Derrick White,Boston Celtics @ Orlando Magic,2025-11-08T00:10:00Z,player_threes,2.5,fanduel,2025-11-07T14:55:01Z,2025-11-07T14:54:23Z,-140,106
Sam Hauser,Boston Celtics @ Orlando Magic,2025-11-08T00:10:00Z,player_threes,2.5,fanduel,2025-11-07T14:55:01Z,2025-11-07T14:54:23Z,140,-188
Payton Pritchard,Boston Celtics @ Orlando Magic,2025-11-08T00:10:00Z,player_threes,2.5,fanduel,2025-11-07T14:55:01Z,2025-11-07T14:54:23Z,-138,104
Paolo Banchero,Boston Celtics @ Orlando Magic,2025-11-08T00:10:00Z,player_threes,1.5,fanduel,2025-11-07T14:55:01Z,2025-11-07T14:54:23Z,-130,-102
Jalen Suggs,Boston Celtics @ Orlando Magic,2025-11-08T00:10:00Z,player_threes,1.5,fanduel,2025-11-07T14:55:01Z,2025-11-07T14:54:23Z,102,-136
Jaylen Brown,Boston Celtics @ Orlando Magic,2025-11-08T00:10:00Z,player_threes,1.5,fanduel,2025-11-07T14:55:01Z,2025-11-07T14:54:23Z,-174,130
Anfernee Simons,Boston Celtics @ Orlando Magic,2025-11-08T00:10:00Z,player_threes,2.5,fanduel,2025-11-07T14:55:01Z,2025-11-07T14:54:23Z,116,-154
Desmond Bane,Boston Celtics @ Orlando Magic,2025-11-08T00:10:00Z,player_threes,2.5,fanduel,2025-11-07T14:55:01Z,2025-11-07T14:54:23Z,140,-188
Derrick White,Boston Celtics @ Orlando Magic,2025-11-08T00:10:00Z,player_threes,2.5,betrivers,2025-11-07T14:55:29Z,2025-11-07T14:55:34Z,-139,105
Jaylen Brown,Boston Celtics @ Orlando Magic,2025-11-08T00:10:00Z,player_threes,1.5,betrivers,2025-11-07T14:55:29Z,2025-11-07T14:55:34Z,-177,130
Payton Pritchard,Boston Celtics @ Orlando Magic,2025-11-08T00:10:00Z,player_threes,2.5,betrivers,2025-11-07T14:55:29Z,2025-11-07T14:55:34Z,-137,104
Sam Hauser,Boston Celtics @ Orlando Magic,2025-11-08T00:10:00Z,player_threes,2.5,betrivers,2025-11-07T14:55:29Z,2025-11-07T14:55:34Z,138,-186
Paolo Banchero,Boston Celtics @ Orlando Magic,2025-11-08T00:10:00Z,player_threes,1.5,betrivers,2025-11-07T14:55:29Z,2025-11-07T14:55:34Z,-129,-104
Desmond Bane,Boston Celtics @ Orlando Magic,2025-11-08T00:10:00Z,player_threes,2.5,betrivers,2025-11-07T14:55:29Z,2025-11-07T14:55:34Z,143,-195
Anfernee Simons,Boston Celtics @ Orlando Magic,2025-11-08T00:10:00Z,player_threes,2.5,betrivers,2025-11-07T14:55:29Z,2025-11-07T14:55:34Z,105,-139
Jalen Suggs,Boston Celtics @ Orlando Magic,2025-11-08T00:10:00Z,player_threes,1.5,betrivers,2025-11-07T14:55:29Z,2025-11-07T14:55:34Z,100,-134
Franz Wagner,Boston Celtics @ Orlando Magic,2025-11-08T00:10:00Z,player_threes,1.5,betrivers,2025-11-07T14:55:29Z,2025-11-07T14:55:34Z,-132,-103
Derrick White,Boston Celtics @ Orlando Magic,2025-11-08T00:10:00Z,player_threes,2.5,draftkings,2025-11-07T14:54:35Z,2025-11-07T14:55:19Z,-148,113
Payton Pritchard,Boston Celtics @ Orlando Magic,2025-11-08T00:10:00Z,player_threes,2.5,draftkings,2025-11-07T14:54:35Z,2025-11-07T14:55:19Z,-137,104
Anfernee Simons,Boston Celtics @ Orlando Magic,2025-11-08T00:10:00Z,player_threes,2.5,draftkings,2025-11-07T14:54:35Z,2025-11-07T14:55:19Z,117,-154
Desmond Bane,Boston Celtics @ Orlando Magic,2025-11-08T00:10:00Z,player_threes,2.5,draftkings,2025-11-07T14:54:35Z,2025-11-07T14:55:19Z,129,-171
Sam Hauser,Boston Celtics @ Orlando Magic,2025-11-08T00:10:00Z,player_threes,2.5,draftkings,2025-11-07T14:54:35Z,2025-11-07T14:55:19Z,148,-196
Jaylen Brown,Boston Celtics @ Orlando Magic,2025-11-08T00:10:00Z,player_threes,1.5,draftkings,2025-11-07T14:54:35Z,2025-11-07T14:55:19Z,-192,145
Paolo Banchero,Boston Celtics @ Orlando Magic,2025-11-08T00:10:00Z,player_threes,1.5,draftkings,2025-11-07T14:54:35Z,2025-11-07T14:55:19Z,-123,-107
Franz Wagner,Boston Celtics @ Orlando Magic,2025-11-08T00:10:00Z,player_threes,1.5,draftkings,2025-11-07T14:54:35Z,2025-11-07T14:55:19Z,-118,-111
Jalen Suggs,Boston Celtics @ Orlando Magic,2025-11-08T00:10:00Z,player_threes,1.5,draftkings,2025-11-07T14:54:35Z,2025-11-07T14:55:19Z,103,-136
Jaylen Brown,Boston Celtics @ Orlando Magic,2025-11-08T00:10:00Z,player_threes,2.5,betmgm,2025-11-07T14:53:35Z,2025-11-07T14:55:34Z,165,-220
Anthony Black,Boston Celtics @ Orlando Magic,2025-11-08T00:10:00Z,player_threes,0.5,betmgm,2025-11-07T14:53:35Z,2025-11-07T14:55:34Z,-235,170
Derrick White,Boston Celtics @ Orlando Magic,2025-11-08T00:10:00Z,player_threes,2.5,betmgm,2025-11-07T14:53:35Z,2025-11-07T14:55:34Z,-140,105
Desmond Bane,Boston Celtics @ Orlando Magic,2025-11-08T00:10:00Z,player_threes,1.5,betmgm,2025-11-07T14:53:35Z,2025-11-07T14:55:34Z,-155,115
Sam Hauser,Boston Celtics @ Orlando Magic,2025-11-08T00:10:00Z,player_threes,2.5,betmgm,2025-11-07T14:53:35Z,2025-11-07T14:55:34Z,130,-175
Wendell Carter Jr,Boston Celtics @ Orlando Magic,2025-11-08T00:10:00Z,player_threes,0.5,betmgm,2025-11-07T14:53:35Z,2025-11-07T14:55:34Z,-185,135
Franz Wagner,Boston Celtics @ Orlando Magic,2025-11-08T00:10:00Z,player_threes,1.5,betmgm,2025-11-07T14:53:35Z,2025-11-07T14:55:34Z,100,-135
Anfernee Simons,Boston Celtics @ Orlando Magic,2025-11-08T00:10:00Z,player_threes,2.5,betmgm,2025-11-07T14:53:35Z,2025-11-07T14:55:34Z,110,-145
Jalen Suggs,Boston Celtics @ Orlando Magic,2025-11-08T00:10:00Z,player_threes,1.5,betmgm,2025-11-07T14:53:35Z,2025-11-07T14:55:34Z,100,-135
Payton Pritchard,Boston Celtics @ Orlando Magic,2025-11-08T00:10:00Z,player_threes,2.5,betmgm,2025-11-07T14:53:35Z,2025-11-07T14:55:34Z,-140,105
