strategy_idx,line_tier,spread_bin,scorer_type,bet_side,training_roi,training_hit_rate,training_games,backtest_plays,backtest_wins,backtest_losses,backtest_pushes,backtest_win_rate,backtest_profit,backtest_roi,roi_delta,season
76,15-20 (High Role),6-10 Fav,Perimeter (<40.0%),OVER,-11.6,46.3,136,241,114,127,0,47.30290456431535,-2336.260000000001,-9.694024896265564,1.905975103734436,2024-25
22,15-20 (High Role),6-10 Fav,Perimeter (<40.0%),UNDER,2.5,53.7,136,241,127,114,0,52.69709543568465,145.5699999999988,0.6040248962655551,-1.895975103734445,2024-25
9,10-15 (Role Player),6-10 Dog,Rim Attacker (≥40.0%),UNDER,9.1,57.1,98,238,115,123,0,48.319327731092436,-1845.3500000000008,-7.753571428571432,-16.85357142857143,2024-25
90,10-15 (Role Player),6-10 Dog,Rim Attacker (≥40.0%),OVER,-18.2,42.9,98,238,123,115,0,51.68067226890757,-318.07000000000085,-1.336428571428575,16.863571428571426,2024-25
28,10-15 (Role Player),10-15 Fav,Perimeter (<40.0%),OVER,1.8,53.3,106,233,103,130,0,44.20600858369099,-3636.270000000001,-15.606309012875542,-17.406309012875543,2024-25
71,10-15 (Role Player),10-15 Fav,Perimeter (<40.0%),UNDER,-10.9,46.7,106,233,130,103,0,55.793991416309005,1518.2999999999988,6.516309012875531,17.41630901287553,2024-25
67,10-15 (Role Player),6-10 Fav,Rim Attacker (≥40.0%),UNDER,-10.4,47.0,115,232,118,114,0,50.86206896551724,-672.6200000000017,-2.899224137931042,7.500775862068958,2024-25
33,10-15 (Role Player),6-10 Fav,Rim Attacker (≥40.0%),OVER,1.3,53.0,115,232,114,118,0,49.137931034482754,-1436.2600000000011,-6.19077586206897,-7.49077586206897,2024-25
80,20-25 (Star),6-10 Fav,Perimeter (<40.0%),UNDER,-12.3,45.9,98,216,112,104,0,51.85185185185185,-218.08000000000067,-1.0096296296296328,11.290370370370368,2024-25
19,20-25 (Star),6-10 Fav,Perimeter (<40.0%),OVER,3.2,54.1,98,216,104,112,0,48.148148148148145,-1745.3600000000006,-8.080370370370373,-11.280370370370374,2024-25
87,10-15 (Role Player),Pick'em (-2 to +2),Perimeter (<40.0%),UNDER,-16.6,43.7,159,214,105,109,0,49.06542056074766,-1354.4500000000003,-6.329205607476637,10.270794392523364,2024-25
12,10-15 (Role Player),Pick'em (-2 to +2),Perimeter (<40.0%),OVER,7.5,56.3,159,214,109,105,0,50.93457943925234,-590.8100000000007,-2.7607943925233682,-10.260794392523369,2024-25
75,5-10 (Bench),6-10 Dog,Perimeter (<40.0%),OVER,-11.5,46.4,192,213,107,105,1,50.47169811320755,-772.6300000000008,-3.6273708920187833,7.872629107981217,2024-25
25,5-10 (Bench),6-10 Dog,Perimeter (<40.0%),UNDER,2.4,53.6,192,213,105,107,1,49.528301886792455,-1154.4500000000012,-5.419953051643199,-7.819953051643198,2024-25
16,5-10 (Bench),2-6 Dog,Rim Attacker (≥40.0%),OVER,4.5,54.7,138,210,101,107,2,48.55769230769231,-1518.0900000000008,-7.229000000000004,-11.729000000000003,2024-25
