strategy_idx,line_tier,spread_bin,scorer_type,bet_side,training_roi,training_hit_rate,training_games,backtest_plays,backtest_wins,backtest_losses,backtest_pushes,backtest_win_rate,backtest_profit,backtest_roi,roi_delta,season
17,10-15 (Role Player),6-10 Dog,Rim Attacker (≥40.0%),UNDER,5.5,55.3,123,212,123,89,0,58.01886792452831,2510.0,10.763293310463123,5.263293310463123,2023-24
7,25-30 (High Star),2-6 Fav,Perimeter (<40.0%),UNDER,8.6,56.9,58,191,98,93,0,51.30890052356021,-430.0,-2.0466444550214185,-10.646644455021418,2023-24
19,20-25 (Star),6-10 Dog,Perimeter (<40.0%),OVER,5.1,55.1,69,170,68,102,0,40.0,-4420.0,-23.636363636363637,-28.736363636363635,2023-24
18,10-15 (Role Player),Pick'em (-2 to +2),Perimeter (<40.0%),OVER,5.4,55.2,164,166,76,90,0,45.78313253012048,-2300.0,-12.595837897042717,-17.99583789704272,2023-24
12,15-20 (High Role),Pick'em (-2 to +2),Perimeter (<40.0%),UNDER,6.8,56.0,109,157,95,62,0,60.509554140127385,2680.0,15.518239722061377,8.718239722061377,2023-24
3,20-25 (Star),2-6 Dog,Rim Attacker (≥40.0%),UNDER,9.9,57.6,66,150,92,57,1,61.74496644295302,2930.0,17.757575757575758,7.857575757575757,2023-24
16,15-20 (High Role),2-6 Dog,Rim Attacker (≥40.0%),UNDER,6.2,55.7,115,134,65,69,0,48.507462686567166,-1090.0,-7.3948439620081405,-13.594843962008142,2023-24
6,25-30 (High Star),2-6 Dog,Perimeter (<40.0%),OVER,8.8,57.0,107,130,51,79,0,39.23076923076923,-3590.0,-25.104895104895103,-33.904895104895104,2023-24
4,10-15 (Role Player),10-15 Dog,Rim Attacker (≥40.0%),OVER,9.5,57.4,68,128,61,67,0,47.65625,-1270.0,-9.019886363636363,-18.519886363636363,2023-24
13,20-25 (Star),Pick'em (-2 to +2),Perimeter (<40.0%),OVER,6.7,55.9,68,125,52,73,0,41.6,-2830.0,-20.581818181818182,-27.28181818181818,2023-24
8,10-15 (Role Player),10-15 Fav,Rim Attacker (≥40.0%),UNDER,7.9,56.5,69,111,57,54,0,51.35135135135135,-240.0,-1.9656019656019657,-9.865601965601966,2023-24
9,15-20 (High Role),10-15 Dog,Perimeter (<40.0%),UNDER,7.0,56.1,66,110,61,49,0,55.45454545454545,710.0,5.867768595041322,-1.1322314049586781,2023-24
1,15-20 (High Role),Pick'em (-2 to +2),Rim Attacker (≥40.0%),UNDER,11.9,58.6,58,93,50,43,0,53.76344086021505,270.0,2.6392961876832843,-9.260703812316716,2023-24
11,5-10 (Bench),2-6 Dog,Rim Attacker (≥40.0%),OVER,6.9,56.0,160,82,39,43,0,47.5609756097561,-830.0,-9.201773835920177,-16.101773835920177,2023-24
0,5-10 (Bench),Pick'em (-2 to +2),Rim Attacker (≥40.0%),UNDER,26.0,66.0,100,81,41,40,0,50.617283950617285,-300.0,-3.3670033670033668,-29.367003367003367,2023-24
2,5-10 (Bench),6-10 Fav,Perimeter (<40.0%),OVER,11.1,58.2,208,72,33,39,0,45.83333333333333,-990.0,-12.5,-23.6,2023-24
10,25-30 (High Star),6-10 Dog,Perimeter (<40.0%),OVER,7.0,56.1,66,70,22,48,0,31.428571428571427,-3080.0,-40.0,-47.0,2023-24
14,5-10 (Bench),Pick'em (-2 to +2),Perimeter (<40.0%),UNDER,6.6,55.8,129,53,31,22,0,58.490566037735846,680.0,11.663807890222985,5.063807890222986,2023-24
5,5-10 (Bench),10-15 Fav,Perimeter (<40.0%),UNDER,9.3,57.3,131,48,33,15,0,68.75,1650.0,31.25,21.95,2023-24
15,5-10 (Bench),10-15 Dog,Perimeter (<40.0%),UNDER,6.6,55.8,121,31,11,20,0,35.483870967741936,-1100.0,-32.25806451612903,-38.85806451612903,2023-24
2,5-10 (Bench),6-10 Fav,Perimeter (<40.0%),OVER,11.1,58.2,208,330,165,164,1,50.15197568389058,-1540.0,-4.242424242424243,-15.342424242424244,2024-25
17,10-15 (Role Player),6-10 Dog,Rim Attacker (≥40.0%),UNDER,5.5,55.3,123,238,115,123,0,48.319327731092436,-2030.0,-7.754010695187167,-13.254010695187166,2024-25
18,10-15 (Role Player),Pick'em (-2 to +2),Perimeter (<40.0%),OVER,5.4,55.2,164,214,109,105,0,50.93457943925234,-650.0,-2.76125743415463,-8.161257434154631,2024-25
11,5-10 (Bench),2-6 Dog,Rim Attacker (≥40.0%),OVER,6.9,56.0,160,210,101,107,2,48.55769230769231,-1670.0,-7.22943722943723,-14.12943722943723,2024-25
19,20-25 (Star),6-10 Dog,Perimeter (<40.0%),OVER,5.1,55.1,69,206,96,109,1,46.82926829268293,-2390.0,-10.54721977052074,-15.64721977052074,2024-25
14,5-10 (Bench),Pick'em (-2 to +2),Perimeter (<40.0%),UNDER,6.6,55.8,129,201,96,105,0,47.76119402985074,-1950.0,-8.819538670284938,-15.419538670284938,2024-25
5,5-10 (Bench),10-15 Fav,Perimeter (<40.0%),UNDER,9.3,57.3,131,189,78,111,0,41.269841269841265,-4410.0,-21.21212121212121,-30.51212121212121,2024-25
12,15-20 (High Role),Pick'em (-2 to +2),Perimeter (<40.0%),UNDER,6.8,56.0,109,185,92,92,1,50.0,-920.0,-4.520884520884521,-11.32088452088452,2024-25
9,15-20 (High Role),10-15 Dog,Perimeter (<40.0%),UNDER,7.0,56.1,66,175,90,85,0,51.42857142857142,-350.0,-1.8181818181818181,-8.818181818181818,2024-25
4,10-15 (Role Player),10-15 Dog,Rim Attacker (≥40.0%),OVER,9.5,57.4,68,163,94,69,0,57.668711656441715,1810.0,10.094813162297825,0.5948131622978252,2024-25
13,20-25 (Star),Pick'em (-2 to +2),Perimeter (<40.0%),OVER,6.7,55.9,68,154,76,78,0,49.35064935064935,-980.0,-5.785123966942149,-12.48512396694215,2024-25
7,25-30 (High Star),2-6 Fav,Perimeter (<40.0%),UNDER,8.6,56.9,58,151,75,74,2,50.33557046979866,-640.0,-3.853100541842264,-12.453100541842264,2024-25
15,5-10 (Bench),10-15 Dog,Perimeter (<40.0%),UNDER,6.6,55.8,121,149,71,78,0,47.651006711409394,-1480.0,-9.029896278218425,-15.629896278218425,2024-25
16,15-20 (High Role),2-6 Dog,Rim Attacker (≥40.0%),UNDER,6.2,55.7,115,148,72,76,0,48.64864864864865,-1160.0,-7.125307125307126,-13.325307125307127,2024-25
8,10-15 (Role Player),10-15 Fav,Rim Attacker (≥40.0%),UNDER,7.9,56.5,69,145,66,79,0,45.51724137931035,-2090.0,-13.10344827586207,-21.00344827586207,2024-25
6,25-30 (High Star),2-6 Dog,Perimeter (<40.0%),OVER,8.8,57.0,107,101,48,53,0,47.524752475247524,-1030.0,-9.27092709270927,-18.07092709270927,2024-25
0,5-10 (Bench),Pick'em (-2 to +2),Rim Attacker (≥40.0%),UNDER,26.0,66.0,100,97,56,41,0,57.73195876288659,1090.0,10.21555763823805,-15.78444236176195,2024-25
1,15-20 (High Role),Pick'em (-2 to +2),Rim Attacker (≥40.0%),UNDER,11.9,58.6,58,83,38,45,0,45.78313253012048,-1150.0,-12.595837897042717,-24.49583789704272,2024-25
3,20-25 (Star),2-6 Dog,Rim Attacker (≥40.0%),UNDER,9.9,57.6,66,80,39,41,0,48.75,-610.0,-6.931818181818182,-16.831818181818182,2024-25
10,25-30 (High Star),6-10 Dog,Perimeter (<40.0%),OVER,7.0,56.1,66,69,34,35,0,49.275362318840585,-450.0,-5.928853754940711,-12.928853754940711,2024-25
2,5-10 (Bench),6-10 Fav,Perimeter (<40.0%),OVER,11.1,58.2,208,210,97,113,0,46.19047619047619,-2730.0,-11.818181818181818,-22.918181818181818,2025-26
11,5-10 (Bench),2-6 Dog,Rim Attacker (≥40.0%),OVER,6.9,56.0,160,192,92,99,1,48.167539267015705,-1690.0,-8.00189393939394,-14.90189393939394,2025-26
18,10-15 (Role Player),Pick'em (-2 to +2),Perimeter (<40.0%),OVER,5.4,55.2,164,164,90,73,1,55.21472392638037,970.0,5.376940133037694,-0.02305986696230633,2025-26
17,10-15 (Role Player),6-10 Dog,Rim Attacker (≥40.0%),UNDER,5.5,55.3,123,135,65,70,0,48.148148148148145,-1200.0,-8.080808080808081,-13.580808080808081,2025-26
14,5-10 (Bench),Pick'em (-2 to +2),Perimeter (<40.0%),UNDER,6.6,55.8,129,133,76,57,0,57.14285714285714,1330.0,9.090909090909092,2.490909090909092,2025-26
15,5-10 (Bench),10-15 Dog,Perimeter (<40.0%),UNDER,6.6,55.8,121,128,73,55,0,57.03125,1250.0,8.877840909090908,2.2778409090909086,2025-26
5,5-10 (Bench),10-15 Fav,Perimeter (<40.0%),UNDER,9.3,57.3,131,122,68,53,1,56.19834710743802,970.0,7.228017883755589,-2.0719821162444116,2025-26
12,15-20 (High Role),Pick'em (-2 to +2),Perimeter (<40.0%),UNDER,6.8,56.0,109,109,61,48,0,55.96330275229357,820.0,6.839032527105922,0.0390325271059222,2025-26
7,25-30 (High Star),2-6 Fav,Perimeter (<40.0%),UNDER,8.6,56.9,58,107,46,61,0,42.99065420560748,-2110.0,-17.926932880203907,-26.52693288020391,2025-26
19,20-25 (Star),6-10 Dog,Perimeter (<40.0%),OVER,5.1,55.1,69,104,53,51,0,50.96153846153846,-310.0,-2.7097902097902096,-7.80979020979021,2025-26
0,5-10 (Bench),Pick'em (-2 to +2),Rim Attacker (≥40.0%),UNDER,26.0,66.0,100,101,67,34,0,66.33663366336634,2960.0,26.642664266426642,0.6426642664266424,2025-26
16,15-20 (High Role),2-6 Dog,Rim Attacker (≥40.0%),UNDER,6.2,55.7,115,94,48,46,0,51.06382978723404,-260.0,-2.5145067698259185,-8.714506769825919,2025-26
9,15-20 (High Role),10-15 Dog,Perimeter (<40.0%),UNDER,7.0,56.1,66,86,46,39,1,54.11764705882353,310.0,3.276955602536998,-3.723044397463002,2025-26
8,10-15 (Role Player),10-15 Fav,Rim Attacker (≥40.0%),UNDER,7.9,56.5,69,69,30,39,0,43.47826086956522,-1290.0,-16.99604743083004,-24.896047430830038,2025-26
4,10-15 (Role Player),10-15 Dog,Rim Attacker (≥40.0%),OVER,9.5,57.4,68,69,30,39,0,43.47826086956522,-1290.0,-16.99604743083004,-26.49604743083004,2025-26
13,20-25 (Star),Pick'em (-2 to +2),Perimeter (<40.0%),OVER,6.7,55.9,68,68,38,30,0,55.88235294117647,500.0,6.684491978609626,-0.015508021390374438,2025-26
6,25-30 (High Star),2-6 Dog,Perimeter (<40.0%),OVER,8.8,57.0,107,60,26,34,0,43.333333333333336,-1140.0,-17.272727272727273,-26.072727272727274,2025-26
1,15-20 (High Role),Pick'em (-2 to +2),Rim Attacker (≥40.0%),UNDER,11.9,58.6,58,58,34,24,0,58.620689655172406,760.0,11.912225705329153,0.012225705329152348,2025-26
3,20-25 (Star),2-6 Dog,Rim Attacker (≥40.0%),UNDER,9.9,57.6,66,51,37,14,0,72.54901960784314,2160.0,38.50267379679144,28.602673796791443,2025-26
10,25-30 (High Star),6-10 Dog,Perimeter (<40.0%),OVER,7.0,56.1,66,27,11,16,0,40.74074074074074,-660.0,-22.22222222222222,-29.22222222222222,2025-26
