event_id,player,market,line,bookmaker,game,game_time,bookmaker_last_update,market_last_update,minutes_stale,over_odds,under_odds
21aa1ed8a0bb40eb9edb2d5f94ff5457,Kyle Filipowski,player_assists,1.5,fanduel,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:37:10Z,0.71,-240.0,174.0
21aa1ed8a0bb40eb9edb2d5f94ff5457,Ace Bailey,player_assists,3.5,fanduel,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:37:10Z,0.71,-132.0,100.0
21aa1ed8a0bb40eb9edb2d5f94ff5457,Isaiah Collier,player_assists,6.5,fanduel,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:37:10Z,0.71,128.0,-172.0
21aa1ed8a0bb40eb9edb2d5f94ff5457,Lauri Markkanen,player_assists,3.5,fanduel,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:37:10Z,0.71,-192.0,142.0
21aa1ed8a0bb40eb9edb2d5f94ff5457,Keyonte George,player_assists,7.5,fanduel,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:37:10Z,0.71,110.0,-146.0
21aa1ed8a0bb40eb9edb2d5f94ff5457,Kyle Filipowski,player_double_double,,fanduel,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:37:10Z,0.71,,
21aa1ed8a0bb40eb9edb2d5f94ff5457,Keyonte George,player_double_double,,fanduel,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:37:10Z,0.71,,
21aa1ed8a0bb40eb9edb2d5f94ff5457,Cooper Flagg,player_double_double,,fanduel,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:37:10Z,0.71,,
21aa1ed8a0bb40eb9edb2d5f94ff5457,P.J. Washington,player_double_double,,fanduel,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:37:10Z,0.71,,
21aa1ed8a0bb40eb9edb2d5f94ff5457,Klay Thompson,player_points,12.5,fanduel,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:37:10Z,0.71,-106.0,-125.0
21aa1ed8a0bb40eb9edb2d5f94ff5457,P.J. Washington,player_points,20.5,fanduel,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:37:10Z,0.71,-136.0,102.0
