event_id,player,market,line,bookmaker,game,game_time,over_odds,under_odds
078f0883a88c1fb2deaf8a47b59c671f,James Harden,player_assists,8.5,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,102.0,-130.0
078f0883a88c1fb2deaf8a47b59c671f,Kon Knueppel,player_assists,2.5,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,-138.0,108.0
078f0883a88c1fb2deaf8a47b59c671f,LaMelo Ball,player_assists,8.5,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,122.0,-156.0
078f0883a88c1fb2deaf8a47b59c671f,Collin Sexton,player_assists,3.5,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,-128.0,100.0
078f0883a88c1fb2deaf8a47b59c671f,Miles Bridges,player_assists,3.5,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,120.0,-154.0
078f0883a88c1fb2deaf8a47b59c671f,Kris Dunn,player_assists,2.5,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,-130.0,102.0
078f0883a88c1fb2deaf8a47b59c671f,Brandon Miller,player_assists,2.5,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,-125.0,-102.0
078f0883a88c1fb2deaf8a47b59c671f,Ryan Kalkbrenner,player_blocks,1.5,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,-166.0,124.0
078f0883a88c1fb2deaf8a47b59c671f,Ivica Zubac,player_blocks,0.5,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,-245.0,178.0
078f0883a88c1fb2deaf8a47b59c671f,Ivica Zubac,player_double_double,,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,,
078f0883a88c1fb2deaf8a47b59c671f,James Harden,player_double_double,,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,,
078f0883a88c1fb2deaf8a47b59c671f,LaMelo Ball,player_double_double,,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,,
078f0883a88c1fb2deaf8a47b59c671f,Miles Bridges,player_double_double,,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,,
078f0883a88c1fb2deaf8a47b59c671f,Moussa Diabate,player_double_double,,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,,
078f0883a88c1fb2deaf8a47b59c671f,Ryan Kalkbrenner,player_double_double,,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,,
078f0883a88c1fb2deaf8a47b59c671f,Kon Knueppel,player_double_double,,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,,
078f0883a88c1fb2deaf8a47b59c671f,John Collins,player_double_double,,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,,
078f0883a88c1fb2deaf8a47b59c671f,Brandon Miller,player_points,15.5,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,104.0,-132.0
078f0883a88c1fb2deaf8a47b59c671f,LaMelo Ball,player_points,20.5,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,-106.0,-120.0
078f0883a88c1fb2deaf8a47b59c671f,Miles Bridges,player_points,19.5,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,104.0,-132.0
078f0883a88c1fb2deaf8a47b59c671f,Ryan Kalkbrenner,player_points,8.5,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,102.0,-130.0
078f0883a88c1fb2deaf8a47b59c671f,Ivica Zubac,player_points,17.5,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,-113.0,-113.0
078f0883a88c1fb2deaf8a47b59c671f,Kon Knueppel,player_points,16.5,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,-118.0,-108.0
078f0883a88c1fb2deaf8a47b59c671f,Moussa Diabate,player_points,7.5,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,-128.0,100.0
078f0883a88c1fb2deaf8a47b59c671f,Brook Lopez,player_points,5.5,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,-120.0,-106.0
078f0883a88c1fb2deaf8a47b59c671f,James Harden,player_points,28.5,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,-106.0,-120.0
078f0883a88c1fb2deaf8a47b59c671f,Collin Sexton,player_points,11.5,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,-115.0,-111.0
078f0883a88c1fb2deaf8a47b59c671f,John Collins,player_points,14.5,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,-115.0,-111.0
078f0883a88c1fb2deaf8a47b59c671f,James Harden,player_points_rebounds_assists,43.5,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,-104.0,-122.0
