game_id,game_time,game_time_et,week,away_abbr,home_abbr,consensus_spread,abs_spread,spread_cat,away_is_favorite,home_is_favorite,away_score,home_score,actual_margin,away_covered,home_covered,away_luck,home_luck,away_prior_luck,home_prior_luck,away_luck_cat,home_luck_cat,matchup_type,is_lu,bet_team,bet_spread,best_spread,best_books,ranked_books,bet_reason
58b16c4033587f5662ff365bce2dbb92,2025-12-07 18:00:00+00:00,Sun 2025-12-07 13:00 ET,14,WAS,MIN,1.5,1.5,0-3,False,True,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.600000000000001,-6.4,Lucky,Unlucky,Lucky vs Unlucky,True,MIN,-1.5,-1.0,"betus, betus","betus -1.0 @ +100, betus -1.0 @ -105, lowvig -1.5 @ +100, draftkings -1.5 @ -105, fanduel -1.5 @ -105, betonlineag -1.5 @ -105, williamhill_us -1.5 @ -107, fanduel -1.5 @ -108, betmgm -1.5 @ -110, betrivers -1.5 @ -112, mybookieag -2.0 @ -110, fanatics -2.0 @ -110, bovada -2.0 @ -110, betmgm -2.0 @ -110","MIN was unlucky (-6.4), WAS was lucky (+4.6)"
5d7b12c34454df4ff2c59a15ca58e63f,2025-12-09 01:15:00+00:00,Mon 2025-12-08 20:15 ET,14,PHI,LAC,-3.0,3.0,0-3,True,False,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-5.800000000000001,12.7,Unlucky,Lucky,Unlucky vs Lucky,True,PHI,-3.0,-2.5,"lowvig, betonlineag, williamhill_us, fanduel","lowvig -2.5 @ -119, betonlineag -2.5 @ -120, williamhill_us -2.5 @ -120, fanduel -2.5 @ -120, betus -3.0 @ +100, mybookieag -3.0 @ +100, bovada -3.0 @ +100, draftkings -3.0 @ -102, betmgm -3.0 @ -102, fanduel -3.0 @ -104, fanatics -3.0 @ -105, draftkings -3.0 @ -105, williamhill_us -3.0 @ -106, betrivers -3.0 @ -106, betrivers -3.0 @ -109","PHI was unlucky (-5.8), LAC was lucky (+12.7)"
d5fd126cbfea2ccd79962a17f0ef4463,2025-12-07 21:05:00+00:00,Sun 2025-12-07 16:05 ET,14,DEN,LV,-7.5,7.5,7.5+,True,False,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.0,-5.5,Lucky,Unlucky,Lucky vs Unlucky,True,LV,7.5,7.5,"lowvig, betonlineag, fanatics, draftkings, draftkings, williamhill_us, fanduel, mybookieag, betus, bovada, fanatics, betrivers, betrivers, betmgm","lowvig +7.5 @ +102, betonlineag +7.5 @ +100, fanatics +7.5 @ -105, draftkings +7.5 @ -108, draftkings +7.5 @ -110, williamhill_us +7.5 @ -110, fanduel +7.5 @ -110, mybookieag +7.5 @ -110, betus +7.5 @ -110, bovada +7.5 @ -110, fanatics +7.5 @ -110, betrivers +7.5 @ -114, betrivers +7.5 @ -115, betmgm +7.5 @ -115","LV was unlucky (-5.5), DEN was lucky (+3.0)"
f0bdd27bbed46dfc3d0657500c95a96c,2025-12-07 18:00:00+00:00,Sun 2025-12-07 13:00 ET,14,SEA,ATL,-7.0,7.0,3.5-7,True,False,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5.300000000000001,-6.5,Lucky,Unlucky,Lucky vs Unlucky,True,ATL,7.0,7.5,"fanduel, betrivers","fanduel +7.5 @ -102, betrivers +7.5 @ -107, lowvig +7.0 @ -107, lowvig +7.0 @ -108, williamhill_us +7.0 @ -110, bovada +7.0 @ -110, draftkings +7.0 @ -110, mybookieag +7.0 @ -110, draftkings +7.0 @ -112, betonlineag +7.0 @ -112, betonlineag +7.0 @ -113, betus +7.0 @ -115, betmgm +7.0 @ -115, fanatics +7.0 @ -115, mybookieag +7.0 @ -120, betrivers +7.0 @ -120","ATL was unlucky (-6.5), SEA was lucky (+5.3)"
