game_id,game_time,week,away_abbr,home_abbr,consensus_spread,abs_spread,spread_cat,away_is_favorite,home_is_favorite,away_score,home_score,actual_margin,away_covered,home_covered,away_current_luck,away_current_off_luck,away_current_def_luck,home_current_luck,home_current_off_luck,home_current_def_luck,away_prior_luck,away_prior_off_luck,away_prior_def_luck,home_prior_luck,home_prior_off_luck,home_prior_def_luck,away_prior_luck_cat,home_prior_luck_cat,matchup_type,game_time_et,is_lu,bet_team,bet_spread,bet_reason
1c2195dfc898e85136f4d40b4ac512fb,2024-11-10 21:25:00+00:00,10,NYJ,ARI,-1.5,1.5,0-3,True,False,6,31,-25,False,True,-11.4,-10.7,-0.6999999999999993,11.4,0.6999999999999993,10.7,5.4,2.5,2.9000000000000004,7.100000000000001,2.8000000000000007,4.300000000000001,Lucky,Lucky,Lucky vs Lucky,Sun 2024-11-10 16:25 ET,False,n/a,n/a,n/a
6214d50d3a5b442078f670ff8e08945e,2024-11-10 21:05:00+00:00,10,TEN,LAC,8.0,8.0,7.5+,False,True,17,27,-10,False,True,-2.8999999999999986,-1.6999999999999993,-1.1999999999999993,2.8999999999999986,1.1999999999999993,1.6999999999999993,-1.1999999999999993,-2.3999999999999986,1.1999999999999993,17.8,10.8,7.0,Neutral,Lucky,Neutral vs Lucky,Sun 2024-11-10 16:05 ET,False,n/a,n/a,n/a
776c336fae7523f356cb0cd4a32ba356,2024-11-10 21:25:00+00:00,10,PHI,DAL,-7.5,7.5,7.5+,True,False,34,6,28,True,False,13.0,3.8000000000000007,9.2,-13.0,-9.2,-3.8000000000000007,1.3000000000000007,5.800000000000001,-4.5,1.0,4.600000000000001,-3.6000000000000014,Neutral,Neutral,Neutral vs Neutral,Sun 2024-11-10 16:25 ET,False,n/a,n/a,n/a
80899c1a82df27832eff9206d9c2ab1b,2024-11-10 18:00:00+00:00,10,BUF,IND,-4.5,4.5,3.5-7,True,False,30,20,10,True,False,0.5999999999999979,7.899999999999999,-7.300000000000001,-0.5999999999999979,7.300000000000001,-7.899999999999999,4.799999999999997,4.399999999999999,0.3999999999999986,4.299999999999999,0.0999999999999996,4.199999999999999,Lucky,Lucky,Lucky vs Lucky,Sun 2024-11-10 13:00 ET,False,n/a,n/a,n/a
853cc3b59ffe65a55a55d799789bc726,2024-11-10 18:00:00+00:00,10,SF,TB,-6.5,6.5,3.5-7,True,False,23,20,3,False,True,-6.099999999999998,-5.899999999999999,-0.1999999999999993,6.099999999999998,0.1999999999999993,5.899999999999999,0.0,2.8999999999999986,-2.8999999999999986,-1.0,4.699999999999999,-5.699999999999999,Neutral,Neutral,Neutral vs Neutral,Sun 2024-11-10 13:00 ET,False,n/a,n/a,n/a
9016850451d9e4190ec1bd178dac4849,2024-11-10 14:33:27+00:00,10,NYG,CAR,5.5,5.5,3.5-7,False,True,17,20,-3,True,False,-9.5,-11.9,2.3999999999999986,9.5,-2.3999999999999986,11.9,-1.3999999999999986,-0.5,-0.8999999999999986,5.100000000000001,2.8000000000000007,2.3000000000000007,Neutral,Lucky,Neutral vs Lucky,Sun 2024-11-10 09:33 ET,False,n/a,n/a,n/a
928f8f873c2bf276d0b2a63a8f8941b4,2024-11-10 18:00:00+00:00,10,PIT,WAS,2.0,2.0,0-3,False,True,28,27,1,True,False,3.6999999999999993,6.0,-2.3000000000000007,-3.6999999999999993,2.3000000000000007,-6.0,3.5,2.8999999999999986,0.6000000000000014,1.3999999999999986,0.8999999999999986,0.5,Lucky,Neutral,Lucky vs Neutral,Sun 2024-11-10 13:00 ET,False,n/a,n/a,n/a
a59741270a5f21dfb288838acf98537b,2024-11-10 18:00:00+00:00,10,MIN,JAX,-7.0,7.0,3.5-7,True,False,12,7,5,False,True,-7.699999999999999,-12.4,4.699999999999999,7.699999999999999,-4.699999999999999,12.4,-4.299999999999999,-4.199999999999999,-0.0999999999999996,-1.3000000000000007,4.5,-5.800000000000001,Unlucky,Neutral,Unlucky vs Neutral,Sun 2024-11-10 13:00 ET,False,n/a,n/a,n/a
c885c70be6b073f94096eb0db2a27c3c,2024-11-10 18:00:00+00:00,10,NE,CHI,6.0,6.0,3.5-7,False,True,19,3,16,True,False,7.100000000000001,-2.8999999999999986,10.0,-7.100000000000001,-10.0,2.8999999999999986,1.1999999999999993,-1.1999999999999993,2.3999999999999986,-7.100000000000001,-4.300000000000001,-2.8000000000000007,Neutral,Unlucky,Neutral vs Unlucky,Sun 2024-11-10 13:00 ET,False,n/a,n/a,n/a
d0a37e977bf675c070587b2e13a37e17,2025-01-05 21:25:00+00:00,10,KC,DEN,11.0,11.0,7.5+,False,True,16,14,2,True,False,2.1999999999999993,1.0,1.1999999999999993,-2.1999999999999993,-1.1999999999999993,-1.0,1.0,5.699999999999999,-4.699999999999999,-12.9,-3.1999999999999993,-9.7,Neutral,Unlucky,Neutral vs Unlucky,Sun 2025-01-05 16:25 ET,False,n/a,n/a,n/a
