game_id,game_time,week,away_abbr,home_abbr,consensus_spread,abs_spread,spread_cat,away_is_favorite,home_is_favorite,away_score,home_score,actual_margin,away_covered,home_covered,away_luck,home_luck,away_prior_luck,home_prior_luck,away_luck_cat,home_luck_cat,matchup_type
016f76d8237e8d4eb62b9c2ef68381bb,2025-11-02 18:00:00+00:00,9,CHI,CIN,-3.0,3.0,0-3,True,False,47,42,5,True,False,10.5,14.2,-4.899999999999999,5.399999999999999,Neutral,Neutral,Neutral vs Neutral
02522f48a7b7e7524881c1b1638cd94d,2025-09-21 17:03:00+00:00,3,NYJ,TB,6.5,6.5,3.5-7,False,True,27,29,-2,True,False,6.800000000000001,12.8,-1.1999999999999993,-7.399999999999999,Neutral,Unlucky,Neutral vs Unlucky
03a5eed2c8ef5d1c8a48866ea4b0d63a,2025-09-21 17:03:00+00:00,3,LV,WAS,3.0,3.0,0-3,False,True,24,41,-17,False,True,10.9,12.899999999999999,-2.5,1.1000000000000014,Neutral,Neutral,Neutral vs Neutral
051233db287b02fd3e7574955879ece2,2025-09-28 20:25:00+00:00,4,BAL,KC,-2.5,2.5,0-3,True,False,20,37,-17,False,True,1.3999999999999986,11.399999999999999,6.0,-3.0,Neutral,Neutral,Neutral vs Neutral
05a5b084f4e19535b2d3f91ef5c00169,2025-09-14 17:03:00+00:00,2,NYG,DAL,5.0,5.0,3.5-7,False,True,37,40,-3,True,False,11.399999999999999,13.600000000000001,-8.6,-2.1000000000000014,Unlucky,Neutral,Unlucky vs Neutral
09f55b4a19a83eb951a9400a11123477,2025-09-28 20:06:00+00:00,4,JAX,SF,3.0,3.0,0-3,False,True,26,21,5,True,False,3.3000000000000007,-1.8999999999999986,-4.0,-8.3,Neutral,Unlucky,Neutral vs Unlucky
0ae85bbc3711ad0cb94475a40e2364f0,2025-11-16 18:00:00+00:00,11,CAR,ATL,4.0,4.0,3.5-7,False,True,30,27,3,True,False,6.800000000000001,-2.1000000000000014,-6.800000000000001,-0.3000000000000007,Neutral,Neutral,Neutral vs Neutral
0c6e5d9821ce0d3e82f3e792879776a6,2025-09-12 00:16:00+00:00,2,WAS,GB,3.0,3.0,0-3,False,True,18,27,-9,False,True,1.1000000000000014,-2.1999999999999993,-4.300000000000001,4.899999999999999,Neutral,Neutral,Neutral vs Neutral
0c85b0939650e29689bb2651b33522eb,2025-10-12 20:26:00+00:00,6,CIN,GB,14.0,14.0,7.5+,False,True,18,27,-9,True,False,-6.300000000000001,-2.3999999999999986,6.899999999999999,9.7,Neutral,Lucky,Neutral vs Lucky
0e6f68b30237afc04d1517a193213a65,2025-09-14 17:01:00+00:00,2,LAR,TEN,-5.5,5.5,3.5-7,True,False,33,19,14,True,False,6.399999999999999,4.699999999999999,-4.699999999999999,1.8000000000000007,Neutral,Neutral,Neutral vs Neutral
0ee3f5a0078c21cfdffd1b97002e7da5,2025-09-21 20:05:00+00:00,3,DEN,LAC,2.5,2.5,0-3,False,True,20,23,-3,False,True,7.199999999999999,1.0,4.300000000000001,-0.3000000000000007,Neutral,Neutral,Neutral vs Neutral
0ff4e68cf39cc57ca7cf1276e4a44d2f,2025-11-23 18:00:00+00:00,12,SEA,TEN,-12.5,12.5,7.5+,True,False,30,24,6,False,True,5.5,13.2,-3.3000000000000007,-2.3000000000000007,Neutral,Neutral,Neutral vs Neutral
