player,game,game_time,market,line,bookmaker,bookmaker_last_update,market_last_update,over_odds,under_odds
Kevin Durant,Houston Rockets @ Oklahoma City Thunder,2025-10-21T23:35:00Z,player_threes,2.5,draftkings,2025-10-21T14:55:12Z,2025-10-21T14:55:57Z,103,-133.0
Luguentz Dort,Houston Rockets @ Oklahoma City Thunder,2025-10-21T23:35:00Z,player_threes,2.5,draftkings,2025-10-21T14:55:12Z,2025-10-21T14:55:57Z,141,-184.0
Jabari Smith Jr,Houston Rockets @ Oklahoma City Thunder,2025-10-21T23:35:00Z,player_threes,1.5,draftkings,2025-10-21T14:55:12Z,2025-10-21T14:55:57Z,-173,133.0
Reed Sheppard,Houston Rockets @ Oklahoma City Thunder,2025-10-21T23:35:00Z,player_threes,1.5,draftkings,2025-10-21T14:55:12Z,2025-10-21T14:55:57Z,-161,124.0
Shai Gilgeous-Alexander,Houston Rockets @ Oklahoma City Thunder,2025-10-21T23:35:00Z,player_threes,1.5,draftkings,2025-10-21T14:55:12Z,2025-10-21T14:55:57Z,-160,123.0
Aaron Wiggins,Houston Rockets @ Oklahoma City Thunder,2025-10-21T23:35:00Z,player_threes,1.5,draftkings,2025-10-21T14:55:12Z,2025-10-21T14:55:57Z,-124,-105.0
Chet Holmgren,Houston Rockets @ Oklahoma City Thunder,2025-10-21T23:35:00Z,player_threes,1.5,draftkings,2025-10-21T14:55:12Z,2025-10-21T14:55:57Z,-101,-128.0
Alex Caruso,Houston Rockets @ Oklahoma City Thunder,2025-10-21T23:35:00Z,player_threes,1.5,draftkings,2025-10-21T14:55:12Z,2025-10-21T14:55:57Z,110,-142.0
Tari Eason,Houston Rockets @ Oklahoma City Thunder,2025-10-21T23:35:00Z,player_threes,1.5,draftkings,2025-10-21T14:55:12Z,2025-10-21T14:55:57Z,149,-195.0
Jabari Smith Jr,Houston Rockets @ Oklahoma City Thunder,2025-10-21T23:35:00Z,player_threes,1.5,fanduel,2025-10-21T14:54:57Z,2025-10-21T14:55:27Z,-166,124.0
Chet Holmgren,Houston Rockets @ Oklahoma City Thunder,2025-10-21T23:35:00Z,player_threes,1.5,fanduel,2025-10-21T14:54:57Z,2025-10-21T14:55:27Z,100,-132.0
Kevin Durant,Houston Rockets @ Oklahoma City Thunder,2025-10-21T23:35:00Z,player_threes,2.5,fanduel,2025-10-21T14:54:57Z,2025-10-21T14:55:27Z,102,-136.0
Aaron Wiggins,Houston Rockets @ Oklahoma City Thunder,2025-10-21T23:35:00Z,player_threes,1.5,fanduel,2025-10-21T14:54:57Z,2025-10-21T14:55:27Z,-114,-114.0
Luguentz Dort,Houston Rockets @ Oklahoma City Thunder,2025-10-21T23:35:00Z,player_threes,2.5,fanduel,2025-10-21T14:54:57Z,2025-10-21T14:55:27Z,136,-182.0
Shai Gilgeous-Alexander,Houston Rockets @ Oklahoma City Thunder,2025-10-21T23:35:00Z,player_threes,1.5,fanduel,2025-10-21T14:54:57Z,2025-10-21T14:55:27Z,-138,104.0
Tari Eason,Houston Rockets @ Oklahoma City Thunder,2025-10-21T23:35:00Z,player_threes,1.5,fanduel,2025-10-21T14:54:57Z,2025-10-21T14:55:27Z,148,-200.0
Cason Wallace,Houston Rockets @ Oklahoma City Thunder,2025-10-21T23:35:00Z,player_threes,0.5,fanduel,2025-10-21T14:54:57Z,2025-10-21T14:55:27Z,-230,168.0
Reed Sheppard,Houston Rockets @ Oklahoma City Thunder,2025-10-21T23:35:00Z,player_threes,1.5,fanduel,2025-10-21T14:54:57Z,2025-10-21T14:55:27Z,-146,110.0
Jabari Smith Jr,Houston Rockets @ Oklahoma City Thunder,2025-10-21T23:35:00Z,player_threes,1.5,williamhill_us,2025-10-21T14:55:33Z,2025-10-21T14:56:03Z,-173,125.0
Shai Gilgeous-Alexander,Houston Rockets @ Oklahoma City Thunder,2025-10-21T23:35:00Z,player_threes,1.5,williamhill_us,2025-10-21T14:55:33Z,2025-10-21T14:56:03Z,-160,111.0
Aaron Wiggins,Houston Rockets @ Oklahoma City Thunder,2025-10-21T23:35:00Z,player_threes,1.5,williamhill_us,2025-10-21T14:55:33Z,2025-10-21T14:56:03Z,-120,-112.0
