game_id,game_time,week,away_abbr,home_abbr,consensus_spread,best_away_spread,best_home_spread,abs_spread,spread_cat,away_is_favorite,home_is_favorite,away_score,home_score,actual_margin,away_covered,home_covered,away_covered_consensus,home_covered_consensus,away_current_luck,away_current_off_luck,away_current_def_luck,home_current_luck,home_current_off_luck,home_current_def_luck,away_prior_luck,away_prior_off_luck,away_prior_def_luck,away_prior_week,away_prior_opp,away_prior_score,away_prior_opp_score,away_prior_adj_score,away_prior_opp_adj_score,away_prior_won,home_prior_luck,home_prior_off_luck,home_prior_def_luck,home_prior_week,home_prior_opp,home_prior_score,home_prior_opp_score,home_prior_adj_score,home_prior_opp_adj_score,home_prior_won,away_prior_luck_cat,home_prior_luck_cat,matchup_type
2aa28705315c5b718a75fe9e33ad8632,2021-11-02 00:15:00+00:00,4,NYG,KC,10.5,11.0,-10.5,10.5,7.5+,False,True,7.0,31.0,-24.0,False,True,False,True,-19.799999999999997,-12.399999999999999,-7.399999999999999,19.799999999999997,7.399999999999999,12.399999999999999,-8.200000000000003,-9.100000000000001,0.8999999999999986,3,ATL,14.0,17.0,23.1,17.9,False,-6.900000000000002,-5.300000000000001,-1.6000000000000014,3,LAC,24.0,30.0,29.3,28.4,False,Unlucky,Neutral,Unlucky vs Neutral
2be4bc13f4a7948cf75d3239782304df,2021-09-26 17:00:00+00:00,3,ARI,JAX,-8.0,-7.5,9.0,8.0,7.5+,True,False,31.0,19.0,12.0,True,False,True,False,6.699999999999999,2.1999999999999993,4.5,-6.699999999999999,-4.5,-2.1999999999999993,-0.3000000000000007,5.899999999999999,-6.199999999999999,2,MIN,34.0,33.0,28.1,26.8,True,-1.4000000000000021,-4.600000000000001,3.1999999999999993,2,DEN,13.0,23.0,17.6,26.2,False,Neutral,Neutral,Neutral vs Neutral
2c72093547bb9b335a7ae3b084a00588,2021-09-26 17:00:00+00:00,2,ATL,NYG,2.5,3.0,-2.5,2.5,0-3,False,True,24.0,20.0,4.0,True,False,True,False,-3.700000000000003,-2.6000000000000014,-1.1000000000000014,3.700000000000003,1.1000000000000014,2.6000000000000014,-14.600000000000001,-11.0,-3.6000000000000014,1,PHI,6.0,32.0,17.0,28.4,False,-13.299999999999997,-10.399999999999999,-2.8999999999999986,1,DEN,13.0,27.0,23.4,24.1,False,Unlucky,Unlucky,Unlucky vs Unlucky
2ea133a9b969b44212f00b24b52c5f33,2021-10-03 17:00:00+00:00,2,NYG,NO,7.0,7.5,-7.0,7.0,3.5-7,False,True,16.0,13.0,3.0,True,False,True,False,0.3999999999999986,-8.100000000000001,8.5,-0.3999999999999986,-8.5,8.100000000000001,-13.299999999999997,-10.399999999999999,-2.8999999999999986,1,DEN,13.0,27.0,23.4,24.1,False,23.200000000000003,11.600000000000001,11.6,1,GB,38.0,3.0,26.4,14.6,True,Unlucky,Lucky,Unlucky vs Lucky
2f48eb98efd9b6e78f77b26fbcef9c08,2021-11-21 18:00:00+00:00,2,MIA,NYJ,-4.0,-3.5,4.0,4.0,3.5-7,True,False,20.0,12.0,8.0,True,False,True,False,-0.8999999999999986,-5.899999999999999,5.0,0.8999999999999986,-5.0,5.899999999999999,2.1000000000000014,-3.5,5.600000000000001,1,NE,17.0,16.0,20.5,21.6,True,0.8000000000000007,-3.1999999999999993,4.0,1,CAR,14.0,19.0,17.2,23.0,False,Neutral,Neutral,Neutral vs Neutral
30e1383e80104cd590bdd0af90abae6a,2021-11-28 18:00:00+00:00,2,PIT,CIN,3.5,4.0,-3.5,3.5,3.5-7,False,True,10.0,20.0,-10.0,False,True,False,True,-0.1999999999999993,-5.800000000000001,5.600000000000001,0.1999999999999993,-5.600000000000001,5.800000000000001,5.399999999999999,2.5,2.8999999999999986,1,BUF,23.0,16.0,20.5,18.9,True,3.3999999999999986,2.1999999999999993,1.1999999999999993,1,MIN,27.0,24.0,24.8,25.2,True,Neutral,Neutral,Neutral vs Neutral
32e3925403200044241bfcf0666033f4,2021-11-25 21:30:00+00:00,12,LV,DAL,7.5,7.5,-7.0,7.5,7.5+,False,True,36.0,33.0,3.0,True,False,True,False,6.800000000000001,11.100000000000001,-4.300000000000001,-6.800000000000001,4.300000000000001,-11.100000000000001,-15.399999999999999,-9.2,-6.199999999999999,11,CIN,13.0,32.0,22.2,25.8,False,-3.5,-9.600000000000001,6.100000000000001,11,KC,9.0,19.0,18.6,25.1,False,Unlucky,Neutral,Unlucky vs Neutral
35347e35904be994a62111e53b7c9eaf,2021-09-26 17:00:00+00:00,3,CHI,CLE,7.5,8.0,-7.5,7.5,7.5+,False,True,6.0,26.0,-20.0,False,True,False,True,-5.6,-4.9,-0.6999999999999993,5.6,0.6999999999999993,4.9,6.9,6.6,0.3000000000000007,2,CIN,20.0,17.0,13.4,17.3,True,-0.3000000000000007,1.8999999999999986,-2.1999999999999993,2,HOU,31.0,21.0,29.1,18.8,True,Neutral,Neutral,Neutral vs Neutral
36a984fdbcb12429cdab0d7a2a659cb6,2022-01-22 21:30:00+00:00,3,CIN,TEN,4.0,4.0,-3.5,4.0,3.5-7,False,True,33.0,7.0,26.0,True,False,True,False,20.0,4.699999999999999,15.3,-20.0,-15.3,-4.699999999999999,-6.9,-0.3000000000000007,-6.6,2,CHI,17.0,20.0,17.3,13.4,False,-4.700000000000003,0.29999999999999716,-5.0,2,SEA,33.0,30.0,32.7,25.0,True,Neutral,Neutral,Neutral vs Neutral
36d1de2eae1d529ecee8ffdd510063df,2021-11-14 18:00:00+00:00,2,ATL,DAL,8.0,8.0,-7.5,8.0,7.5+,False,True,39.0,40.0,-1.0,True,False,True,False,5.800000000000001,12.8,-7.0,-5.800000000000001,7.0,-12.8,-14.600000000000001,-11.0,-3.6000000000000014,1,PHI,6.0,32.0,17.0,28.4,False,-2.3999999999999986,-2.1999999999999993,-0.1999999999999993,1,TB,29.0,31.0,31.2,30.8,False,Unlucky,Neutral,Unlucky vs Neutral
