game_id,game_time,week,away_abbr,home_abbr,consensus_spread,best_away_spread,best_home_spread,abs_spread,spread_cat,away_is_favorite,home_is_favorite,away_score,home_score,actual_margin,away_covered,home_covered,away_covered_consensus,home_covered_consensus,away_current_luck,away_current_off_luck,away_current_def_luck,home_current_luck,home_current_off_luck,home_current_def_luck,away_prior_luck,away_prior_off_luck,away_prior_def_luck,away_prior_week,away_prior_opp,away_prior_score,away_prior_opp_score,away_prior_adj_score,away_prior_opp_adj_score,away_prior_won,home_prior_luck,home_prior_off_luck,home_prior_def_luck,home_prior_week,home_prior_opp,home_prior_score,home_prior_opp_score,home_prior_adj_score,home_prior_opp_adj_score,home_prior_won,away_prior_luck_cat,home_prior_luck_cat,matchup_type
016f76d8237e8d4eb62b9c2ef68381bb,2025-11-02 18:00:00+00:00,9,CHI,CIN,-3.0,-2.5,3.0,3.0,0-3,True,False,47,42,5,True,False,True,False,-3.6999999999999993,10.5,-14.2,3.6999999999999993,14.2,-10.5,-12.0,-4.899999999999999,-7.100000000000001,8,BAL,16,30,20.9,22.9,False,-0.7000000000000028,5.399999999999999,-6.100000000000001,8,NYJ,38,39,32.6,32.9,False,Unlucky,Neutral,Unlucky vs Neutral
02522f48a7b7e7524881c1b1638cd94d,2025-09-21 17:03:00+00:00,3,NYJ,TB,6.5,6.5,-6.0,6.5,3.5-7,False,True,27,29,-2,True,False,True,False,-6.0,6.800000000000001,-12.8,6.0,12.8,-6.800000000000001,-5.5,-1.1999999999999993,-4.300000000000001,2,BUF,10,30,11.2,25.7,False,-7.5,-7.399999999999999,-0.10000000000000142,2,HOU,20,19,27.4,18.9,True,Neutral,Unlucky,Neutral vs Unlucky
03a5eed2c8ef5d1c8a48866ea4b0d63a,2025-09-21 17:03:00+00:00,3,LV,WAS,3.0,3.0,-2.5,3.0,0-3,False,True,24,41,-17,False,True,False,True,-1.9999999999999982,10.9,-12.899999999999999,1.9999999999999982,12.899999999999999,-10.9,-2.1999999999999993,-2.5,0.3000000000000007,2,LAC,9,20,11.5,20.3,False,3.3000000000000007,1.1000000000000014,2.1999999999999993,2,GB,18,27,16.9,29.2,False,Neutral,Neutral,Neutral vs Neutral
051233db287b02fd3e7574955879ece2,2025-09-28 20:25:00+00:00,4,BAL,KC,-2.5,-2.5,3.0,2.5,0-3,True,False,20,37,-17,False,True,False,True,-10.0,1.3999999999999986,-11.399999999999999,10.0,11.399999999999999,-1.3999999999999986,1.3999999999999986,6.0,-4.600000000000001,3,DET,30,38,24.0,33.4,False,6.399999999999999,-3.0,9.399999999999999,3,NYG,22,9,25.0,18.4,True,Neutral,Neutral,Neutral vs Neutral
05a5b084f4e19535b2d3f91ef5c00169,2025-09-14 17:03:00+00:00,2,NYG,DAL,5.0,5.5,-4.5,5.0,3.5-7,False,True,37,40,-3,True,False,True,False,-2.200000000000003,11.399999999999999,-13.600000000000001,2.200000000000003,13.600000000000001,-11.399999999999999,-4.299999999999999,-8.6,4.300000000000001,1,WAS,6,21,14.6,25.3,False,-2.8000000000000007,-2.1000000000000014,-0.6999999999999993,1,PHI,20,24,22.1,23.3,False,Neutral,Neutral,Neutral vs Neutral
08bfd9cd8115339250817cc66a8b3cba,2025-12-12 01:15:00+00:00,15,ATL,TB,5.5,6.0,-4.5,5.5,3.5-7,False,True,29,28,1,True,False,True,False,3.099999999999998,5.399999999999999,-2.3000000000000007,-3.099999999999998,2.3000000000000007,-5.399999999999999,-22.8,-10.0,-12.8,14,SEA,9,37,19.0,24.2,False,-3.0,2.3000000000000007,-5.300000000000001,14,NO,20,24,17.7,18.7,False,Unlucky,Neutral,Unlucky vs Neutral
09f55b4a19a83eb951a9400a11123477,2025-09-28 20:06:00+00:00,4,JAX,SF,3.0,3.5,-3.0,3.0,0-3,False,True,26,21,5,True,False,True,False,5.199999999999999,3.3000000000000007,1.8999999999999986,-5.199999999999999,-1.8999999999999986,-3.3000000000000007,3.1999999999999993,-4.0,7.199999999999999,3,HOU,17,10,21.0,17.2,True,-5.800000000000001,-8.3,2.5,3,ARI,16,15,24.3,17.5,True,Neutral,Neutral,Neutral vs Neutral
0ae85bbc3711ad0cb94475a40e2364f0,2025-11-16 18:00:00+00:00,11,CAR,ATL,4.0,4.5,-3.5,4.0,3.5-7,False,True,30,27,3,True,False,True,False,8.900000000000002,6.800000000000001,2.1000000000000014,-8.900000000000002,-2.1000000000000014,-6.800000000000001,-3.6999999999999993,-6.800000000000001,3.1000000000000014,10,NO,7,17,13.8,20.1,False,-1.5,-0.3000000000000007,-1.1999999999999993,10,IND,25,31,25.3,29.8,False,Neutral,Neutral,Neutral vs Neutral
0c6e5d9821ce0d3e82f3e792879776a6,2025-09-12 00:16:00+00:00,2,WAS,GB,3.0,3.5,-3.0,3.0,0-3,False,True,18,27,-9,False,True,False,True,3.3000000000000007,1.1000000000000014,2.1999999999999993,-3.3000000000000007,-2.1999999999999993,-1.1000000000000014,4.299999999999999,-4.300000000000001,8.6,1,NYG,21,6,25.3,14.6,True,7.899999999999999,4.899999999999999,3.0,1,DET,27,13,22.1,16.0,True,Neutral,Lucky,Neutral vs Lucky
0c85b0939650e29689bb2651b33522eb,2025-10-12 20:26:00+00:00,6,CIN,GB,14.0,14.5,-14.0,14.0,7.5+,False,True,18,27,-9,True,False,True,False,-3.900000000000002,-6.300000000000001,2.3999999999999986,3.900000000000002,-2.3999999999999986,6.300000000000001,1.5999999999999979,6.899999999999999,-5.300000000000001,5,DET,24,37,17.1,31.7,False,-0.1999999999999993,9.7,-9.899999999999999,4,DAL,40,40,30.3,30.1,False,Neutral,Neutral,Neutral vs Neutral
