game_id,game_time,week,away_abbr,home_abbr,consensus_spread,best_away_spread,best_home_spread,abs_spread,spread_cat,away_is_favorite,home_is_favorite,away_score,home_score,actual_margin,away_covered,home_covered,away_covered_consensus,home_covered_consensus,away_current_luck,away_current_off_luck,away_current_def_luck,home_current_luck,home_current_off_luck,home_current_def_luck,away_prior_luck,away_prior_off_luck,away_prior_def_luck,away_prior_week,away_prior_opp,away_prior_score,away_prior_opp_score,away_prior_adj_score,away_prior_opp_adj_score,away_prior_won,home_prior_luck,home_prior_off_luck,home_prior_def_luck,home_prior_week,home_prior_opp,home_prior_score,home_prior_opp_score,home_prior_adj_score,home_prior_opp_adj_score,home_prior_won,away_prior_luck_cat,home_prior_luck_cat,matchup_type,game_time_et,is_lu,bet_team,bet_spread,bet_reason
0cce34b9a49c4c6bdc1e65449e37a0f9,2025-12-21 18:00:00+00:00,16,KC,TEN,-3.0,-3.0,3.5,3.0,0-3,True,False,9,26,-17,False,True,False,True,-11.599999999999998,-6.699999999999999,-4.899999999999999,11.599999999999998,4.899999999999999,6.699999999999999,1.0,-4.699999999999999,5.699999999999999,15,LAC,13,16,17.7,21.7,False,-3.599999999999998,2.6000000000000014,-6.199999999999999,15,SF,24,37,21.4,30.8,False,Neutral,Unlucky,Neutral vs Unlucky,Sun 2025-12-21 13:00 ET,False,n/a,n/a,n/a
18fe4528a0bc43d9cd64bd09c0d5019f,2025-12-20 22:00:00+00:00,16,PHI,WAS,-7.0,-7.0,7.5,7.0,3.5-7,True,False,29,18,11,True,False,True,False,-1.5999999999999996,3.3000000000000007,-4.9,1.5999999999999996,4.9,-3.3000000000000007,7.6,3.1999999999999993,4.4,15,LV,31,0,27.8,4.4,True,5.399999999999999,3.3999999999999986,2.0,15,NYG,29,21,25.6,23.0,True,Lucky,Lucky,Lucky vs Lucky,Sat 2025-12-20 17:00 ET,False,n/a,n/a,n/a
2557976e0e66ab698539b543de125469,2025-12-21 18:00:00+00:00,16,BUF,CLE,-10.5,-10.5,10.5,10.5,7.5+,True,False,23,20,3,False,True,False,True,-4.300000000000001,-3.3000000000000007,-1.0,4.300000000000001,1.0,3.3000000000000007,5.699999999999999,9.8,-4.100000000000001,15,NE,35,31,25.2,26.9,True,-2.3999999999999995,1.3,-3.6999999999999993,15,CHI,3,31,1.7,27.3,False,Lucky,Neutral,Lucky vs Neutral,Sun 2025-12-21 13:00 ET,False,n/a,n/a,n/a
3db6ba91d2a72ada8843d5a0517bff27,2025-12-21 18:00:00+00:00,16,MIN,NYG,-2.5,-2.5,2.5,2.5,0-3,True,False,16,13,3,True,False,True,False,-8.399999999999999,-2.6999999999999993,-5.7,8.399999999999999,5.7,2.6999999999999993,5.800000000000001,8.600000000000001,-2.8000000000000007,15,DAL,34,26,25.4,23.2,True,-5.399999999999999,-2.0,-3.3999999999999986,15,WAS,21,29,23.0,25.6,False,Lucky,Unlucky,Lucky vs Unlucky,Sun 2025-12-21 13:00 ET,True,NYG,2.5,"NYG unlucky (-5.4), MIN lucky (+5.8)"
945286798abb5081432aef109df29778,2025-12-21 18:00:00+00:00,16,CIN,MIA,-3.5,-3.5,4.5,3.5,3.5-7,True,False,45,21,24,True,False,True,False,0.1999999999999993,8.899999999999999,-8.7,-0.1999999999999993,8.7,-8.899999999999999,-18.6,-12.8,-5.800000000000001,15,BAL,0,24,12.8,18.2,False,7.699999999999999,7.5,0.1999999999999993,15,PIT,15,28,7.5,28.2,False,Unlucky,Lucky,Unlucky vs Lucky,Sun 2025-12-21 13:00 ET,True,CIN,-3.5,"CIN unlucky (-18.6), MIA lucky (+7.7)"
9f70d98bc6918dc8e21f329405b649fe,2025-12-21 01:20:00+00:00,16,GB,CHI,1.0,1.5,-1.0,1.0,0-3,False,True,16,22,-6,False,True,False,True,-9.4,-8.5,-0.8999999999999986,9.4,0.8999999999999986,8.5,-1.8000000000000007,6.0,-7.800000000000001,15,DEN,26,34,20.0,26.2,False,2.3999999999999995,3.6999999999999993,-1.3,15,CLE,31,3,27.3,1.7,True,Neutral,Neutral,Neutral vs Neutral,Sat 2025-12-20 20:20 ET,False,n/a,n/a,n/a
aa5b25e85d1ad6540d7a5ae04b73ddfd,2025-12-21 18:00:00+00:00,16,NYJ,NO,6.5,6.5,-6.5,6.5,3.5-7,False,True,6,29,-23,False,True,False,True,-12.7,-4.800000000000001,-7.899999999999999,12.7,7.899999999999999,4.800000000000001,-10.799999999999995,1.1000000000000014,-11.9,15,JAX,20,48,18.9,36.1,False,-4.599999999999998,-2.3999999999999986,-2.1999999999999993,15,CAR,20,17,22.4,14.8,True,Unlucky,Unlucky,Unlucky vs Unlucky,Sun 2025-12-21 13:00 ET,False,n/a,n/a,n/a
aa9d0cf732b6adde4ad3ec04ca79825c,2025-12-21 18:00:00+00:00,16,LAC,DAL,1.5,1.5,-0.0,1.5,0-3,False,True,34,17,17,True,False,True,False,8.200000000000003,5.100000000000001,3.1000000000000014,-8.200000000000003,-3.1000000000000014,-5.100000000000001,-1.0,-5.699999999999999,4.699999999999999,15,KC,16,13,21.7,17.7,True,-5.800000000000001,2.8000000000000007,-8.600000000000001,15,MIN,26,34,23.2,25.4,False,Neutral,Unlucky,Neutral vs Unlucky,Sun 2025-12-21 13:00 ET,False,n/a,n/a,n/a
ac7881cc5a498c5b72680498d3fa8f6e,2025-12-19 01:15:00+00:00,16,LAR,SEA,1.5,1.5,1.0,1.5,0-3,False,True,37,38,-1,True,False,True,False,-4.600000000000001,7.199999999999999,-11.8,4.600000000000001,11.8,-7.199999999999999,-7.700000000000003,5.799999999999997,-13.5,15,DET,41,34,35.2,20.5,True,-4.400000000000002,-4.800000000000001,0.3999999999999986,15,IND,18,16,22.8,16.4,True,Unlucky,Unlucky,Unlucky vs Unlucky,Thu 2025-12-18 20:15 ET,False,n/a,n/a,n/a
d056f31082bdea4d018a26ba274b8430,2025-12-21 18:00:00+00:00,16,TB,CAR,-3.0,-3.0,3.0,3.0,0-3,True,False,20,23,-3,False,True,False,True,-3.8000000000000007,1.1999999999999993,-5.0,3.8000000000000007,5.0,-1.1999999999999993,-3.099999999999998,2.3000000000000007,-5.399999999999999,15,ATL,28,29,25.7,23.6,False,4.599999999999998,2.1999999999999993,2.3999999999999986,15,NO,17,20,14.8,22.4,False,Unlucky,Lucky,Unlucky vs Lucky,Sun 2025-12-21 13:00 ET,True,TB,-3.0,"TB unlucky (-3.1), CAR lucky (+4.6)"
