player,player_display,game,game_time,line,under_odds,over_odds,under_book,over_book,num_bookmakers,has_underdog_under,has_hot_streak,qualifies,disqualify_reason,implied_probability,bet_amount,potential_profit,streak_length,streak_makes,streak_attempts,streak_dates,avg_3pm_streak,avg_3pa_streak,predicted_3pm,prediction_signal,overperformance,regression_signal,prob_under,breakeven_prob,binomial_signal,signal_count,backtest_stats,play
Brandon Williams,Brandon Williams,Dallas Mavericks @ Miami Heat,2025-11-25T00:40:00Z,1.5,-200,164,fanduel,betonlineag,7,False,False,False,Under not underdog,,,,,,,,,,,False,,False,,,False,0,,False
Brice Sensabaugh,Brice Sensabaugh,Utah Jazz @ Golden State Warriors,2025-11-25T03:10:00Z,1.5,-110,-115,betmgm,fanatics,4,False,False,False,Under not underdog,,,,,,,,,,,False,,False,,,False,0,,False
Bruce Brown,Bruce Brown,Denver Nuggets @ Memphis Grizzlies,2025-11-25T01:10:00Z,0.5,105,-127,betmgm,williamhill_us,5,True,False,False,No hot streak,,,,,,,,,,,False,,False,,,False,0,,False
Cade Cunningham,Cade Cunningham,Detroit Pistons @ Indiana Pacers,2025-11-25T00:10:00Z,1.5,148,-176,fanduel,draftkings,5,True,False,False,No hot streak,,,,,,,,,,,False,,False,,,False,0,,False
Cade Cunningham,Cade Cunningham,Detroit Pistons @ Indiana Pacers,2025-11-25T00:10:00Z,2.5,-190,155,betrivers,bovada,4,False,False,False,Under not underdog,,,,,,,,,,,False,,False,,,False,0,,False
Cam Spencer,Cam Spencer,Denver Nuggets @ Memphis Grizzlies,2025-11-25T01:10:00Z,1.5,125,-157,bovada,williamhill_us,4,True,False,False,No hot streak,,,,,,,,,,,False,,False,,,False,0,,False
Cam Spencer,Cam Spencer,Denver Nuggets @ Memphis Grizzlies,2025-11-25T01:10:00Z,2.5,-250,185,bovada,bovada,1,False,False,False,Under not underdog,,,,,,,,,,,False,,False,,,False,0,,False
Cameron Johnson,Cameron Johnson,Denver Nuggets @ Memphis Grizzlies,2025-11-25T01:10:00Z,1.5,155,-185,bovada,betonlineag,8,True,False,False,No hot streak,,,,,,,,,,,False,,False,,,False,0,,False
Cameron Johnson,Cameron Johnson,Denver Nuggets @ Memphis Grizzlies,2025-11-25T01:10:00Z,2.5,-190,145,bovada,bovada,1,False,False,False,Under not underdog,,,,,,,,,,,False,,False,,,False,0,,False
Cedric Coward,Cedric Coward,Denver Nuggets @ Memphis Grizzlies,2025-11-25T01:10:00Z,1.5,135,-167,betmgm,draftkings,8,True,False,False,No hot streak,,,,,,,,,,,False,,False,,,False,0,,False
Cedric Coward,Cedric Coward,Denver Nuggets @ Memphis Grizzlies,2025-11-25T01:10:00Z,2.5,-230,170,bovada,bovada,1,False,False,False,Under not underdog,,,,,,,,,,,False,,False,,,False,0,,False
Coby White,Coby White,Chicago Bulls @ New Orleans Pelicans,2025-11-25T01:10:00Z,2.5,180,-245,bovada,bovada,1,True,False,False,No hot streak,,,,,,,,,,,False,,False,,,False,0,,False
Coby White,Coby White,Chicago Bulls @ New Orleans Pelicans,2025-11-25T01:10:00Z,3.5,-130,106,betrivers,draftkings,8,False,False,False,Under not underdog,,,,,,,,,,,False,,False,,,False,0,,False
