team,opponent,location,game_id,game_time,last_week,last_week_luck,last_week_exp_diff,last_week_actual_diff,this_week,this_week_spread,spread_abs,spread_category,is_favorite,num_books,strat_primary_back_unlucky_fav_small_spread,strat_secondary_back_lucky_dog_large_spread
KC,JAX,away,1910db6879dddf37e4f86f0bcf1c9547,2025-10-07 00:16:00+00:00,4,10.0,7.0,17,5,-3.5,3.5,3-7,True,11,False,False
JAX,KC,home,1910db6879dddf37e4f86f0bcf1c9547,2025-10-07 00:16:00+00:00,4,5.199999999999999,-0.1999999999999993,5,5,3.5,3.5,3-7,False,11,False,False
LV,IND,away,1e3d3526039030b96471845ade5992cf,2025-10-05 17:01:00+00:00,4,-6.800000000000001,5.800000000000001,-1,5,7.0,7.0,3-7,False,11,False,False
IND,LV,home,1e3d3526039030b96471845ade5992cf,2025-10-05 17:01:00+00:00,4,0.2999999999999971,-7.299999999999997,-7,5,-7.0,7.0,3-7,True,11,False,False
NYG,NO,away,1fe136913ef0e77717c0f0668163637f,2025-10-05 17:01:00+00:00,4,2.8999999999999986,0.1000000000000014,3,5,2.5,2.5,0-3,False,11,False,False
NO,NYG,home,1fe136913ef0e77717c0f0668163637f,2025-10-05 17:01:00+00:00,4,-10.3,-1.6999999999999993,-12,5,-2.5,2.5,0-3,True,11,True,False
LAR,SF,away,2710103fe4fb0170ae03b4e34bde8132,2025-11-09 21:25:00+00:00,4,-0.2999999999999971,7.299999999999997,7,5,-6.0,6.0,3-7,True,11,False,False
SF,LAR,home,2710103fe4fb0170ae03b4e34bde8132,2025-11-09 21:25:00+00:00,4,-5.199999999999999,0.1999999999999993,-5,5,6.0,6.0,3-7,False,11,False,False
MIN,CLE,away,6e206c7bc9379b07d27298a393305384,2025-10-05 13:31:00+00:00,4,5.800000000000001,-8.8,-3,5,-3.5,3.5,3-7,True,11,False,False
CLE,MIN,home,6e206c7bc9379b07d27298a393305384,2025-10-05 13:31:00+00:00,4,-16.799999999999997,-7.200000000000001,-24,5,3.5,3.5,3-7,False,11,False,False
HOU,BAL,away,6eb8eeff6a052455649ddd2a50e0a188,2025-10-05 17:01:00+00:00,4,18.8,7.199999999999999,26,5,-2.5,2.5,0-3,True,11,False,False
BAL,HOU,home,6eb8eeff6a052455649ddd2a50e0a188,2025-10-05 17:01:00+00:00,4,-10.0,-7.0,-17,5,2.5,2.5,0-3,False,11,False,False
TB,SEA,away,6f5a22a3ca33478094cef1e9212ba0fc,2025-10-05 20:06:00+00:00,4,-3.6000000000000014,-2.3999999999999986,-6,5,3.5,3.5,3-7,False,11,False,False
SEA,TB,home,6f5a22a3ca33478094cef1e9212ba0fc,2025-10-05 20:06:00+00:00,4,-2.8999999999999986,5.899999999999999,3,5,-3.5,3.5,3-7,True,11,False,False
WAS,LAC,away,79c4e9f40e2647dc2a7b377cf61c48cd,2025-10-05 20:26:00+00:00,4,-3.8000000000000007,-3.1999999999999997,-7,5,3.0,3.0,0-3,False,11,False,False
LAC,WAS,home,79c4e9f40e2647dc2a7b377cf61c48cd,2025-10-05 20:26:00+00:00,4,-2.8999999999999986,-0.1000000000000014,-3,5,-3.0,3.0,0-3,True,11,False,False
TEN,ARI,away,8fa3fd86eaa7b432469d43b84904e1dc,2025-10-05 20:06:00+00:00,4,-18.8,-7.199999999999999,-26,5,7.5,7.5,7+,False,11,False,False
ARI,TEN,home,8fa3fd86eaa7b432469d43b84904e1dc,2025-10-05 20:06:00+00:00,4,2.8999999999999986,-5.899999999999999,-3,5,-7.5,7.5,7+,True,11,False,False
NE,BUF,away,ba826e757d625a676452b8d3d6971bb0,2025-10-06 00:21:00+00:00,4,27.5,1.5,29,5,8.0,8.0,7+,False,11,False,True
BUF,NE,home,ba826e757d625a676452b8d3d6971bb0,2025-10-06 00:21:00+00:00,4,10.3,1.6999999999999993,12,5,-8.0,8.0,7+,True,11,False,False
DEN,PHI,away,bc4f9a719baf61261befad75f4bdb539,2025-10-05 17:01:00+00:00,4,13.9,11.1,25,5,4.0,4.0,3-7,False,11,False,False
