team,opponent,location,game_id,game_time,last_week,last_week_luck,last_week_exp_diff,last_week_actual_diff,this_week,this_week_spread,spread_abs,spread_category,is_favorite,num_books,strat_primary_back_unlucky_fav_small_spread,strat_secondary_back_lucky_dog_large_spread
CIN,GB,away,0c85b0939650e29689bb2651b33522eb,2025-10-12 20:26:00+00:00,5,1.599999999999998,-14.599999999999998,-13.0,6,14.0,14.0,7+,False,11,False,False
GB,CIN,home,0c85b0939650e29689bb2651b33522eb,2025-10-12 20:26:00+00:00,5,0.0,,,6,-14.0,14.0,7+,True,11,False,False
BUF,ATL,away,33e0adf378d2856ffe5f8452e7d5512d,2025-10-13 23:15:00+00:00,5,-4.800000000000001,1.8000000000000007,-3.0,6,-3.5,3.5,3-7,True,11,False,False
ATL,BUF,home,33e0adf378d2856ffe5f8452e7d5512d,2025-10-13 23:15:00+00:00,5,0.0,,,6,3.5,3.5,3-7,False,11,False,False
CHI,WAS,away,38366aa83a3eb6cef71a1134c4fceb2c,2025-10-14 00:16:00+00:00,5,0.0,,,6,5.5,5.5,3-7,False,11,False,False
WAS,CHI,home,38366aa83a3eb6cef71a1134c4fceb2c,2025-10-14 00:16:00+00:00,5,1.6999999999999993,15.3,17.0,6,-5.5,5.5,3-7,True,11,False,False
TEN,LV,away,4963bff460a5f26cab46a8e5ea6db148,2025-10-12 20:06:00+00:00,5,-4.5,5.5,1.0,6,3.5,3.5,3-7,False,11,False,False
LV,TEN,home,4963bff460a5f26cab46a8e5ea6db148,2025-10-12 20:06:00+00:00,5,-23.3,-10.7,-34.0,6,-3.5,3.5,3-7,True,11,True,False
DET,KC,away,82e432d5d8bc0b5a6cbe0c324de90de3,2025-10-13 00:20:00+00:00,5,-1.599999999999998,14.599999999999998,13.0,6,2.5,2.5,0-3,False,11,False,False
KC,DET,home,82e432d5d8bc0b5a6cbe0c324de90de3,2025-10-13 00:20:00+00:00,5,-13.099999999999998,10.099999999999998,-3.0,6,-2.5,2.5,0-3,True,11,True,False
SF,TB,away,9e705d669039f2ca8364f408b7792a8a,2025-10-12 20:26:00+00:00,5,8.100000000000001,-5.100000000000001,3.0,6,3.5,3.5,3-7,False,11,False,False
TB,SF,home,9e705d669039f2ca8364f408b7792a8a,2025-10-12 20:26:00+00:00,5,6.5,-3.5,3.0,6,-3.5,3.5,3-7,True,11,False,False
