player,game,game_time,market,line,bookmaker,bookmaker_last_update,market_last_update,over_odds,under_odds
Desmond Bane,Chicago Bulls @ Orlando Magic,2025-10-25T23:00:00Z,player_threes,2.5,draftkings,2025-10-25T14:55:06Z,2025-10-25T14:56:14Z,-145,112
Kevin Huerter,Chicago Bulls @ Orlando Magic,2025-10-25T23:00:00Z,player_threes,1.5,draftkings,2025-10-25T14:55:06Z,2025-10-25T14:56:14Z,-173,133
Matas Buzelis,Chicago Bulls @ Orlando Magic,2025-10-25T23:00:00Z,player_threes,1.5,draftkings,2025-10-25T14:55:06Z,2025-10-25T14:56:14Z,-166,127
Franz Wagner,Chicago Bulls @ Orlando Magic,2025-10-25T23:00:00Z,player_threes,1.5,draftkings,2025-10-25T14:55:06Z,2025-10-25T14:56:14Z,-160,123
Paolo Banchero,Chicago Bulls @ Orlando Magic,2025-10-25T23:00:00Z,player_threes,1.5,draftkings,2025-10-25T14:55:06Z,2025-10-25T14:56:14Z,-150,116
Nikola Vucevic,Chicago Bulls @ Orlando Magic,2025-10-25T23:00:00Z,player_threes,1.5,draftkings,2025-10-25T14:55:06Z,2025-10-25T14:56:14Z,-141,109
Tyus Jones,Chicago Bulls @ Orlando Magic,2025-10-25T23:00:00Z,player_threes,1.5,draftkings,2025-10-25T14:55:06Z,2025-10-25T14:56:14Z,-136,105
Josh Giddey,Chicago Bulls @ Orlando Magic,2025-10-25T23:00:00Z,player_threes,1.5,draftkings,2025-10-25T14:55:06Z,2025-10-25T14:56:14Z,134,-175
Ayo Dosunmu,Chicago Bulls @ Orlando Magic,2025-10-25T23:00:00Z,player_threes,1.5,draftkings,2025-10-25T14:55:06Z,2025-10-25T14:56:14Z,149,-194
Isaac Okoro,Chicago Bulls @ Orlando Magic,2025-10-25T23:00:00Z,player_threes,0.5,draftkings,2025-10-25T14:55:06Z,2025-10-25T14:56:14Z,-163,125
Wendell Carter Jr,Chicago Bulls @ Orlando Magic,2025-10-25T23:00:00Z,player_threes,0.5,betonlineag,2025-10-25T14:54:40Z,2025-10-25T14:56:33Z,-145,112
Nikola Vucevic,Chicago Bulls @ Orlando Magic,2025-10-25T23:00:00Z,player_threes,1.5,betonlineag,2025-10-25T14:54:40Z,2025-10-25T14:56:33Z,-137,106
Franz Wagner,Chicago Bulls @ Orlando Magic,2025-10-25T23:00:00Z,player_threes,1.5,betonlineag,2025-10-25T14:54:40Z,2025-10-25T14:56:33Z,-154,118
