player,game,game_time,market,line,bookmaker,bookmaker_last_update,market_last_update,over_odds,under_odds
Desmond Bane,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,2.5,draftkings,2025-11-20T14:54:49Z,2025-11-20T14:56:01Z,122,-161
Tristan da Silva,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,1.5,draftkings,2025-11-20T14:54:49Z,2025-11-20T14:56:01Z,-180,136
Jalen Suggs,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,1.5,draftkings,2025-11-20T14:54:49Z,2025-11-20T14:56:01Z,-174,132
Bogdan Bogdanovic,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,1.5,draftkings,2025-11-20T14:54:49Z,2025-11-20T14:56:01Z,-148,112
Franz Wagner,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,1.5,draftkings,2025-11-20T14:54:49Z,2025-11-20T14:56:01Z,-136,103
Nicolas Batum,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,1.5,draftkings,2025-11-20T14:54:49Z,2025-11-20T14:56:01Z,153,-204
Wendell Carter Jr,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,1.5,draftkings,2025-11-20T14:54:49Z,2025-11-20T14:56:01Z,160,-214
John Collins,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,1.5,draftkings,2025-11-20T14:54:49Z,2025-11-20T14:56:01Z,171,-229
Wendell Carter Jr,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,1.5,betonlineag,2025-11-20T14:54:37Z,2025-11-20T14:55:52Z,174,-233
Nicolas Batum,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,1.5,betonlineag,2025-11-20T14:54:37Z,2025-11-20T14:55:52Z,149,-196
Franz Wagner,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,1.5,betonlineag,2025-11-20T14:54:37Z,2025-11-20T14:55:52Z,-139,107
Jalen Suggs,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,1.5,betonlineag,2025-11-20T14:54:37Z,2025-11-20T14:55:52Z,-179,136
Kris Dunn,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,0.5,betonlineag,2025-11-20T14:54:37Z,2025-11-20T14:55:52Z,-179,137
James Harden,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,3.5,betonlineag,2025-11-20T14:54:37Z,2025-11-20T14:55:52Z,122,-159
Desmond Bane,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,2.5,betonlineag,2025-11-20T14:54:37Z,2025-11-20T14:55:52Z,117,-152
John Collins,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,1.5,betonlineag,2025-11-20T14:54:37Z,2025-11-20T14:55:52Z,178,-238
Bogdan Bogdanovic,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,1.5,betonlineag,2025-11-20T14:54:37Z,2025-11-20T14:55:52Z,-147,114
Tristan da Silva,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,1.5,betonlineag,2025-11-20T14:54:37Z,2025-11-20T14:55:52Z,-185,140
Anthony Black,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,1.5,betonlineag,2025-11-20T14:54:37Z,2025-11-20T14:55:52Z,186,-250
Desmond Bane,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,2.5,williamhill_us,2025-11-20T14:54:57Z,2025-11-20T14:56:00Z,113,-150
Anthony Black,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,1.5,williamhill_us,2025-11-20T14:54:57Z,2025-11-20T14:56:00Z,177,-245
John Collins,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,1.5,williamhill_us,2025-11-20T14:54:57Z,2025-11-20T14:56:00Z,164,-225
Tristan da Silva,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,1.5,williamhill_us,2025-11-20T14:54:57Z,2025-11-20T14:56:00Z,-190,137
Jalen Suggs,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,2.5,williamhill_us,2025-11-20T14:54:57Z,2025-11-20T14:56:00Z,146,-197
Bogdan Bogdanovic,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,1.5,williamhill_us,2025-11-20T14:54:57Z,2025-11-20T14:56:00Z,-152,114
James Harden,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,3.5,williamhill_us,2025-11-20T14:54:57Z,2025-11-20T14:56:00Z,115,-154
Franz Wagner,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,1.5,williamhill_us,2025-11-20T14:54:57Z,2025-11-20T14:56:00Z,-137,104
Nicolas Batum,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,1.5,williamhill_us,2025-11-20T14:54:57Z,2025-11-20T14:56:00Z,146,-197
Wendell Carter Jr,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,1.5,williamhill_us,2025-11-20T14:54:57Z,2025-11-20T14:56:00Z,162,-225
Wendell Carter Jr,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,0.5,betmgm,2025-11-20T14:54:48Z,2025-11-20T14:55:23Z,-225,170
