team,implied_prob_avg,implied_prob_min,implied_prob_max,num_books,best_book,best_odds,fair_prob,fair_odds,shopping_spread_pct,record
Indiana Hoosiers,0.4397233201581028,0.43478260869565216,0.45454545454545453,4,draftkings,130,0.40734485101875245,145.49224017415264,1.9762845849802368,-
Oregon Ducks,0.24702380952380953,0.23809523809523808,0.25,4,draftkings,320,0.22883452451960362,336.9969968907959,1.1904761904761918,-
Miami Hurricanes,0.24696045824094603,0.22727272727272727,0.26666666666666666,4,fanduel,340,0.22877583802812848,337.1090971053717,3.93939393939394,-
Ole Miss Rebels,0.14577904130142935,0.14285714285714285,0.14925373134328357,4,draftkings,600,0.1350447864335154,640.4950804911784,0.639658848614072,-
