player_normalized,team,timestamp
Aaron Gordon,DEN,2026-01-25T18:42:14.277978
Aaron Holiday,HOU,2026-01-25T18:42:14.277978
Aaron Nesmith,IND,2026-01-25T18:42:14.277978
Aaron Wiggins,OKC,2026-01-25T18:42:14.277978
Ace Bailey,UTA,2026-01-25T18:42:14.277978
Adem Bona,PHI,2026-01-25T18:42:14.277978
Adou Thiero,LAL,2026-01-25T18:42:14.277978
Aj Green,MIL,2026-01-25T18:42:14.277978
Aj Johnson,WAS,2026-01-25T18:42:14.277978
Aj Lawson,TOR,2026-01-25T18:42:14.277978
Ajay Mitchell,OKC,2026-01-25T18:42:14.277978
Al Horford,GSW,2026-01-25T18:42:14.277978
Alex Antetokounmpo,MIL,2026-01-25T18:42:14.277978
Alex Caruso,OKC,2026-01-25T18:42:14.277978
Alex Sarr,WAS,2026-01-25T18:42:14.277978
Alijah Martin,TOR,2026-01-25T18:42:14.277978
Alperen Sengun,HOU,2026-01-25T18:42:14.277978
Amari Williams,BOS,2026-01-25T18:42:14.277978
Amen Thompson,HOU,2026-01-25T18:42:14.277978
Amir Coffey,MIL,2026-01-25T18:42:14.277978
Andre Drummond,PHI,2026-01-25T18:42:14.277978
Andre Jackson Jr,MIL,2026-01-25T18:42:14.277978
Andrew Nembhard,IND,2026-01-25T18:42:14.277978
Andrew Wiggins,MIA,2026-01-25T18:42:14.277978
Anfernee Simons,BOS,2026-01-25T18:42:14.277978
Anthony Black,ORL,2026-01-25T18:42:14.277978
Anthony Davis,DAL,2026-01-25T18:42:14.277978
Anthony Edwards,MIN,2026-01-25T18:42:14.277978
Anthony Gill,WAS,2026-01-25T18:42:14.277978
Antonio Reeves,CHA,2026-01-25T18:42:14.277978
Ariel Hukporti,NYK,2026-01-25T18:42:14.277978
Asa Newell,ATL,2026-01-25T18:42:14.277978
Ausar Thompson,DET,2026-01-25T18:42:14.277978
Austin Reaves,LAL,2026-01-25T18:42:14.277978
Ayo Dosunmu,CHI,2026-01-25T18:42:14.277978
Bam Adebayo,MIA,2026-01-25T18:42:14.277978
