game_date,player_name,team,opponent,points_line,team_spread,line_tier,spread_bin,scorer_type,strategy_key,bet_side,strategy_roi,strategy_edge,strategy_hit_rate,strategy_games,actual_points,result,margin,profit
2025-10-28,Moussa Diabaté,Charlotte Hornets,CHA @ MIA,8.5,4.545454545454546,5-10 (Bench),2-6 Dog,Rim Attacker (≥40.0%),11,OVER,6.9,7.6,56.0,160,8,LOSS,-0.5,-110.0
2025-10-28,Kyle Kuzma,Milwaukee Bucks,MIL vs. NYK,9.875,2.1818181818181817,5-10 (Bench),2-6 Dog,Rim Attacker (≥40.0%),11,OVER,6.9,7.6,56.0,160,5,LOSS,-4.875,-110.0
2025-10-28,Kris Dunn,Los Angeles Clippers,LAC @ GSW,7.269230769230769,-1.5909090909090908,5-10 (Bench),Pick'em (-2 to +2),Perimeter (<40.0%),14,UNDER,6.6,4.2,55.8,129,5,WIN,-2.269230769230769,100.0
2025-10-28,Al Horford,Golden State Warriors,GSW vs. LAC,7.269230769230769,1.5909090909090908,5-10 (Bench),Pick'em (-2 to +2),Perimeter (<40.0%),14,UNDER,6.6,4.2,55.8,129,2,WIN,-5.269230769230769,100.0
2025-10-28,Brook Lopez,Los Angeles Clippers,LAC @ GSW,6.5,-1.5909090909090908,5-10 (Bench),Pick'em (-2 to +2),Perimeter (<40.0%),14,UNDER,6.6,4.2,55.8,129,3,WIN,-3.5,100.0
2025-10-28,Buddy Hield,Golden State Warriors,GSW vs. LAC,8.26923076923077,1.5909090909090908,5-10 (Bench),Pick'em (-2 to +2),Perimeter (<40.0%),14,UNDER,6.6,4.2,55.8,129,2,WIN,-6.26923076923077,100.0
2025-10-29,Austin Reaves,Los Angeles Lakers,LAL @ MIN,29.852941176470587,7.454545454545454,25-30 (High Star),6-10 Dog,Perimeter (<40.0%),10,OVER,7.0,7.7,56.1,66,28,LOSS,-1.852941176470587,-110.0
2025-10-29,Pascal Siakam,Indiana Pacers,IND @ DAL,25.91176470588235,5.863636363636363,25-30 (High Star),2-6 Dog,Perimeter (<40.0%),6,OVER,8.8,8.6,57.0,107,27,WIN,1.0882352941176485,100.0
2025-10-29,Scottie Barnes,Toronto Raptors,TOR vs. HOU,17.766666666666666,5.5,15-20 (High Role),2-6 Dog,Rim Attacker (≥40.0%),16,UNDER,6.2,4.1,55.7,115,31,LOSS,13.233333333333334,-110.0
2025-10-29,Kevin Durant,Houston Rockets,HOU @ TOR,25.794117647058822,-5.5,25-30 (High Star),2-6 Fav,Perimeter (<40.0%),7,UNDER,8.6,5.3,56.9,58,31,LOSS,5.2058823529411775,-110.0
2025-10-29,Domantas Sabonis,Sacramento Kings,SAC @ CHI,17.166666666666668,4.5,15-20 (High Role),2-6 Dog,Rim Attacker (≥40.0%),16,UNDER,6.2,4.1,55.7,115,18,LOSS,0.8333333333333321,-110.0
2025-10-29,Santi Aldama,Memphis Grizzlies,MEM @ PHX,11.26923076923077,-1.9545454545454544,10-15 (Role Player),Pick'em (-2 to +2),Perimeter (<40.0%),18,OVER,5.4,6.8,55.2,164,14,WIN,2.73076923076923,100.0
2025-10-29,Jaren Jackson Jr.,Memphis Grizzlies,MEM @ PHX,20.0625,-1.9545454545454544,20-25 (Star),Pick'em (-2 to +2),Perimeter (<40.0%),13,OVER,6.7,7.5,55.9,68,18,LOSS,-2.0625,-110.0
2025-10-29,Tobias Harris,Detroit Pistons,DET vs. ORL,13.571428571428571,1.5,10-15 (Role Player),Pick'em (-2 to +2),Perimeter (<40.0%),18,OVER,5.4,6.8,55.2,164,23,WIN,9.428571428571429,100.0
2025-10-29,Neemias Queta,Boston Celtics,BOS vs. CLE,8.0,3.5,5-10 (Bench),2-6 Dog,Rim Attacker (≥40.0%),11,OVER,6.9,7.6,56.0,160,10,WIN,2.0,100.0
2025-10-29,Deandre Ayton,Los Angeles Lakers,LAL @ MIN,14.5,7.454545454545454,10-15 (Role Player),6-10 Dog,Rim Attacker (≥40.0%),17,UNDER,5.5,3.7,55.3,123,17,LOSS,2.5,-110.0
2025-10-29,Donovan Mitchell,Cleveland Cavaliers,CLE @ BOS,29.794117647058822,-3.5,25-30 (High Star),2-6 Fav,Perimeter (<40.0%),7,UNDER,8.6,5.3,56.9,58,15,WIN,-14.794117647058822,100.0
2025-10-29,Mike Conley,Minnesota Timberwolves,MIN vs. LAL,8.5,-7.454545454545454,5-10 (Bench),6-10 Fav,Perimeter (<40.0%),2,OVER,11.1,9.8,58.2,208,8,LOSS,-0.5,-110.0
2025-10-29,Christian Braun,Denver Nuggets,DEN vs. NOP,12.26923076923077,-12.045454545454543,10-15 (Role Player),10-15 Fav,Rim Attacker (≥40.0%),8,UNDER,7.9,4.9,56.5,69,17,LOSS,4.73076923076923,-110.0
2025-10-29,Luke Kennard,Atlanta Hawks,ATL @ BKN,6.5,-8.181818181818182,5-10 (Bench),6-10 Fav,Perimeter (<40.0%),2,OVER,11.1,9.8,58.2,208,17,WIN,10.5,100.0
2025-10-29,Cam Thomas,Brooklyn Nets,BKN vs. ATL,23.4375,8.181818181818182,20-25 (Star),6-10 Dog,Perimeter (<40.0%),19,OVER,5.1,6.7,55.1,69,19,LOSS,-4.4375,-110.0
2025-10-29,Duncan Robinson,Detroit Pistons,DET vs. ORL,9.961538461538462,1.5,5-10 (Bench),Pick'em (-2 to +2),Perimeter (<40.0%),14,UNDER,6.6,4.2,55.8,129,15,LOSS,5.038461538461538,-110.0
2025-10-29,Ryan Dunn,Phoenix Suns,PHX vs. MEM,8.083333333333334,1.9545454545454544,5-10 (Bench),Pick'em (-2 to +2),Rim Attacker (≥40.0%),0,UNDER,26.0,14.4,66.0,100,9,LOSS,0.9166666666666661,-110.0
2025-10-29,Jusuf Nurkić,Utah Jazz,UTA vs. POR,7.954545454545454,3.136363636363636,5-10 (Bench),2-6 Dog,Rim Attacker (≥40.0%),11,OVER,6.9,7.6,56.0,160,13,WIN,5.045454545454546,100.0
2025-10-29,Tristan da Silva,Orlando Magic,ORL @ DET,6.916666666666667,-1.5,5-10 (Bench),Pick'em (-2 to +2),Perimeter (<40.0%),14,UNDER,6.6,4.2,55.8,129,15,LOSS,8.083333333333332,-110.0
2025-10-29,Cedric Coward,Memphis Grizzlies,MEM @ PHX,11.73076923076923,-1.9545454545454544,10-15 (Role Player),Pick'em (-2 to +2),Perimeter (<40.0%),18,OVER,5.4,6.8,55.2,164,14,WIN,2.26923076923077,100.0
2025-10-29,Grayson Allen,Phoenix Suns,PHX vs. MEM,16.5,1.9545454545454544,15-20 (High Role),Pick'em (-2 to +2),Perimeter (<40.0%),12,UNDER,6.8,4.4,56.0,109,14,WIN,-2.5,100.0
2025-10-29,Jalen Suggs,Orlando Magic,ORL @ DET,11.192307692307692,-1.5,10-15 (Role Player),Pick'em (-2 to +2),Perimeter (<40.0%),18,OVER,5.4,6.8,55.2,164,8,LOSS,-3.1923076923076916,-110.0
2025-10-29,RJ Barrett,Toronto Raptors,TOR vs. HOU,17.766666666666666,5.5,15-20 (High Role),2-6 Dog,Rim Attacker (≥40.0%),16,UNDER,6.2,4.1,55.7,115,10,WIN,-7.766666666666666,100.0
2025-10-29,Kentavious Caldwell-Pope,Memphis Grizzlies,MEM @ PHX,8.5,-1.9545454545454544,5-10 (Bench),Pick'em (-2 to +2),Perimeter (<40.0%),14,UNDER,6.6,4.2,55.8,129,11,LOSS,2.5,-110.0
2025-10-29,Desmond Bane,Orlando Magic,ORL @ DET,19.1,-1.5,15-20 (High Role),Pick'em (-2 to +2),Rim Attacker (≥40.0%),1,UNDER,11.9,7.0,58.6,58,12,WIN,-7.100000000000001,100.0
2025-10-29,Isaiah Stewart,Detroit Pistons,DET vs. ORL,8.0,1.5,5-10 (Bench),Pick'em (-2 to +2),Rim Attacker (≥40.0%),0,UNDER,26.0,14.4,66.0,100,9,LOSS,1.0,-110.0
2025-10-29,Jaylen Wells,Memphis Grizzlies,MEM @ PHX,11.5,-1.9545454545454544,10-15 (Role Player),Pick'em (-2 to +2),Perimeter (<40.0%),18,OVER,5.4,6.8,55.2,164,9,LOSS,-2.5,-110.0
2025-10-29,Saddiq Bey,New Orleans Pelicans,NOP @ DEN,10.833333333333334,12.045454545454543,10-15 (Role Player),10-15 Dog,Rim Attacker (≥40.0%),4,OVER,9.5,9.0,57.4,68,7,LOSS,-3.833333333333334,-110.0
2025-10-29,Anthony Black,Orlando Magic,ORL @ DET,9.73076923076923,-1.5,5-10 (Bench),Pick'em (-2 to +2),Rim Attacker (≥40.0%),0,UNDER,26.0,14.4,66.0,100,10,LOSS,0.26923076923077005,-110.0
2025-10-29,Trey Murphy III,New Orleans Pelicans,NOP @ DEN,16.233333333333334,12.045454545454543,15-20 (High Role),10-15 Dog,Perimeter (<40.0%),9,UNDER,7.0,4.5,56.1,66,7,WIN,-9.233333333333334,100.0
2025-10-29,Jock Landale,Memphis Grizzlies,MEM @ PHX,8.5,-1.9545454545454544,5-10 (Bench),Pick'em (-2 to +2),Rim Attacker (≥40.0%),0,UNDER,26.0,14.4,66.0,100,6,WIN,-2.5,100.0
2025-10-29,Sandro Mamukelashvili,Toronto Raptors,TOR vs. HOU,9.416666666666666,5.5,5-10 (Bench),2-6 Dog,Rim Attacker (≥40.0%),11,OVER,6.9,7.6,56.0,160,10,WIN,0.5833333333333339,100.0
2025-10-29,Jordan Poole,New Orleans Pelicans,NOP @ DEN,18.766666666666666,12.045454545454543,15-20 (High Role),10-15 Dog,Perimeter (<40.0%),9,UNDER,7.0,4.5,56.1,66,9,WIN,-9.766666666666666,100.0
