strategy_idx,line_tier,spread_bin,scorer_type,bet_side,training_roi,training_hit_rate,training_games,backtest_plays,backtest_wins,backtest_losses,backtest_pushes,backtest_win_rate,backtest_profit,backtest_roi,roi_delta
2,5-10 (Bench),6-10 Fav,Perimeter (<40.0%),OVER,11.1,58.2,208,210,97,113,0,46.19047619047619,-2730.0,-11.818181818181818,-22.918181818181818
11,5-10 (Bench),2-6 Dog,Rim Attacker (≥40.0%),OVER,6.9,56.0,160,192,92,99,1,48.167539267015705,-1690.0,-8.00189393939394,-14.90189393939394
18,10-15 (Role Player),Pick'em (-2 to +2),Perimeter (<40.0%),OVER,5.4,55.2,164,164,90,73,1,55.21472392638037,970.0,5.376940133037694,-0.02305986696230633
17,10-15 (Role Player),6-10 Dog,Rim Attacker (≥40.0%),UNDER,5.5,55.3,123,135,65,70,0,48.148148148148145,-1200.0,-8.080808080808081,-13.580808080808081
14,5-10 (Bench),Pick'em (-2 to +2),Perimeter (<40.0%),UNDER,6.6,55.8,129,133,76,57,0,57.14285714285714,1330.0,9.090909090909092,2.490909090909092
15,5-10 (Bench),10-15 Dog,Perimeter (<40.0%),UNDER,6.6,55.8,121,128,73,55,0,57.03125,1250.0,8.877840909090908,2.2778409090909086
5,5-10 (Bench),10-15 Fav,Perimeter (<40.0%),UNDER,9.3,57.3,131,122,68,53,1,56.19834710743802,970.0,7.228017883755589,-2.0719821162444116
12,15-20 (High Role),Pick'em (-2 to +2),Perimeter (<40.0%),UNDER,6.8,56.0,109,109,61,48,0,55.96330275229357,820.0,6.839032527105922,0.0390325271059222
7,25-30 (High Star),2-6 Fav,Perimeter (<40.0%),UNDER,8.6,56.9,58,107,46,61,0,42.99065420560748,-2110.0,-17.926932880203907,-26.52693288020391
19,20-25 (Star),6-10 Dog,Perimeter (<40.0%),OVER,5.1,55.1,69,104,53,51,0,50.96153846153846,-310.0,-2.7097902097902096,-7.80979020979021
0,5-10 (Bench),Pick'em (-2 to +2),Rim Attacker (≥40.0%),UNDER,26.0,66.0,100,101,67,34,0,66.33663366336634,2960.0,26.642664266426642,0.6426642664266424
16,15-20 (High Role),2-6 Dog,Rim Attacker (≥40.0%),UNDER,6.2,55.7,115,94,48,46,0,51.06382978723404,-260.0,-2.5145067698259185,-8.714506769825919
9,15-20 (High Role),10-15 Dog,Perimeter (<40.0%),UNDER,7.0,56.1,66,86,46,39,1,54.11764705882353,310.0,3.276955602536998,-3.723044397463002
8,10-15 (Role Player),10-15 Fav,Rim Attacker (≥40.0%),UNDER,7.9,56.5,69,69,30,39,0,43.47826086956522,-1290.0,-16.99604743083004,-24.896047430830038
4,10-15 (Role Player),10-15 Dog,Rim Attacker (≥40.0%),OVER,9.5,57.4,68,69,30,39,0,43.47826086956522,-1290.0,-16.99604743083004,-26.49604743083004
13,20-25 (Star),Pick'em (-2 to +2),Perimeter (<40.0%),OVER,6.7,55.9,68,68,38,30,0,55.88235294117647,500.0,6.684491978609626,-0.015508021390374438
6,25-30 (High Star),2-6 Dog,Perimeter (<40.0%),OVER,8.8,57.0,107,60,26,34,0,43.333333333333336,-1140.0,-17.272727272727273,-26.072727272727274
1,15-20 (High Role),Pick'em (-2 to +2),Rim Attacker (≥40.0%),UNDER,11.9,58.6,58,58,34,24,0,58.620689655172406,760.0,11.912225705329153,0.012225705329152348
3,20-25 (Star),2-6 Dog,Rim Attacker (≥40.0%),UNDER,9.9,57.6,66,51,37,14,0,72.54901960784314,2160.0,38.50267379679144,28.602673796791443
10,25-30 (High Star),6-10 Dog,Perimeter (<40.0%),OVER,7.0,56.1,66,27,11,16,0,40.74074074074074,-660.0,-22.22222222222222,-29.22222222222222
