game_id,game_time,away_team,home_team,bookmaker,away_spread,away_price,away_adjusted_spread,home_spread,home_price,home_adjusted_spread,fetched_at,last_bookmaker_update
de07002921b9b2b2e1ee2928e4270a3c,2025-12-25T18:00:00Z,Dallas Cowboys,Washington Commanders,fanduel,-7.0,-105,-6.9925,7.0,-115,6.9925,2025-12-24T02:17:24.218624+00:00,
de07002921b9b2b2e1ee2928e4270a3c,2025-12-25T18:00:00Z,Dallas Cowboys,Washington Commanders,mybookieag,-7.0,-115,-7.0075,7.0,-105,7.0075,2025-12-24T02:17:24.218624+00:00,
de07002921b9b2b2e1ee2928e4270a3c,2025-12-25T18:00:00Z,Dallas Cowboys,Washington Commanders,draftkings,-7.0,-110,-7.0,7.0,-110,7.0,2025-12-24T02:17:24.218624+00:00,
de07002921b9b2b2e1ee2928e4270a3c,2025-12-25T18:00:00Z,Dallas Cowboys,Washington Commanders,williamhill_us,-7.0,-108,-6.997,7.0,-112,6.997,2025-12-24T02:17:24.218624+00:00,
de07002921b9b2b2e1ee2928e4270a3c,2025-12-25T18:00:00Z,Dallas Cowboys,Washington Commanders,betmgm,-7.0,-110,-7.0,7.0,-110,7.0,2025-12-24T02:17:24.218624+00:00,
de07002921b9b2b2e1ee2928e4270a3c,2025-12-25T18:00:00Z,Dallas Cowboys,Washington Commanders,lowvig,-7.0,-110,-7.0,7.0,100,7.495,2025-12-24T02:17:24.218624+00:00,
de07002921b9b2b2e1ee2928e4270a3c,2025-12-25T18:00:00Z,Dallas Cowboys,Washington Commanders,betonlineag,-7.0,-115,-7.0075,7.0,-105,7.0075,2025-12-24T02:17:24.218624+00:00,
de07002921b9b2b2e1ee2928e4270a3c,2025-12-25T18:00:00Z,Dallas Cowboys,Washington Commanders,betus,-7.0,-115,-7.0075,7.0,-105,7.0075,2025-12-24T02:17:24.218624+00:00,
de07002921b9b2b2e1ee2928e4270a3c,2025-12-25T18:00:00Z,Dallas Cowboys,Washington Commanders,betrivers,-7.0,-108,-6.997,7.0,-118,6.988,2025-12-24T02:17:24.218624+00:00,
de07002921b9b2b2e1ee2928e4270a3c,2025-12-25T18:00:00Z,Dallas Cowboys,Washington Commanders,fanatics,-7.0,-115,-7.0075,7.0,-105,7.0075,2025-12-24T02:17:24.218624+00:00,
de07002921b9b2b2e1ee2928e4270a3c,2025-12-25T18:00:00Z,Dallas Cowboys,Washington Commanders,bovada,-7.0,-115,-7.0075,7.0,-105,7.0075,2025-12-24T02:17:24.218624+00:00,
