strategy_rank,strategy_side,strategy_market,strategy_category,strategy_category_type,strategy_edge,strategy_implied,strategy_hit_rate,strategy_bet_won,date,player,game,matchup,opponent,home_away,market,line,actual,hit_over,n_books,n_distinct_lines,prop_min_line,prop_max_line,prop_line_spread,is_min_line,is_max_line,total_vig,over_vig,under_vig,fair_over,fair_under,implied_over_prob,implied_under_prob,error,error_pct,abs_error,cat_liquidity,cat_vig_structure,cat_line_quartile,cat_line_position,is_consensus_line,lst_bookmakers,lst_over_odds,lst_under_odds,lst_implied_over,lst_implied_under,lst_total_vig,lst_over_vig,lst_under_vig,lst_fair_over,lst_fair_under,lst_errors,lst_error_pcts,lst_lines,lst_hit_over,lst_actuals,lst_distinct_lines,n,prop_n_books,prop_n_distinct_lines,prop_line_std,prop_line_mean,prop_min_vig,prop_over_odds_min,prop_over_odds_max,prop_implied_over_min,prop_implied_over_max,prop_over_odds_spread,prop_implied_range,avg_line,std_line,abs_error_pct,avg_error,avg_error_pct,std_error,hit_over_rate,avg_total_vig,avg_over_vig,avg_under_vig,avg_fair_over,avg_fair_under,line_over_odds_min,line_over_odds_max,line_under_odds_min,line_under_odds_max,line_over_odds_spread,line_under_odds_spread,line_implied_over_min,line_implied_over_max,line_implied_range,line_vig_min,line_vig_max,line_vig_range,bookmaker,over_odds,under_odds,cat_market_structure
1,UNDER,steals,medium (3-4 books),LIQUIDITY,0.13375881460088435,0.6233840425419728,0.7571428571428571,1,2025-10-23,Draymond Green,Denver Nuggets @ Golden State Warriors,GSW vs. DEN,DEN,HOME,player_steals,1.5,0,0,3,1,1.5,1.5,0.0,1,1,0.06901011356923913,0.025492058241340394,0.04351805532789873,0.3693371842794828,0.6306628157205171,0.39482924252082324,0.6741808710484158,1.5,1.0,1.5,medium (3-4 books),under_heavy (< 1.0% difference),Q2 (25-50%),only_line,1,"['draftkings', 'fanduel', 'bovada']","[157.0, 148.0, 155.0]","[-211.0, -200.0, -210.0]","[0.38910505836575876, 0.4032258064516129, 0.39215686274509803]","[0.6784565916398714, 0.6666666666666666, 0.6774193548387096]","[0.06756165000563019, 0.06989247311827945, 0.06957621758380772]","[0.02462488210267677, 0.026341384341060092, 0.02550990828028432]","[0.04293676790295342, 0.04355108877721936, 0.0440663093035234]","[0.364480176263082, 0.3768844221105528, 0.3666469544648137]","[0.635519823736918, 0.6231155778894473, 0.6333530455351862]","[1.5, 1.5, 1.5]","[1.0, 1.0, 1.0]","[1.5, 1.5, 1.5]","[0, 0, 0]","[0, 0, 0]",[1.5],3,3,1,0.0,1.5,0.06756165000563019,148.0,157.0,0.38910505836575876,0.4032258064516129,9.0,0.014120748085854118,1.5,0,1.0,1.5,1.0,0,0.0,0.06901011356923913,0.025492058241340394,0.04351805532789873,0.3693371842794828,0.6306628157205171,148.0,157.0,-211.0,-200.0,9.0,11.0,0.38910505836575876,0.4032258064516129,0.014120748085854118,0.06756165000563019,0.06989247311827945,0.0023308231126492607,,,,consensus
1,UNDER,steals,medium (3-4 books),LIQUIDITY,0.13375881460088435,0.6233840425419728,0.7571428571428571,0,2025-10-23,Jimmy Butler,Denver Nuggets @ Golden State Warriors,GSW vs. DEN,DEN,HOME,player_steals,1.5,3,1,3,1,1.5,1.5,0.0,1,1,0.06732730231032245,0.02767214578032201,0.039655156530000436,0.41094684622965033,0.5890531537703497,0.43861899200997234,0.6287083103003502,-1.5,-1.0,1.5,medium (3-4 books),under_heavy (< 1.0% difference),Q2 (25-50%),only_line,1,"['draftkings', 'fanduel', 'bovada']","[128.0, 126.0, 130.0]","[-170.0, -168.0, -170.0]","[0.43859649122807015, 0.4424778761061947, 0.43478260869565216]","[0.6296296296296297, 0.6268656716417911, 0.6296296296296297]","[0.06822612085769969, 0.06934354774798579, 0.06441223832528187]","[0.02801254962223071, 0.028693291125957532, 0.02631059659277779]","[0.04021357123546898, 0.04065025662202826, 0.03810164173250408]","[0.41058394160583944, 0.4137845849802372, 0.40847201210287437]","[0.5894160583941607, 0.5862154150197628, 0.5915279878971256]","[-1.5, -1.5, -1.5]","[-1.0, -1.0, -1.0]","[1.5, 1.5, 1.5]","[1, 1, 1]","[3, 3, 3]",[1.5],3,3,1,0.0,1.5,0.06441223832528187,126.0,130.0,0.43478260869565216,0.4424778761061947,4.0,0.00769526741054255,1.5,0,1.0,-1.5,-1.0,0,1.0,0.06732730231032245,0.02767214578032201,0.039655156530000436,0.41094684622965033,0.5890531537703497,126.0,130.0,-170.0,-168.0,4.0,2.0,0.43478260869565216,0.4424778761061947,0.00769526741054255,0.06441223832528187,0.06934354774798579,0.004931309422703922,,,,consensus
1,UNDER,steals,medium (3-4 books),LIQUIDITY,0.13375881460088435,0.6233840425419728,0.7571428571428571,1,2025-10-23,Nikola Jokic,Denver Nuggets @ Golden State Warriors,DEN @ GSW,GSW,AWAY,player_steals,1.5,1,0,3,1,1.5,1.5,0.0,1,1,0.06706099941291564,0.03625349176056144,0.0308075076523542,0.540603576346162,0.459396423653838,0.5768570681067234,0.49020393130619216,0.5,0.3333333333333333,0.5,medium (3-4 books),symmetric (<= 1.0% difference),Q2 (25-50%),only_line,1,"['draftkings', 'fanduel', 'bovada']","[-136.0, -138.0, -135.0]","[103.0, 104.0, 105.0]","[0.576271186440678, 0.5798319327731093, 0.574468085106383]","[0.49261083743842365, 0.49019607843137253, 0.4878048780487805]","[0.06888202387910164, 0.07002801120448177, 0.06227296315516351]","[0.03713667620790184, 0.03794711601918255, 0.03367668305459992]","[0.0317453476711998, 0.03208089518529922, 0.028596280100563587]","[0.5391345102327761, 0.5418848167539267, 0.5407914020517831]","[0.46086548976722386, 0.4581151832460733, 0.4592085979482169]","[0.5, 0.5, 0.5]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.5, 1.5, 1.5]","[0, 0, 0]","[1, 1, 1]",[1.5],3,3,1,0.0,1.5,0.06227296315516351,-138.0,-135.0,0.574468085106383,0.5798319327731093,3.0,0.0053638476667262625,1.5,0,0.3333333333333333,0.5,0.3333333333333333,0,0.0,0.06706099941291564,0.03625349176056144,0.0308075076523542,0.540603576346162,0.459396423653838,-138.0,-135.0,103.0,105.0,3.0,2.0,0.574468085106383,0.5798319327731093,0.0053638476667262625,0.06227296315516351,0.07002801120448177,0.007755048049318258,,,,consensus
1,UNDER,steals,medium (3-4 books),LIQUIDITY,0.13375881460088435,0.6233840425419728,0.7571428571428571,1,2025-10-24,Anthony Edwards,Minnesota Timberwolves @ Los Angeles Lakers,MIN @ LAL,LAL,AWAY,player_steals,1.5,0,0,3,1,1.5,1.5,0.0,1,1,0.06893332057849812,0.02503075071901545,0.043902569859482675,0.3631229999670096,0.6368770000329905,0.38815375068602503,0.680779569892473,1.5,1.0,1.5,medium (3-4 books),under_heavy (< 1.0% difference),Q2 (25-50%),only_line,1,"['draftkings', 'fanduel', 'bovada']","[156.0, 162.0, 155.0]","[-210.0, -220.0, -210.0]","[0.390625, 0.3816793893129771, 0.39215686274509803]","[0.6774193548387096, 0.6875, 0.6774193548387096]","[0.06804435483870952, 0.06917938931297712, 0.06957621758380772]","[0.02488644407739493, 0.024695899799367094, 0.02550990828028432]","[0.04315791076131459, 0.04448348951361003, 0.0440663093035234]","[0.36573855592260507, 0.35698348951361003, 0.3666469544648137]","[0.634261444077395, 0.64301651048639, 0.6333530455351862]","[1.5, 1.5, 1.5]","[1.0, 1.0, 1.0]","[1.5, 1.5, 1.5]","[0, 0, 0]","[0, 0, 0]",[1.5],3,3,1,0.0,1.5,0.06804435483870952,155.0,162.0,0.3816793893129771,0.39215686274509803,7.0,0.01047747343212091,1.5,0,1.0,1.5,1.0,0,0.0,0.06893332057849812,0.02503075071901545,0.043902569859482675,0.3631229999670096,0.6368770000329905,155.0,162.0,-220.0,-210.0,7.0,10.0,0.3816793893129771,0.39215686274509803,0.01047747343212091,0.06804435483870952,0.06957621758380772,0.0015318627450982003,,,,consensus
1,UNDER,steals,medium (3-4 books),LIQUIDITY,0.13375881460088435,0.6233840425419728,0.7571428571428571,1,2025-10-24,Jaden McDaniels,Minnesota Timberwolves @ Los Angeles Lakers,MIN @ LAL,LAL,AWAY,player_steals,1.5,0,0,3,1,1.5,1.5,0.0,1,1,0.06782984120770384,0.024367623467711357,0.04346221773999248,0.35926909604687074,0.6407309039531293,0.38363671951458217,0.6841931216931217,1.5,1.0,1.5,medium (3-4 books),under_heavy (< 1.0% difference),Q2 (25-50%),only_line,1,"['draftkings', 'fanduel', 'bovada']","[160.0, 162.0, 160.0]","[-215.0, -220.0, -215.0]","[0.38461538461538464, 0.3816793893129771, 0.38461538461538464]","[0.6825396825396826, 0.6875, 0.6825396825396826]","[0.0671550671550672, 0.06917938931297712, 0.0671550671550672]","[0.024203485301883487, 0.024695899799367094, 0.024203485301883487]","[0.04295158185318371, 0.04448348951361003, 0.04295158185318371]","[0.36041189931350115, 0.35698348951361003, 0.36041189931350115]","[0.6395881006864989, 0.64301651048639, 0.6395881006864989]","[1.5, 1.5, 1.5]","[1.0, 1.0, 1.0]","[1.5, 1.5, 1.5]","[0, 0, 0]","[0, 0, 0]",[1.5],3,3,1,0.0,1.5,0.0671550671550672,160.0,162.0,0.3816793893129771,0.38461538461538464,2.0,0.0029359953024075125,1.5,0,1.0,1.5,1.0,0,0.0,0.06782984120770384,0.024367623467711357,0.04346221773999248,0.35926909604687074,0.6407309039531293,160.0,162.0,-220.0,-215.0,2.0,5.0,0.3816793893129771,0.38461538461538464,0.0029359953024075125,0.0671550671550672,0.06917938931297712,0.00202432215790993,,,,consensus
1,UNDER,steals,medium (3-4 books),LIQUIDITY,0.13375881460088435,0.6233840425419728,0.7571428571428571,1,2025-10-24,Luka Doncic,Minnesota Timberwolves @ Los Angeles Lakers,LAL vs. MIN,MIN,HOME,player_steals,1.5,0,0,3,1,1.5,1.5,0.0,1,1,0.06806467505529736,0.027343422100700638,0.04072125295459672,0.40194028084029126,0.5980597191597087,0.42928370294099194,0.6387809721143055,1.5,1.0,1.5,medium (3-4 books),under_heavy (< 1.0% difference),Q2 (25-50%),only_line,1,"['draftkings', 'fanduel', 'bovada']","[131.0, 138.0, 130.0]","[-175.0, -186.0, -170.0]","[0.4329004329004329, 0.42016806722689076, 0.43478260869565216]","[0.6363636363636364, 0.6503496503496503, 0.6296296296296297]","[0.06926406926406914, 0.07051771757654107, 0.06441223832528187]","[0.02804213330529115, 0.027677536404032976, 0.02631059659277779]","[0.04122193595877799, 0.042840181172508096, 0.03810164173250408]","[0.40485829959514175, 0.3924905308228578, 0.40847201210287437]","[0.5951417004048584, 0.6075094691771422, 0.5915279878971256]","[1.5, 1.5, 1.5]","[1.0, 1.0, 1.0]","[1.5, 1.5, 1.5]","[0, 0, 0]","[0, 0, 0]",[1.5],3,3,1,0.0,1.5,0.06441223832528187,130.0,138.0,0.42016806722689076,0.43478260869565216,8.0,0.0146145414687614,1.5,0,1.0,1.5,1.0,0,0.0,0.06806467505529736,0.027343422100700638,0.04072125295459672,0.40194028084029126,0.5980597191597087,130.0,138.0,-186.0,-170.0,8.0,16.0,0.42016806722689076,0.43478260869565216,0.0146145414687614,0.06441223832528187,0.07051771757654107,0.006105479251259205,,,,consensus
1,UNDER,steals,medium (3-4 books),LIQUIDITY,0.13375881460088435,0.6233840425419728,0.7571428571428571,0,2025-10-24,OG Anunoby,Boston Celtics @ New York Knicks,NYK vs. BOS,BOS,HOME,player_steals,1.5,2,1,3,2,1.5,2.5,1.0,1,0,0.07020776160737968,0.0404294423034266,0.029778319303953082,0.5758438129500918,0.42415618704990815,0.6162732552535184,0.4539345063538612,-0.5,-0.3333333333333333,0.5,medium (3-4 books),over_heavy (> 1.0% difference),Q2 (25-50%),min,0,"['draftkings', 'fanduel', 'bovada']","[-156.0, -166.0, -160.0]","[117.0, 124.0, 120.0]","[0.609375, 0.6240601503759399, 0.6153846153846154]","[0.4608294930875576, 0.44642857142857145, 0.45454545454545453]","[0.0702044930875576, 0.07048872180451138, 0.06993006993007006]","[0.03997447520688957, 0.04109263501158522, 0.040221216691805006]","[0.030230017880668036, 0.029396086792926157, 0.029708853238265054]","[0.5694005247931104, 0.5829675153643546, 0.5751633986928104]","[0.43059947520688957, 0.4170324846356453, 0.4248366013071895]","[-0.5, -0.5, -0.5]","[-0.3333333333333333, -0.3333333333333333, -0.3333333333333333]","[1.5, 1.5, 1.5]","[1, 1, 1]","[2, 2, 2]",[1.5],3,3,2,0.5,1.75,0.06617038875103382,-166.0,210.0,0.3225806451612903,0.6240601503759399,376.0,0.30147950521464956,1.5,0,0.3333333333333333,-0.5,-0.3333333333333333,0,1.0,0.07020776160737968,0.0404294423034266,0.029778319303953082,0.5758438129500918,0.42415618704990815,-166.0,-156.0,117.0,124.0,10.0,7.0,0.609375,0.6240601503759399,0.01468515037593987,0.06993006993007006,0.07048872180451138,0.0005586518744413183,,,,consensus
1,UNDER,steals,medium (3-4 books),LIQUIDITY,0.13375881460088435,0.6233840425419728,0.7571428571428571,1,2025-10-25,Shai Gilgeous-Alexander,Oklahoma City Thunder @ Atlanta Hawks,OKC @ ATL,ATL,AWAY,player_steals,1.5,1,0,3,2,1.5,2.5,1.0,1,0,0.0700541914073698,0.03938093597262571,0.030673255434744102,0.5621495800799492,0.4378504199200508,0.6015305160525749,0.46852367535479494,0.5,0.3333333333333333,0.5,medium (3-4 books),symmetric (<= 1.0% difference),Q2 (25-50%),min,0,"['draftkings', 'fanduel', 'bovada']","[-156.0, -138.0, -160.0]","[117.0, 104.0, 120.0]","[0.609375, 0.5798319327731093, 0.6153846153846154]","[0.4608294930875576, 0.49019607843137253, 0.45454545454545453]","[0.0702044930875576, 0.07002801120448177, 0.06993006993007006]","[0.03997447520688957, 0.03794711601918255, 0.040221216691805006]","[0.030230017880668036, 0.03208089518529922, 0.029708853238265054]","[0.5694005247931104, 0.5418848167539267, 0.5751633986928104]","[0.43059947520688957, 0.4581151832460733, 0.4248366013071895]","[0.5, 0.5, 0.5]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.5, 1.5, 1.5]","[0, 0, 0]","[1, 1, 1]",[1.5],3,3,2,0.5,1.75,0.06617038875103382,-160.0,210.0,0.3225806451612903,0.6153846153846154,370.0,0.2928039702233251,1.5,0,0.3333333333333333,0.5,0.3333333333333333,0,0.0,0.0700541914073698,0.03938093597262571,0.030673255434744102,0.5621495800799492,0.4378504199200508,-160.0,-138.0,104.0,120.0,22.0,16.0,0.5798319327731093,0.6153846153846154,0.035552682611506126,0.06993006993007006,0.0702044930875576,0.00027442315748754664,,,,odds_disagree
1,UNDER,steals,medium (3-4 books),LIQUIDITY,0.13375881460088435,0.6233840425419728,0.7571428571428571,1,2025-10-25,Trae Young,Oklahoma City Thunder @ Atlanta Hawks,ATL vs. OKC,OKC,HOME,player_steals,1.5,0,0,3,1,1.5,1.5,0.0,1,1,0.06876122314153814,0.022938995089099135,0.045822228052439,0.3337519330304004,0.6662480669695996,0.3566909281194996,0.7120702950220386,1.5,1.0,1.5,medium (3-4 books),under_heavy (< 1.0% difference),Q2 (25-50%),only_line,1,"['draftkings', 'fanduel', 'bovada']","[173.0, 194.0, 175.0]","[-234.0, -270.0, -240.0]","[0.3663003663003663, 0.3401360544217687, 0.36363636363636365]","[0.7005988023952096, 0.7297297297297297, 0.7058823529411765]","[0.06689916869557577, 0.06986578415149847, 0.06951871657754016]","[0.02296860914076837, 0.022212012490165356, 0.023636363636363678]","[0.0439305595548074, 0.04765377166133311, 0.045882352941176485]","[0.3433317571595979, 0.31792404193160334, 0.33999999999999997]","[0.6566682428404021, 0.6820759580683966, 0.66]","[1.5, 1.5, 1.5]","[1.0, 1.0, 1.0]","[1.5, 1.5, 1.5]","[0, 0, 0]","[0, 0, 0]",[1.5],3,3,1,0.0,1.5,0.06689916869557577,173.0,194.0,0.3401360544217687,0.3663003663003663,21.0,0.02616431187859758,1.5,0,1.0,1.5,1.0,0,0.0,0.06876122314153814,0.022938995089099135,0.045822228052439,0.3337519330304004,0.6662480669695996,173.0,194.0,-270.0,-234.0,21.0,36.0,0.3401360544217687,0.3663003663003663,0.02616431187859758,0.06689916869557577,0.06986578415149847,0.0029666154559226943,,,,consensus
1,UNDER,steals,medium (3-4 books),LIQUIDITY,0.13375881460088435,0.6233840425419728,0.7571428571428571,0,2025-10-28,James Harden,Los Angeles Clippers @ Golden State Warriors,LAC @ GSW,GSW,AWAY,player_steals,1.5,2,1,3,1,1.5,1.5,0.0,1,1,0.06785626023587682,0.02689803807970968,0.040958222156167144,0.3967382446028563,0.6032617553971438,0.423636282682566,0.6442199775533108,-0.5,-0.3333333333333333,0.5,medium (3-4 books),under_heavy (< 1.0% difference),Q2 (25-50%),only_line,1,"['draftkings', 'fanduel', 'bovada']","[131.0, 148.0, 130.0]","[-175.0, -200.0, -170.0]","[0.4329004329004329, 0.4032258064516129, 0.43478260869565216]","[0.6363636363636364, 0.6666666666666666, 0.6296296296296297]","[0.06926406926406914, 0.06989247311827945, 0.06441223832528187]","[0.02804213330529115, 0.026341384341060092, 0.02631059659277779]","[0.04122193595877799, 0.04355108877721936, 0.03810164173250408]","[0.40485829959514175, 0.3768844221105528, 0.40847201210287437]","[0.5951417004048584, 0.6231155778894473, 0.5915279878971256]","[-0.5, -0.5, -0.5]","[-0.3333333333333333, -0.3333333333333333, -0.3333333333333333]","[1.5, 1.5, 1.5]","[1, 1, 1]","[2, 2, 2]",[1.5],3,3,1,0.0,1.5,0.06441223832528187,130.0,148.0,0.4032258064516129,0.43478260869565216,18.0,0.031556802244039284,1.5,0,0.3333333333333333,-0.5,-0.3333333333333333,0,1.0,0.06785626023587682,0.02689803807970968,0.040958222156167144,0.3967382446028563,0.6032617553971438,130.0,148.0,-200.0,-170.0,18.0,30.0,0.4032258064516129,0.43478260869565216,0.031556802244039284,0.06441223832528187,0.06989247311827945,0.005480234792997585,,,,odds_disagree
