sport,bookmaker,team,odds
NBA,draftkings,Oklahoma City Thunder,110
NBA,draftkings,Denver Nuggets,650
NBA,draftkings,Houston Rockets,1100
NBA,draftkings,Los Angeles Lakers,1300
NBA,draftkings,New York Knicks,1300
NBA,draftkings,Detroit Pistons,2000
NBA,draftkings,Cleveland Cavaliers,2200
NBA,draftkings,San Antonio Spurs,2500
NBA,draftkings,Minnesota Timberwolves,3000
NBA,draftkings,Orlando Magic,3500
NBA,draftkings,Golden State Warriors,4000
NBA,draftkings,Boston Celtics,4000
NBA,draftkings,Philadelphia 76ers,6000
NBA,draftkings,Atlanta Hawks,7000
NBA,draftkings,Miami Heat,8000
NBA,draftkings,Dallas Mavericks,12000
NBA,draftkings,Milwaukee Bucks,15000
NBA,draftkings,Toronto Raptors,15000
NBA,draftkings,Los Angeles Clippers,20000
NBA,draftkings,Phoenix Suns,70000
NBA,draftkings,Chicago Bulls,100000
NBA,draftkings,Portland Trail Blazers,100000
NBA,draftkings,Sacramento Kings,200000
NBA,draftkings,Memphis Grizzlies,200000
NBA,draftkings,Washington Wizards,200000
NBA,draftkings,Charlotte Hornets,200000
NBA,draftkings,Brooklyn Nets,200000
NBA,draftkings,Utah Jazz,200000
NBA,draftkings,Indiana Pacers,200000
NBA,draftkings,New Orleans Pelicans,200000
NBA,fanduel,Oklahoma City Thunder,-105
NBA,fanduel,Denver Nuggets,750
NBA,fanduel,Houston Rockets,1200
NBA,fanduel,New York Knicks,1300
NBA,fanduel,Cleveland Cavaliers,1900
NBA,fanduel,Los Angeles Lakers,2200
NBA,fanduel,San Antonio Spurs,2500
NBA,fanduel,Detroit Pistons,2700
NBA,fanduel,Boston Celtics,3300
NBA,fanduel,Golden State Warriors,3300
NBA,fanduel,Minnesota Timberwolves,3500
NBA,fanduel,Orlando Magic,3500
NBA,fanduel,Atlanta Hawks,5500
NBA,fanduel,Miami Heat,6500
NBA,fanduel,Philadelphia 76ers,7500
NBA,fanduel,Los Angeles Clippers,12500
NBA,fanduel,Toronto Raptors,12500
NBA,fanduel,Dallas Mavericks,40000
NBA,fanduel,Chicago Bulls,70000
NBA,fanduel,Portland Trail Blazers,100000
NBA,fanduel,Phoenix Suns,100000
NBA,fanduel,Brooklyn Nets,100000
NBA,fanduel,Charlotte Hornets,100000
NBA,fanduel,Milwaukee Bucks,100000
NBA,fanduel,Utah Jazz,100000
NBA,fanduel,Washington Wizards,100000
NBA,fanduel,Sacramento Kings,100000
NBA,fanduel,New Orleans Pelicans,100000
NBA,fanduel,Indiana Pacers,100000
NBA,fanduel,Memphis Grizzlies,100000
NBA,betrivers,Oklahoma City Thunder,100
NBA,betrivers,Denver Nuggets,700
NBA,betrivers,Houston Rockets,1200
