team,Net,Wk1,Wk2,Wk3,Wk4,Wk5,Wk6,Wk7,Wk8,Wk9,Wk10,Wk11,Wk12,Wk13,Wk14,Wk15,Wk16,Wk17,Wk18
CHI,15,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,3.0,-1.0,,7.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0
BUF,14,0.0,0.0,3.0,0.0,0.0,-1.0,,7.0,0.0,-1.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0
DAL,12,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-1.0,0.0,0.0,0.0,0.0,3.0,,6.0,0.0,1.0,0.0
WAS,9,0.0,0.0,0.0,0.0,0.0,0.0,,7.0,0.0,0.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
SEA,9,0.0,4.0,0.0,0.0,0.0,0.0,3.0,-3.0,-1.0,0.0,,7.0,-3.0,-1.0,0.0,1.0,2.0,0.0
CAR,8,0.0,0.0,0.0,0.0,,7.0,0.0,0.0,3.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,-2.0,0.0
NE,8,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,-3.0,0.0,,7.0,-3.0,0.0,3.0,-1.0,-2.0,0.0
HOU,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.0,0.0,0.0,3.0,-2.0,0.0,1.0,-1.0,1.0,-1.0
ATL,7,0.0,0.0,0.0,3.0,-1.0,0.0,1.0,0.0,0.0,0.0,,7.0,-3.0,0.0,0.0,0.0,0.0,0.0
TEN,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MIN,4,0.0,0.0,0.0,0.0,1.0,,7.0,0.0,0.0,-1.0,0.0,-7.0,1.0,0.0,3.0,0.0,0.0,0.0
NYG,3,0.0,-3.0,-1.0,0.0,0.0,0.0,0.0,,7.0,0.0,3.0,-3.0,0.0,1.0,0.0,0.0,-1.0,0.0
DEN,3,0.0,-1.0,1.0,0.0,0.0,0.0,3.0,0.0,-3.0,,7.0,0.0,2.0,-7.0,0.0,-1.0,2.0,0.0
ARI,1,0.0,-4.0,0.0,0.0,0.0,1.0,-3.0,1.0,1.0,0.0,0.0,1.0,-3.0,,7.0,0.0,0.0,0.0
DET,1,0.0,0.0,3.0,0.0,0.0,,7.0,0.0,0.0,0.0,-7.0,0.0,3.0,0.0,-3.0,0.0,-3.0,1.0
CLE,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,-7.0,0.0,,7.0,0.0,0.0,0.0,0.0,0.0,-3.0
SF,0,0.0,3.0,0.0,0.0,0.0,0.0,-1.0,,7.0,0.0,0.0,-7.0,0.0,-3.0,0.0,4.0,-3.0,0.0
TB,-2,0.0,0.0,0.0,-3.0,0.0,3.0,0.0,0.0,1.0,,7.0,0.0,-1.0,-7.0,0.0,0.0,-2.0,0.0
KC,-2,0.0,-1.0,0.0,0.0,,7.0,-3.0,0.0,0.0,0.0,0.0,0.0,-1.0,3.0,-3.0,-4.0,0.0,0.0
GB,-2,0.0,0.0,0.0,3.0,0.0,-3.0,-7.0,0.0,3.0,1.0,,0.0,4.0,0.0,0.0,-1.0,-1.0,-1.0
BAL,-3,0.0,0.0,0.0,0.0,1.0,0.0,-7.0,-7.0,0.0,3.0,-1.0,-3.0,,7.0,1.0,0.0,0.0,3.0
JAX,-3,0.0,1.0,0.0,0.0,0.0,0.0,,7.0,0.0,-4.0,-3.0,0.0,-3.0,0.0,-1.0,0.0,0.0,0.0
CIN,-4,0.0,0.0,0.0,0.0,0.0,,7.0,0.0,0.0,-7.0,-3.0,-1.0,0.0,-3.0,0.0,0.0,0.0,3.0
MIA,-6,0.0,-3.0,0.0,0.0,0.0,,7.0,-3.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,-3.0,-2.0,0.0
PIT,-6,0.0,-4.0,0.0,0.0,3.0,-3.0,0.0,0.0,,7.0,-7.0,0.0,2.0,0.0,-1.0,0.0,0.0,-3.0
LAR,-6,0.0,3.0,-1.0,1.0,0.0,-1.0,0.0,-7.0,0.0,0.0,,0.0,1.0,3.0,-6.0,-1.0,2.0,0.0
IND,-6,0.0,1.0,0.0,0.0,-3.0,0.0,-7.0,-7.0,0.0,0.0,0.0,3.0,,7.0,0.0,0.0,0.0,0.0
NO,-7,0.0,0.0,0.0,-3.0,-1.0,0.0,0.0,,7.0,0.0,-7.0,1.0,-4.0,0.0,0.0,0.0,0.0,0.0
NYJ,-9,0.0,0.0,-3.0,1.0,-3.0,0.0,-7.0,0.0,0.0,1.0,1.0,0.0,,7.0,-7.0,1.0,0.0,0.0
LV,-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-7.0,0.0,-7.0,-7.0,,7.0,0.0,0.0,0.0,0.0
PHI,-15,0.0,0.0,0.0,-1.0,0.0,-7.0,0.0,-7.0,-7.0,,7.0,0.0,3.0,-7.0,0.0,1.0,3.0,0.0
LAC,-24,0.0,0.0,-3.0,0.0,0.0,-7.0,,7.0,-7.0,-3.0,-1.0,-7.0,1.0,-7.0,0.0,3.0,0.0,0.0
