nfl_game_id,odds_api_event_id,home_team,away_team,gameday,gametime,game_type,week
2023_01_DET_KC,1e5633073b585f9550959cc85872c68d,KC,DET,2023-09-07,20:20,REG,1
2023_01_CAR_ATL,6c2d3077c50eece8e6a37742d1ac5756,ATL,CAR,2023-09-10,13:00,REG,1
2023_01_HOU_BAL,a9d0896e7cb33aef7a51723f9cd7230a,BAL,HOU,2023-09-10,13:00,REG,1
2023_01_CIN_CLE,35294c242bcfdb30c9f58dc6f68da6b2,CLE,CIN,2023-09-10,13:00,REG,1
2023_01_JAX_IND,1278f44be0d97920fd149f7cdfc9574d,IND,JAX,2023-09-10,13:00,REG,1
2023_01_TB_MIN,b3763a6d678b9787e27cec3272252e24,MIN,TB,2023-09-10,13:00,REG,1
2023_01_TEN_NO,bbe791f371726d950a509d928f4c65cd,NO,TEN,2023-09-10,13:00,REG,1
2023_01_SF_PIT,741437df0e5c0350c32ce707161bd423,PIT,SF,2023-09-10,13:00,REG,1
2023_01_ARI_WAS,175d9f07fc52d99b21bc772b1499c3d8,WAS,ARI,2023-09-10,13:00,REG,1
2023_01_GB_CHI,54b900ff32cfc8ad40f4d856fc5a4985,CHI,GB,2023-09-10,16:25,REG,1
2023_01_LV_DEN,4d18f524fdaa6d8d7f81f9803a43d5f0,DEN,LV,2023-09-10,16:25,REG,1
2023_01_MIA_LAC,d543cbc3d38bed6c7c727e3cabc1188e,LAC,MIA,2023-09-10,16:25,REG,1
2023_01_PHI_NE,0a368c64b212ecbad4ec46f6ff6c1af2,NE,PHI,2023-09-10,16:25,REG,1
2023_01_LA_SEA,d818062d65dfa411c269ee61943655cd,SEA,LA,2023-09-10,16:25,REG,1
2023_01_DAL_NYG,2dd1bc48e4929ba7ed2b38fc668b1609,NYG,DAL,2023-09-10,20:20,REG,1
2023_01_BUF_NYJ,87ca05f061855f8497a3a81d9942b5d1,NYJ,BUF,2023-09-11,20:15,REG,1
2023_02_MIN_PHI,217559949d3b88a1267c2c4c480eab51,PHI,MIN,2023-09-14,20:15,REG,2
2023_02_GB_ATL,666546663407166ca824cc304f740dfe,ATL,GB,2023-09-17,13:00,REG,2
2023_02_LV_BUF,1ed637f2ef1ae5f2f7184d38e94fe137,BUF,LV,2023-09-17,13:00,REG,2
2023_02_BAL_CIN,b11493a11859c02a97dfa186c32a2b7a,CIN,BAL,2023-09-17,13:00,REG,2
2023_02_SEA_DET,30e317800515c33d2635df2d05a6d14d,DET,SEA,2023-09-17,13:00,REG,2
2023_02_IND_HOU,2ecfbe1dcf553f66dd34b4772c1c9b99,HOU,IND,2023-09-17,13:00,REG,2
2023_02_KC_JAX,450d0600bc30565494c6df8096e04976,JAX,KC,2023-09-17,13:00,REG,2
2023_02_CHI_TB,ec238fc4bfd91d24ae566950edc120fe,TB,CHI,2023-09-17,13:00,REG,2
2023_02_LAC_TEN,eab3d772c3c8e4a6d3813ece55055529,TEN,LAC,2023-09-17,13:00,REG,2
2023_02_NYG_ARI,6166ce062983d3566b0ef03d8fd2ab87,ARI,NYG,2023-09-17,16:05,REG,2
2023_02_SF_LA,a6a30233e1ec7fb3b9f9a5e4444ff14b,LA,SF,2023-09-17,16:05,REG,2
2023_02_NYJ_DAL,8d0feb26abd99c7136450e434ba91173,DAL,NYJ,2023-09-17,16:25,REG,2
2023_02_WAS_DEN,7e881b03dcf88ddd4e9d1a3c609db6d3,DEN,WAS,2023-09-17,16:25,REG,2
2023_02_MIA_NE,9003a41d4bd320e1c437ea6dc5a2fec6,NE,MIA,2023-09-17,20:20,REG,2
2023_02_NO_CAR,e1573fb36f89f2e295e128bf5ec13a6a,CAR,NO,2023-09-18,19:15,REG,2
2023_02_CLE_PIT,7ea45f55c7bb922c581f809166c0fab3,PIT,CLE,2023-09-18,20:15,REG,2
2023_03_NYG_SF,47b49faf45f8a39f9910f004a79ff360,SF,NYG,2023-09-21,20:15,REG,3
2023_03_IND_BAL,2c66bee99eec7cca649ecb6b249868fb,BAL,IND,2023-09-24,13:00,REG,3
2023_03_TEN_CLE,f72ef9b6be34818391c726a0cd690f48,CLE,TEN,2023-09-24,13:00,REG,3
2023_03_ATL_DET,4609c9aaa9bc0b3a76b75f2f85f6a5f1,DET,ATL,2023-09-24,13:00,REG,3
2023_03_NO_GB,caae83ff4cadf6b1d63bc8a70af76865,GB,NO,2023-09-24,13:00,REG,3
2023_03_HOU_JAX,c6aa32a2bdcc85e5d8b8ae2e570607e6,JAX,HOU,2023-09-24,13:00,REG,3
2023_03_DEN_MIA,2ff30bbaf02729644dc5dd83dd02ab12,MIA,DEN,2023-09-24,13:00,REG,3
2023_03_LAC_MIN,1db441aef0ee06367729d9f1fc3e57b0,MIN,LAC,2023-09-24,13:00,REG,3
2023_03_NE_NYJ,66edacbc3505803f401192da0fb09b49,NYJ,NE,2023-09-24,13:00,REG,3
2023_03_BUF_WAS,f049d09c797baccf11023b4cb7bc9b0b,WAS,BUF,2023-09-24,13:00,REG,3
2023_03_CAR_SEA,4b3ed4ec08352199ff98bdf14b247c88,SEA,CAR,2023-09-24,16:05,REG,3
2023_03_DAL_ARI,9541cadef6a637071b8588eb4938a5c8,ARI,DAL,2023-09-24,16:25,REG,3
2023_03_CHI_KC,806b105d4be36f9d8ac4a782cb43c1f1,KC,CHI,2023-09-24,16:25,REG,3
2023_03_PIT_LV,abf76aa8adc82854d703518042be4452,LV,PIT,2023-09-24,20:20,REG,3
2023_03_PHI_TB,628d1c378a60a3a1d743264ac8df8cb8,TB,PHI,2023-09-25,19:15,REG,3
2023_03_LA_CIN,8251607b68015d2972e7f4b773149cb2,CIN,LA,2023-09-25,20:15,REG,3
2023_04_DET_GB,934acd8d5f569c955f4a02aa42284fa4,GB,DET,2023-09-28,20:15,REG,4
2023_04_ATL_JAX,679ec2fdc4a6bc423cdc77759cc226b7,JAX,ATL,2023-10-01,09:30,REG,4
2023_04_MIA_BUF,c8507434f37635cdaed5f91a0fd5d54a,BUF,MIA,2023-10-01,13:00,REG,4
2023_04_MIN_CAR,a1d0ade76d13bd11993b0e6f654ef787,CAR,MIN,2023-10-01,13:00,REG,4
