player,player_id,paint_fga,paint_fgm,paint_fg_pct,paint_rate,paint_ppg,games,rank
Mitchell Robinson,1629011,80,52,65.0,98.8,4.3,24,97
Moussa Diabaté,1631217,168,109,64.9,91.3,5.9,37,98
Collin Murray-Boyles,1642867,134,87,64.9,68.4,5.6,31,99
Lauri Markkanen,1628374,268,174,64.9,41.2,10.5,33,100
Yanic Konan Niederhäuser,1642949,34,22,64.7,87.2,2.9,15,101
Stephen Curry,201939,139,90,64.7,22.7,6.0,30,102
Cedric Coward,1642907,147,95,64.6,38.6,5.4,35,103
Jalen Smith,1630188,99,64,64.6,42.7,4.1,31,104
Anthony Davis,203076,172,111,64.5,51.5,11.1,20,105
Isaiah Stewart,1630191,163,105,64.4,63.7,6.4,33,106
Nic Claxton,1629651,261,168,64.4,83.1,9.6,35,107
Buddy Hield,1627741,56,36,64.3,25.0,3.0,24,108
Jae'Sean Tate,1630256,28,18,64.3,56.0,2.6,14,109
Brandin Podziemski,1641764,81,52,64.2,21.8,3.1,34,110
Svi Mykhailiuk,1629004,67,43,64.2,26.5,3.2,27,111
Santi Aldama,1630583,159,102,64.2,36.3,5.4,38,112
Collin Sexton,1629012,134,86,64.2,41.4,5.7,30,113
Alperen Sengun,1630578,254,163,64.2,51.5,11.2,29,114
Maxime Raynaud,1642875,142,91,64.1,55.7,5.9,31,115
Dean Wade,1629731,36,23,63.9,21.3,1.9,24,116
Ivica Zubac,1627826,280,179,63.9,78.9,10.5,34,117
Julius Randle,203944,281,179,63.7,43.9,8.7,41,118
Olivier-Maxence Prosper,1641765,33,21,63.6,51.6,3.0,14,119
Daniel Gafford,1629655,129,82,63.6,93.5,6.6,25,120
Cam Whitmore,1641715,88,56,63.6,52.1,5.6,20,121
Kel'el Ware,1642276,208,132,63.5,61.0,6.8,39,122
Kyle Kuzma,1628398,200,126,63.0,56.5,7.0,36,123
Pascal Siakam,1627783,262,165,63.0,37.1,8.5,39,124
Tari Eason,1631106,70,44,62.9,35.2,4.6,19,125
Tre Jones,1630200,164,103,62.8,62.1,6.2,33,126
Cody Williams,1642262,59,37,62.7,50.4,3.4,22,127
Matas Buzelis,1641824,219,137,62.6,50.1,7.0,39,128
Jimmy Butler III,202710,243,152,62.6,56.6,8.4,36,129
OG Anunoby,1628384,139,87,62.6,41.1,6.2,28,130
Donovan Mitchell,1628378,219,137,62.6,28.3,7.4,37,131
Dwight Powell,203939,32,20,62.5,97.0,2.7,15,132
Nae'Qwan Tomlin,1641772,96,60,62.5,62.7,4.1,29,133
Jase Richardson,1642859,48,30,62.5,39.7,3.3,18,134
Rui Hachimura,1629060,72,45,62.5,27.3,3.9,23,135
Scottie Barnes,1630567,290,181,62.4,48.5,9.0,40,136
Reed Sheppard,1642263,61,38,62.3,15.4,2.6,29,137
Onyeka Okongwu,1630168,220,137,62.3,44.0,6.8,40,138
Gradey Dick,1641711,61,38,62.3,29.2,2.4,32,139
Ace Bailey,1642846,74,46,62.2,25.7,3.2,29,140
Quentin Grimes,1629656,127,79,62.2,34.2,4.5,35,141
Zaccharie Risacher,1642258,129,80,62.0,38.2,4.4,36,142
Brandon Ingram,1627742,142,88,62.0,21.2,4.9,36,143
Draymond Green,203110,79,49,62.0,31.6,3.3,30,144
Jalen Williams,1631114,157,97,61.8,49.1,8.8,22,145
T.J. McConnell,204456,68,42,61.8,28.5,3.4,25,146
Nique Clifford,1642363,60,37,61.7,32.8,3.2,23,147
Coby White,1629632,94,58,61.7,39.2,6.8,17,148
Duncan Robinson,1629130,47,29,61.7,14.5,2.2,26,149
Jock Landale,1629111,151,93,61.6,48.9,5.3,35,150
Jaylen Brown,1627759,252,155,61.5,31.9,8.6,36,151
Jordan Clarkson,203903,101,62,61.4,30.6,3.4,36,152
Kenrich Williams,1629026,31,19,61.3,35.6,2.5,15,153
Jaden McDaniels,1630183,185,113,61.1,43.6,5.8,39,154
