team,implied_prob_avg,implied_prob_min,implied_prob_max,num_books,best_book,best_odds,record,fair_prob,fair_odds,shopping_spread_pct
Oklahoma City Thunder,0.4837236312562461,0.46511627906976744,0.5121951219512195,5,draftkings,115,31-7,0.4170001973845183,139.80803996548096,4.707884288145209
Denver Nuggets,0.11666666666666665,0.1111111111111111,0.125,5,fanduel,800,25-12,0.10057400524726917,894.2927076846752,1.3888888888888895
San Antonio Spurs,0.07862137862137862,0.07142857142857142,0.09090909090909091,5,fanduel,1300,26-11,0.06777657382297775,1375.4360446307746,1.9480519480519487
New York Knicks,0.07582417582417582,0.07142857142857142,0.07692307692307693,5,fanduel,1300,24-13,0.06536520906180446,1429.865832838498,0.5494505494505503
Houston Rockets,0.07472527472527472,0.07142857142857142,0.07692307692307693,5,draftkings,1300,22-12,0.06441788719134353,1452.3638597920049,0.5494505494505503
Detroit Pistons,0.05144724556489262,0.047619047619047616,0.058823529411764705,5,draftkings,2000,28-9,0.04435076181772334,2154.752701001818,1.120448179271709
Boston Celtics,0.046545851809009706,0.038461538461538464,0.05555555555555555,5,draftkings,2500,23-13,0.04012545209209677,2392.1837583406646,1.7094017094017089
Cleveland Cavaliers,0.041887191817065586,0.03225806451612903,0.047619047619047616,5,draftkings,3000,21-17,0.036109394139453646,2669.3624438505476,1.5360983102918584
Los Angeles Lakers,0.03732813080639168,0.027777777777777776,0.043478260869565216,5,fanduel,3500,23-12,0.03217919677365246,3007.597765829803,1.570048309178744
Minnesota Timberwolves,0.030115240431341693,0.024390243902439025,0.03225806451612903,5,fanduel,4000,24-13,0.025961231564267422,3751.8973860099236,0.7867820613690006
Orlando Magic,0.02674956161326319,0.024390243902439025,0.029411764705882353,5,betrivers,4000,21-17,0.023059804714752705,4236.55016757467,0.5021520803443327
Golden State Warriors,0.026641314800244776,0.024390243902439025,0.03225806451612903,5,fanduel,4000,20-18,0.02296648915297687,4254.1700838083125,0.7867820613690006
Philadelphia 76ers,0.014349552528159065,0.012345679012345678,0.01639344262295082,5,betrivers,8000,20-15,0.012370216896540297,7983.932629181952,0.40477636106051423
Miami Heat,0.011612408666740966,0.009900990099009901,0.014925373134328358,5,fanduel,10000,20-17,0.010010626715847772,9889.384564873497,0.5024383035318457
Atlanta Hawks,0.01048596923184382,0.007936507936507936,0.012345679012345678,5,fanduel,12500,18-21,0.009039565067538545,10962.479140628586,0.4409171075837742
Los Angeles Clippers,0.008787891776190607,0.007936507936507936,0.009900990099009901,5,betonlineag,12500,13-23,0.007575715488094524,13100.073333951514,0.1964482162501965
Milwaukee Bucks,0.006028145834444018,0.00398406374501992,0.007936507936507936,5,betrivers,25000,16-21,0.005196640892440084,19143.199995881376,0.3952444191488016
Toronto Raptors,0.005765347558400709,0.00398406374501992,0.006622516556291391,5,betrivers,25000,23-15,0.004970092247922202,20020.350893246705,0.26384528112714706
Phoenix Suns,0.0020955595044325316,0.001996007984031936,0.0024937655860349127,5,draftkings,50000,22-15,0.001806504107955105,55255.53423855551,0.04977576020029767
Dallas Mavericks,0.001549821682674463,0.000999000999000999,0.001996007984031936,5,fanduel,100000,14-23,0.0013360437775339971,74747.84681574957,0.0997006985030937
Chicago Bulls,0.0011984023960071863,0.000999000999000999,0.001996007984031936,5,draftkings,100000,17-20,0.0010330982474088576,96696.2149300057,0.0997006985030937
Portland Trail Blazers,0.0009324453028650232,0.0006662225183211193,0.000999000999000999,5,draftkings,150000,18-20,0.0008038265038554716,124304.95495030364,0.033277848067987975
Memphis Grizzlies,0.0008991508241883054,0.0004997501249375312,0.000999000999000999,5,draftkings,200000,16-21,0.0007751245689428661,128911.52151115845,0.049925087406346776
Indiana Pacers,0.0008991508241883054,0.0004997501249375312,0.000999000999000999,5,draftkings,200000,6-31,0.0007751245689428661,128911.52151115845,0.049925087406346776
Charlotte Hornets,0.0008991508241883054,0.0004997501249375312,0.000999000999000999,5,draftkings,200000,13-24,0.0007751245689428661,128911.52151115845,0.049925087406346776
Sacramento Kings,0.0008991508241883054,0.0004997501249375312,0.000999000999000999,5,draftkings,200000,8-29,0.0007751245689428661,128911.52151115845,0.049925087406346776
Utah Jazz,0.0008991508241883054,0.0004997501249375312,0.000999000999000999,5,draftkings,200000,12-24,0.0007751245689428661,128911.52151115845,0.049925087406346776
New Orleans Pelicans,0.0008325951280523296,0.0004997501249375312,0.000999000999000999,5,draftkings,200000,8-31,0.0007177493723793065,139224.3990844667,0.049925087406346776
Brooklyn Nets,0.000799300649375612,0.0004997501249375312,0.000999000999000999,5,draftkings,200000,11-23,0.0006890474374667011,145027.8889703912,0.049925087406346776
Washington Wizards,0.000799300649375612,0.0004997501249375312,0.000999000999000999,5,draftkings,200000,10-26,0.0006890474374667011,145027.8889703912,0.049925087406346776
