season,strategy_type,total_plays,wins,losses,pushes,no_data,win_rate,total_profit,total_staked,roi
2024-25,2d,2268,1123,1142,3,0,49.58057395143488,-12108.070000000007,226500,-5.345726269315676
2023-24,2d,1785,931,853,1,0,52.18609865470852,-662.7900000000075,178400,-0.3715190582959683
