game_id,game,commence_time,home_team,away_team,bookmaker,market,player,line,over_odds,under_odds,fetch_time
61feabe0b59a9dba9be076c59ecd125d,Los Angeles Lakers @ Boston Celtics,2025-12-06T00:10:00Z,Boston Celtics,Los Angeles Lakers,fanduel,player_points,Deandre Ayton,16.5,100,-128,2025-12-05T20:22:49.496817+00:00
61feabe0b59a9dba9be076c59ecd125d,Los Angeles Lakers @ Boston Celtics,2025-12-06T00:10:00Z,Boston Celtics,Los Angeles Lakers,fanduel,player_points,Dalton Knecht,7.5,-122,-104,2025-12-05T20:22:49.496817+00:00
61feabe0b59a9dba9be076c59ecd125d,Los Angeles Lakers @ Boston Celtics,2025-12-06T00:10:00Z,Boston Celtics,Los Angeles Lakers,fanduel,player_points,Gabe Vincent,7.5,-104,-122,2025-12-05T20:22:49.496817+00:00
61feabe0b59a9dba9be076c59ecd125d,Los Angeles Lakers @ Boston Celtics,2025-12-06T00:10:00Z,Boston Celtics,Los Angeles Lakers,fanduel,player_points,Austin Reaves,31.5,-115,-111,2025-12-05T20:22:49.496817+00:00
61feabe0b59a9dba9be076c59ecd125d,Los Angeles Lakers @ Boston Celtics,2025-12-06T00:10:00Z,Boston Celtics,Los Angeles Lakers,fanduel,player_points,Payton Pritchard,16.5,-128,-102,2025-12-05T20:22:49.496817+00:00
61feabe0b59a9dba9be076c59ecd125d,Los Angeles Lakers @ Boston Celtics,2025-12-06T00:10:00Z,Boston Celtics,Los Angeles Lakers,fanduel,player_points,Sam Hauser,6.5,-118,-108,2025-12-05T20:22:49.496817+00:00
61feabe0b59a9dba9be076c59ecd125d,Los Angeles Lakers @ Boston Celtics,2025-12-06T00:10:00Z,Boston Celtics,Los Angeles Lakers,fanduel,player_points,Jaylen Brown,29.5,-102,-125,2025-12-05T20:22:49.496817+00:00
61feabe0b59a9dba9be076c59ecd125d,Los Angeles Lakers @ Boston Celtics,2025-12-06T00:10:00Z,Boston Celtics,Los Angeles Lakers,fanduel,player_points,Anfernee Simons,12.5,100,-130,2025-12-05T20:22:49.496817+00:00
61feabe0b59a9dba9be076c59ecd125d,Los Angeles Lakers @ Boston Celtics,2025-12-06T00:10:00Z,Boston Celtics,Los Angeles Lakers,fanduel,player_points,Jake LaRavia,11.5,-108,-118,2025-12-05T20:22:49.496817+00:00
61feabe0b59a9dba9be076c59ecd125d,Los Angeles Lakers @ Boston Celtics,2025-12-06T00:10:00Z,Boston Celtics,Los Angeles Lakers,fanduel,player_points,Neemias Queta,10.5,-104,-122,2025-12-05T20:22:49.496817+00:00
61feabe0b59a9dba9be076c59ecd125d,Los Angeles Lakers @ Boston Celtics,2025-12-06T00:10:00Z,Boston Celtics,Los Angeles Lakers,fanduel,player_points,Jordan Walsh,6.5,-115,-111,2025-12-05T20:22:49.496817+00:00
61feabe0b59a9dba9be076c59ecd125d,Los Angeles Lakers @ Boston Celtics,2025-12-06T00:10:00Z,Boston Celtics,Los Angeles Lakers,fanduel,player_points,Rui Hachimura,15.5,-115,-111,2025-12-05T20:22:49.496817+00:00
61feabe0b59a9dba9be076c59ecd125d,Los Angeles Lakers @ Boston Celtics,2025-12-06T00:10:00Z,Boston Celtics,Los Angeles Lakers,fanduel,player_points,Derrick White,17.5,100,-128,2025-12-05T20:22:49.496817+00:00
61feabe0b59a9dba9be076c59ecd125d,Los Angeles Lakers @ Boston Celtics,2025-12-06T00:10:00Z,Boston Celtics,Los Angeles Lakers,fanatics,player_points,Jaylen Brown,29.5,-105,-125,2025-12-05T20:22:49.496817+00:00
61feabe0b59a9dba9be076c59ecd125d,Los Angeles Lakers @ Boston Celtics,2025-12-06T00:10:00Z,Boston Celtics,Los Angeles Lakers,fanatics,player_points,Gabe Vincent,7.5,-105,-125,2025-12-05T20:22:49.496817+00:00
61feabe0b59a9dba9be076c59ecd125d,Los Angeles Lakers @ Boston Celtics,2025-12-06T00:10:00Z,Boston Celtics,Los Angeles Lakers,fanatics,player_points,Neemias Queta,10.5,-110,-120,2025-12-05T20:22:49.496817+00:00
61feabe0b59a9dba9be076c59ecd125d,Los Angeles Lakers @ Boston Celtics,2025-12-06T00:10:00Z,Boston Celtics,Los Angeles Lakers,fanatics,player_points,Derrick White,16.5,-125,-105,2025-12-05T20:22:49.496817+00:00
61feabe0b59a9dba9be076c59ecd125d,Los Angeles Lakers @ Boston Celtics,2025-12-06T00:10:00Z,Boston Celtics,Los Angeles Lakers,fanatics,player_points,Dalton Knecht,8.5,-105,-125,2025-12-05T20:22:49.496817+00:00
61feabe0b59a9dba9be076c59ecd125d,Los Angeles Lakers @ Boston Celtics,2025-12-06T00:10:00Z,Boston Celtics,Los Angeles Lakers,fanatics,player_points,Jake LaRavia,11.5,-115,-115,2025-12-05T20:22:49.496817+00:00
61feabe0b59a9dba9be076c59ecd125d,Los Angeles Lakers @ Boston Celtics,2025-12-06T00:10:00Z,Boston Celtics,Los Angeles Lakers,fanatics,player_points,Rui Hachimura,15.5,-115,-115,2025-12-05T20:22:49.496817+00:00
61feabe0b59a9dba9be076c59ecd125d,Los Angeles Lakers @ Boston Celtics,2025-12-06T00:10:00Z,Boston Celtics,Los Angeles Lakers,fanatics,player_points,Austin Reaves,31.5,-115,-115,2025-12-05T20:22:49.496817+00:00
61feabe0b59a9dba9be076c59ecd125d,Los Angeles Lakers @ Boston Celtics,2025-12-06T00:10:00Z,Boston Celtics,Los Angeles Lakers,fanatics,player_points,Payton Pritchard,16.5,-120,-110,2025-12-05T20:22:49.496817+00:00
61feabe0b59a9dba9be076c59ecd125d,Los Angeles Lakers @ Boston Celtics,2025-12-06T00:10:00Z,Boston Celtics,Los Angeles Lakers,fanatics,player_points,Sam Hauser,6.5,-115,-115,2025-12-05T20:22:49.496817+00:00
61feabe0b59a9dba9be076c59ecd125d,Los Angeles Lakers @ Boston Celtics,2025-12-06T00:10:00Z,Boston Celtics,Los Angeles Lakers,fanatics,player_points,Anfernee Simons,12.5,-105,-125,2025-12-05T20:22:49.496817+00:00
