player,away_team,home_team,game_time,market,prop_line,over_odds,under_odds,bookmaker,bookmaker_last_update,market_last_update,fetch_date,season,odds_api_event_id
Coby White,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,4.5,122,-162,fanduel,,2026-03-24T23:48:21Z,20260324T234825Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Brandon Miller,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,2.5,-144,108,fanduel,,2026-03-24T23:48:21Z,20260324T234825Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Miles Bridges,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,6.5,132,-178,fanduel,,2026-03-24T23:48:21Z,20260324T234825Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Moussa Diabate,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,9.5,-130,-102,fanduel,,2026-03-24T23:48:21Z,20260324T234825Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Devin Carter,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,5.5,104,-138,fanduel,,2026-03-24T23:48:21Z,20260324T234825Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Dylan Cardwell,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,10.5,104,-138,fanduel,,2026-03-24T23:48:21Z,20260324T234825Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Kon Knueppel,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,4.5,102,-136,fanduel,,2026-03-24T23:48:21Z,20260324T234825Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Dylan Cardwell,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,10.5,120,-154,draftkings,,2026-03-24T23:47:38Z,20260324T234825Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Moussa Diabate,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,9.5,-125,-105,draftkings,,2026-03-24T23:47:38Z,20260324T234825Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Maxime Raynaud,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,8.5,-110,-120,draftkings,,2026-03-24T23:47:38Z,20260324T234825Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
LaMelo Ball,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,6.5,120,-154,draftkings,,2026-03-24T23:47:38Z,20260324T234825Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Ryan Kalkbrenner,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,6.5,120,-154,draftkings,,2026-03-24T23:47:38Z,20260324T234825Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
