team_point_spread_bucket,n_rows,mean_edge_over,mean_edge_under,mean_actual_fg3m,mean_y_hat,calibration_delta_fg3m
"(-12,-8]",22,-0.11662322450945353,0.06392930778820984,4.2727272727272725,4.330669852074224,0.05794257934695146
"(-4,-1]",20,-0.07942343250522028,0.02376943906474343,4.1,4.695457757784643,0.5954577577846436
"(-8,-4]",36,-0.1059412750857498,0.05267752645148273,4.888888888888889,4.4082379459039425,-0.4806509429849468
"(-inf,-12]",8,-0.11908206381594677,0.06899698904468272,6.0,4.2980586127020874,-1.7019413872979126
"(1,4]",8,-0.05730311027066899,-0.0004669617136866186,5.375,4.660014761636803,-0.7149852383631972
"(4,8]",3,0.026646393447650296,-0.07726260167675635,1.6666666666666667,4.768330543147278,3.101663876480611
