bin,games,wins,losses,win_pct,avg_next_diff
7-8,17,10,7,58.82352941176471,3.576470588235294
9-10,15,6,9,40.0,0.9866666666666665
11-12,12,5,7,41.66666666666667,0.0166666666666672
13-14,7,3,4,42.857142857142854,-0.4142857142857146
15+,6,2,4,33.33333333333333,0.40000000000000036
