week,team,game_id,opponent,score,opponent_score,adj_score,score_diff,won_game,next_week,next_game_id,next_opponent,next_score,next_opponent_score,next_adj_score,next_score_diff,won_next_game,diff_change,diff_bin
2,BAL,2025_02_CLE_BAL,CLE,41,17,18.8,22.2,1,3,2025_03_DET_BAL,DET,30,38,24.0,6.0,0,-16.2,15+
2,CLE,2025_02_CLE_BAL,BAL,17,41,12.7,4.300000000000001,0,3,2025_03_GB_CLE,GB,13,10,14.5,-1.5,1,-5.800000000000001,3 to 5
2,DEN,2025_02_DEN_IND,IND,28,29,23.7,4.300000000000001,0,3,2025_03_DEN_LAC,LAC,20,23,12.8,7.199999999999999,0,2.8999999999999986,3 to 5
2,IND,2025_02_DEN_IND,DEN,29,28,25.0,4.0,1,3,2025_03_IND_TEN,TEN,41,20,30.2,10.8,1,6.800000000000001,3 to 5
2,CIN,2025_02_JAX_CIN,JAX,31,27,23.0,8.0,1,3,2025_03_CIN_MIN,MIN,10,48,7.6,2.4000000000000004,0,-5.6,7 to 10
2,JAX,2025_02_JAX_CIN,CIN,27,31,27.8,-0.8000000000000007,0,3,2025_03_HOU_JAX,HOU,17,10,21.0,-4.0,1,-3.1999999999999993,-3 to 0
2,LAC,2025_02_LAC_LV,LV,20,9,20.3,-0.3000000000000007,1,3,2025_03_DEN_LAC,DEN,23,20,22.0,1.0,1,1.3000000000000007,-3 to 0
2,LV,2025_02_LAC_LV,LAC,9,20,11.5,-2.5,0,3,2025_03_LV_WAS,WAS,24,41,13.1,10.9,0,13.4,-3 to 0
2,LA,2025_02_LA_TEN,TEN,33,19,26.6,6.399999999999999,1,3,2025_03_LA_PHI,PHI,26,33,24.6,1.3999999999999986,0,-5.0,5 to 7
2,TEN,2025_02_LA_TEN,LA,19,33,14.3,4.699999999999999,0,3,2025_03_IND_TEN,IND,20,41,15.8,4.199999999999999,0,-0.5,3 to 5
2,MIA,2025_02_NE_MIA,NE,27,33,19.9,7.100000000000001,0,3,2025_03_MIA_BUF,BUF,21,31,17.3,3.6999999999999993,0,-3.400000000000002,7 to 10
2,NE,2025_02_NE_MIA,MIA,33,27,21.5,11.5,1,3,2025_03_PIT_NE,PIT,14,21,22.7,-8.7,0,-20.2,10 to 15
2,DAL,2025_02_NYG_DAL,NYG,40,37,26.4,13.600000000000001,1,3,2025_03_DAL_CHI,CHI,14,31,23.4,-9.399999999999999,0,-23.0,10 to 15
2,NYG,2025_02_NYG_DAL,DAL,37,40,25.6,11.399999999999999,0,3,2025_03_KC_NYG,KC,9,22,18.4,-9.399999999999999,0,-20.799999999999997,10 to 15
2,KC,2025_02_PHI_KC,PHI,17,20,17.1,-0.10000000000000142,0,3,2025_03_KC_NYG,NYG,22,9,25.0,-3.0,1,-2.8999999999999986,-3 to 0
2,PHI,2025_02_PHI_KC,KC,20,17,17.9,2.1000000000000014,1,3,2025_03_LA_PHI,LA,33,26,21.4,11.600000000000001,1,9.5,0 to 3
2,PIT,2025_02_SEA_PIT,SEA,17,31,16.7,0.3000000000000007,0,3,2025_03_PIT_NE,NE,21,14,21.5,-0.5,1,-0.8000000000000007,0 to 3
2,SEA,2025_02_SEA_PIT,PIT,31,17,25.9,5.100000000000001,1,3,2025_03_NO_SEA,NO,44,13,29.8,14.2,1,9.099999999999998,5 to 7
2,NO,2025_02_SF_NO,SF,21,26,20.5,0.5,0,3,2025_03_NO_SEA,SEA,13,44,22.0,-9.0,0,-9.5,0 to 3
