season,week,game_id,team1,team1_score,team1_adj_score,team2,team2_score,team2_adj_score,actual_diff,adj_diff,luck_delta,lucky_team,lucky_team_score,lucky_team_adj_score,lucky_team_overperf,unlucky_team,unlucky_team_score,unlucky_team_adj_score,unlucky_team_underperf
2025,2,2025_02_CHI_DET,CHI,21,16.1,DET,52,33.2,-31,-17.1,13.899999999999999,DET,52,33.2,18.799999999999997,CHI,21,16.1,4.899999999999999
2025,2,2025_02_CLE_BAL,BAL,41,18.8,CLE,17,12.7,24,6.100000000000001,17.9,BAL,41,18.8,22.2,CLE,17,12.7,4.300000000000001
2025,2,2025_02_DEN_IND,DEN,28,23.7,IND,29,25.0,-1,-1.3000000000000007,0.3000000000000007,DEN,28,23.7,4.300000000000001,IND,29,25.0,4.0
2025,2,2025_02_JAX_CIN,CIN,31,23.0,JAX,27,27.8,4,-4.800000000000001,8.8,CIN,31,23.0,8.0,JAX,27,27.8,-0.8000000000000007
2025,2,2025_02_LAC_LV,LAC,20,20.3,LV,9,11.5,11,8.8,2.1999999999999993,LAC,20,20.3,-0.3000000000000007,LV,9,11.5,-2.5
2025,2,2025_02_LA_TEN,LA,33,26.6,TEN,19,14.3,14,12.3,1.6999999999999993,LA,33,26.6,6.399999999999999,TEN,19,14.3,4.699999999999999
2025,2,2025_02_NE_MIA,MIA,27,19.9,NE,33,21.5,-6,-1.6000000000000014,4.399999999999999,NE,33,21.5,11.5,MIA,27,19.9,7.100000000000001
2025,2,2025_02_NYG_DAL,DAL,40,26.4,NYG,37,25.6,3,0.7999999999999972,2.200000000000003,DAL,40,26.4,13.600000000000001,NYG,37,25.6,11.399999999999999
2025,2,2025_02_PHI_KC,KC,17,17.1,PHI,20,17.9,-3,-0.7999999999999972,2.200000000000003,PHI,20,17.9,2.1000000000000014,KC,17,17.1,-0.10000000000000142
2025,2,2025_02_SEA_PIT,PIT,17,16.7,SEA,31,25.9,-14,-9.2,4.800000000000001,SEA,31,25.9,5.100000000000001,PIT,17,16.7,0.3000000000000007
2025,2,2025_02_SF_NO,NO,21,20.5,SF,26,25.6,-5,-5.100000000000001,0.10000000000000142,NO,21,20.5,0.5,SF,26,25.6,0.3999999999999986
2025,2,2025_02_TB_HOU,HOU,19,18.9,TB,20,27.4,-1,-8.5,7.5,HOU,19,18.9,0.10000000000000142,TB,20,27.4,-7.399999999999999
2025,2,2025_02_WAS_GB,GB,27,29.2,WAS,18,16.9,9,12.3,3.3000000000000007,WAS,18,16.9,1.1000000000000014,GB,27,29.2,-2.1999999999999993
2025,3,2025_03_ARI_SF,ARI,15,17.5,SF,16,24.3,-1,-6.800000000000001,5.800000000000001,ARI,15,17.5,-2.5,SF,16,24.3,-8.3
2025,3,2025_03_ATL_CAR,ATL,0,13.8,CAR,30,20.5,-30,-6.699999999999999,23.3,CAR,30,20.5,9.5,ATL,0,13.8,-13.8
