bin,games,wins,losses,win_pct,avg_current_diff,avg_next_diff,avg_change
-15 to -10,5,4,1,80.0,-11.879999999999999,3.84,15.720000000000002
-10 to -7,24,14,10,58.333333333333336,-8.424999999999999,3.275,11.700000000000001
-7 to -5,14,9,5,64.28571428571429,-6.1499999999999995,3.4642857142857153,9.614285714285714
-5 to -3,34,17,17,50.0,-3.8676470588235303,2.1088235294117648,5.976470588235295
-3 to 0,58,26,32,44.827586206896555,-1.4482758620689653,0.6982758620689654,2.1465517241379306
0 to 3,45,23,22,51.11111111111111,1.4088888888888889,0.002222222222222333,-1.4066666666666665
3 to 5,41,24,17,58.536585365853654,4.148780487804878,2.302439024390244,-1.8463414634146345
5 to 7,23,5,18,21.73913043478261,6.060869565217391,0.8652173913043477,-5.195652173913044
7 to 10,23,13,10,56.52173913043478,8.43913043478261,3.6652173913043478,-4.77391304347826
10 to 15,27,11,16,40.74074074074074,12.003703703703705,-0.3592592592592593,-12.362962962962964
15+,6,2,4,33.33333333333333,18.2,0.40000000000000036,-17.8
