luck_bin,games,lucky_wins,lucky_games,lucky_win_pct,lucky_avg_next_diff,unlucky_wins,unlucky_games,unlucky_win_pct,unlucky_avg_next_diff
0 to 3,40,12,40,30.0,2.1799999999999997,22,40,55.00000000000001,1.8074999999999999
3 to 7,42,23,42,54.761904761904766,2.1714285714285713,19,42,45.23809523809524,0.7166666666666666
7 to 10,26,12,26,46.15384615384615,-1.0730769230769228,15,26,57.692307692307686,3.542307692307693
10 to 15,19,9,19,47.368421052631575,0.8947368421052629,9,19,47.368421052631575,3.0368421052631582
15+,11,6,11,54.54545454545454,0.33636363636363664,7,11,63.63636363636363,2.0
