game_id,game_time,week,away_abbr,home_abbr,consensus_spread,abs_spread,spread_cat,away_is_favorite,home_is_favorite,away_score,home_score,actual_margin,away_covered,home_covered,away_luck,home_luck,away_prior_luck,home_prior_luck,away_luck_cat,home_luck_cat,matchup_type,game_time_et,is_lu,bet_team,bet_spread,bet_reason
365a766a3862bc47a5455dc3b097421e,2025-11-30 21:25:00+00:00,13,BUF,PIT,-3.0,3.0,0-3,True,False,26,7,19,True,False,6.699999999999999,-4.199999999999999,0.8999999999999986,2.1000000000000014,Neutral,Neutral,Neutral vs Neutral,Sun 2025-11-30 16:25 ET,False,n/a,n/a,n/a
36fcf5ca155a5dcd2f7a87fd2a985b02,2025-11-30 18:00:00+00:00,13,SF,CLE,-5.5,5.5,3.5-7,True,False,26,8,18,True,False,9.9,-10.0,-1.5,8.0,Neutral,Lucky,Neutral vs Lucky,Sun 2025-11-30 13:00 ET,False,n/a,n/a,n/a
3e65786eddd4c7aee9e7f2504f6fdedc,2025-12-02 01:15:00+00:00,13,NYG,NE,7.0,7.0,3.5-7,False,True,15,33,-18,False,True,-2.1999999999999997,11.2,5.0,2.1000000000000014,Lucky,Neutral,Lucky vs Neutral,Mon 2025-12-01 20:15 ET,False,n/a,n/a,n/a
52f539d9d080618aa8830a0b03846a80,2025-11-28 20:00:00+00:00,13,CHI,PHI,7.0,7.0,3.5-7,False,True,24,15,9,True,False,-0.8000000000000007,-5.800000000000001,8.2,0.1000000000000014,Lucky,Neutral,Lucky vs Neutral,Fri 2025-11-28 15:00 ET,False,n/a,n/a,n/a
61e1e459b2ddafd43e8808d4f40c01d9,2025-11-30 18:00:00+00:00,13,JAX,TEN,-6.0,6.0,3.5-7,True,False,25,3,22,True,False,2.3000000000000007,-7.6,2.6999999999999997,13.2,Neutral,Lucky,Neutral vs Lucky,Sun 2025-11-30 13:00 ET,False,n/a,n/a,n/a
67e51d17848485bed8737bd7043a275a,2025-11-30 18:00:00+00:00,13,LAR,CAR,-10.0,10.0,7.5+,True,False,28,31,-3,False,True,-1.1999999999999993,12.3,3.5,-6.800000000000001,Lucky,Unlucky,Lucky vs Unlucky,Sun 2025-11-30 13:00 ET,True,CAR,10.0,"CAR unlucky (-6.8), LAR lucky (+3.5)"
6f956074c4df48e7b07a3286a6c6ed2a,2025-11-30 21:05:00+00:00,13,MIN,SEA,12.0,12.0,7.5+,False,True,0,26,-26,False,True,-6.4,5.300000000000001,-5.5,5.5,Unlucky,Lucky,Unlucky vs Lucky,Sun 2025-11-30 16:05 ET,True,MIN,12.0,"MIN unlucky (-5.5), SEA lucky (+5.5)"
76ac5a8d2c8679ae6ea8861114791bd8,2025-11-30 21:25:00+00:00,13,LV,LAC,10.0,10.0,7.5+,False,True,14,31,-17,False,True,-5.5,12.7,-2.5,-8.7,Neutral,Unlucky,Neutral vs Unlucky,Sun 2025-11-30 16:25 ET,False,n/a,n/a,n/a
883a79a306b312fad75ebf04b441b4da,2025-11-28 01:20:00+00:00,13,CIN,BAL,7.5,7.5,7.5+,False,True,32,14,18,True,False,7.600000000000001,-3.6000000000000014,0.1000000000000014,5.0,Neutral,Lucky,Neutral vs Lucky,Thu 2025-11-27 20:20 ET,False,n/a,n/a,n/a
9c040de8f1dfc3ddee20e0d65c9402de,2025-12-01 01:20:00+00:00,13,DEN,WAS,-6.0,6.0,3.5-7,True,False,27,26,1,False,True,3.0,4.600000000000001,0.6999999999999993,-10.6,Neutral,Unlucky,Neutral vs Unlucky,Sun 2025-11-30 20:20 ET,False,n/a,n/a,n/a
9da608f5bdae527b280abd61e47a110b,2025-11-30 18:00:00+00:00,13,ATL,NYJ,-3.0,3.0,0-3,True,False,24,27,-3,False,True,-6.5,3.6000000000000014,2.6999999999999997,-6.600000000000001,Neutral,Unlucky,Neutral vs Unlucky,Sun 2025-11-30 13:00 ET,False,n/a,n/a,n/a
c0d324e29ce58b36bdc77564f7aae56f,2025-11-30 18:00:00+00:00,13,ARI,TB,3.5,3.5,3.5-7,False,True,17,20,-3,True,False,-13.3,-1.1000000000000014,0.8999999999999986,-4.6,Neutral,Unlucky,Neutral vs Unlucky,Sun 2025-11-30 13:00 ET,False,n/a,n/a,n/a
de53b8a594fe830c5fd56484705cd756,2025-11-27 21:30:00+00:00,13,KC,DAL,-3.5,3.5,3.5-7,True,False,28,31,-3,False,True,8.2,5.899999999999999,-1.6000000000000014,-1.8000000000000007,Neutral,Neutral,Neutral vs Neutral,Thu 2025-11-27 16:30 ET,False,n/a,n/a,n/a
e3c9bfba57bbe784481d881ea3b4519d,2025-11-30 18:00:00+00:00,13,NO,MIA,5.5,5.5,3.5-7,False,True,17,21,-4,True,False,-3.3000000000000007,0.1000000000000014,-6.199999999999999,-7.5,Unlucky,Unlucky,Unlucky vs Unlucky,Sun 2025-11-30 13:00 ET,False,n/a,n/a,n/a
fa46c661007f5f0cbbf6abf939ac9d51,2025-11-30 18:00:00+00:00,13,HOU,IND,3.0,3.0,0-3,False,True,20,16,4,True,False,0.0,0.5999999999999996,2.3999999999999986,2.5,Neutral,Neutral,Neutral vs Neutral,Sun 2025-11-30 13:00 ET,False,n/a,n/a,n/a
fe2eb07797580740af78037ab498198e,2025-11-27 18:00:00+00:00,13,GB,DET,3.0,3.0,0-3,False,True,31,24,7,True,False,6.399999999999999,6.300000000000001,-2.1000000000000014,5.199999999999999,Neutral,Lucky,Neutral vs Lucky,Thu 2025-11-27 13:00 ET,False,n/a,n/a,n/a
