player,market,line,best_over_odds,best_over_book,best_over_implied,best_under_odds,best_under_book,best_under_implied,total_prob,expected_profit_pct,is_arb,over_stake,under_stake,over_return,under_return,guaranteed_profit,total_wager,recommendation,game,game_time,num_bookmakers
Keon Coleman,player_receptions,2.5,146.0,fanduel,0.4065040650406504,-153.0,draftkings,0.6047430830039525,1.0112471480446028,-1.1122056627156707,False,,,,,,,Don't bet - bookmaker has edge,Buffalo Bills @ New England Patriots,2025-12-14T18:00:00Z,5
TreVeyon Henderson,player_rush_attempts,10.5,102.0,fanduel,0.49504950495049505,-107.0,draftkings,0.5169082125603864,1.0119577175108816,-1.1816420097367386,False,,,,,,,Don't bet - bookmaker has edge,Buffalo Bills @ New England Patriots,2025-12-14T18:00:00Z,4
Kirk Cousins,player_pass_attempts,31.5,103.0,betonlineag,0.49261083743842365,-110.0,betmgm,0.5238095238095238,1.0164203612479474,-1.6155088852988664,False,,,,,,,Don't bet - bookmaker has edge,Atlanta Falcons @ Tampa Bay Buccaneers,2025-12-12T01:15:00Z,4
Lamar Jackson,player_pass_completions,19.5,112.0,fanduel,0.4716981132075472,-120.0,draftkings,0.5454545454545454,1.0171526586620927,-1.6863406408094472,False,,,,,,,Don't bet - bookmaker has edge,Baltimore Ravens @ Cincinnati Bengals,2025-12-14T18:00:00Z,3
C.J. Stroud,player_pass_tds,1.5,-125.0,draftkings,0.5555555555555556,116.0,fanduel,0.46296296296296297,1.0185185185185186,-1.81818181818183,False,,,,,,,Don't bet - bookmaker has edge,Arizona Cardinals @ Houston Texans,2025-12-14T18:00:00Z,5
Bucky Irving,player_rush_attempts,15.5,100.0,betmgm,0.5,-108.0,betonlineag,0.5192307692307693,1.0192307692307692,-1.8867924528301772,False,,,,,,,Don't bet - bookmaker has edge,Atlanta Falcons @ Tampa Bay Buccaneers,2025-12-12T01:15:00Z,2
Stefon Diggs,player_receptions,4.5,100.0,fanduel,0.5,-108.0,draftkings,0.5192307692307693,1.0192307692307692,-1.8867924528301772,False,,,,,,,Don't bet - bookmaker has edge,Buffalo Bills @ New England Patriots,2025-12-14T18:00:00Z,5
Rhamondre Stevenson,player_rush_attempts,10.5,-108.0,draftkings,0.5192307692307693,100.0,fanduel,0.5,1.0192307692307692,-1.8867924528301772,False,,,,,,,Don't bet - bookmaker has edge,Buffalo Bills @ New England Patriots,2025-12-14T18:00:00Z,4
Keon Coleman,player_reception_yds,20.5,100.0,fanatics,0.5,-110.0,draftkings,0.5238095238095238,1.0238095238095237,-2.3255813953488302,False,,,,,,,Don't bet - bookmaker has edge,Buffalo Bills @ New England Patriots,2025-12-14T18:00:00Z,3
Rhamondre Stevenson,player_receptions,1.5,-115.0,betrivers,0.5348837209302325,104.0,fanduel,0.49019607843137253,1.025079799361605,-2.4466192170818357,False,,,,,,,Don't bet - bookmaker has edge,Buffalo Bills @ New England Patriots,2025-12-14T18:00:00Z,5
Mack Hollins,player_receptions,2.5,-113.0,draftkings,0.5305164319248826,102.0,fanduel,0.49504950495049505,1.0255659368753776,-2.492861351584086,False,,,,,,,Don't bet - bookmaker has edge,Buffalo Bills @ New England Patriots,2025-12-14T18:00:00Z,5
Bijan Robinson,player_rush_attempts,16.5,-110.0,fanatics,0.5238095238095238,-101.0,draftkings,0.5024875621890548,1.0262970859985785,-2.5623268698060864,False,,,,,,,Don't bet - bookmaker has edge,Atlanta Falcons @ Tampa Bay Buccaneers,2025-12-12T01:15:00Z,4
Hunter Henry,player_receptions,3.5,-103.0,betrivers,0.5073891625615764,-108.0,draftkings,0.5192307692307693,1.0266199317923457,-2.592968533727058,False,,,,,,,Don't bet - bookmaker has edge,Buffalo Bills @ New England Patriots,2025-12-14T18:00:00Z,5
Josh Allen,player_pass_completions,20.5,104.0,fanduel,0.49019607843137253,-117.0,draftkings,0.5391705069124424,1.029366585343815,-2.8528792134831504,False,,,,,,,Don't bet - bookmaker has edge,Buffalo Bills @ New England Patriots,2025-12-14T18:00:00Z,3
Kirk Cousins,player_pass_tds,1.5,205.0,fanduel,0.32786885245901637,-237.0,draftkings,0.7032640949554896,1.031132947414506,-3.019295183280646,False,,,,,,,Don't bet - bookmaker has edge,Atlanta Falcons @ Tampa Bay Buccaneers,2025-12-12T01:15:00Z,4
