player,market,line,best_over_odds,best_over_book,best_over_implied,best_under_odds,best_under_book,best_under_implied,total_prob,expected_profit_pct,is_arb,over_stake,under_stake,over_return,under_return,guaranteed_profit,total_wager,recommendation,game,game_time,num_bookmakers
Josh Hart,player_rebounds,7.5,120,draftkings,0.4545454545454545,170,bovada,0.37037037037037035,0.8249158249158248,21.224489795918377,True,55.1,44.9,121.22,121.23,21.22,100.0,"Bet $55.10 Over @ draftkings, $44.90 Under @ bovada",New York Knicks @ Orlando Magic,2025-12-13T22:43:00Z,4
Anthony Black,player_points,11.5,105,draftkings,0.4878048780487805,190,bovada,0.3448275862068966,0.832632464255677,20.101010101010107,True,58.59,41.41,120.11,120.09,20.09,100.0,"Bet $58.59 Over @ draftkings, $41.41 Under @ bovada",New York Knicks @ Orlando Magic,2025-12-13T22:43:00Z,3
Jalen Brunson,player_rebounds,2.5,144,fanduel,0.40983606557377045,135,bovada,0.425531914893617,0.8353679804673875,19.707724425887264,True,49.06,50.94,119.71,119.71,19.71,100.0,"Bet $49.06 Over @ fanduel, $50.94 Under @ bovada",New York Knicks @ Orlando Magic,2025-12-13T22:43:00Z,4
Wendell Carter Jr,player_rebounds,6.5,102,fanduel,0.49504950495049505,190,bovada,0.3448275862068966,0.8398770911573916,19.065040650406505,True,58.94,41.06,119.06,119.07,19.06,100.0,"Bet $58.94 Over @ fanduel, $41.06 Under @ bovada",New York Knicks @ Orlando Magic,2025-12-13T22:43:00Z,3
OG Anunoby,player_rebounds,3.5,100,draftkings,0.5,175,bovada,0.36363636363636365,0.8636363636363636,15.789473684210531,True,57.89,42.11,115.78,115.8,15.78,100.0,"Bet $57.89 Over @ draftkings, $42.11 Under @ bovada",New York Knicks @ Orlando Magic,2025-12-13T22:43:00Z,4
Mikal Bridges,player_threes,1.5,118,fanduel,0.45871559633027525,145,bovada,0.40816326530612246,0.8668788616363977,15.356371490280774,True,52.92,47.08,115.37,115.35,15.35,100.0,"Bet $52.92 Over @ fanduel, $47.08 Under @ bovada",New York Knicks @ Orlando Magic,2025-12-13T22:43:00Z,4
Karl-Anthony Towns,player_threes,1.5,122,fanduel,0.45045045045045046,140,bovada,0.4166666666666667,0.8671171171171171,15.324675324675319,True,51.95,48.05,115.33,115.32,15.32,100.0,"Bet $51.95 Over @ fanduel, $48.05 Under @ bovada",New York Knicks @ Orlando Magic,2025-12-13T22:43:00Z,4
Desmond Bane,player_threes,2.5,140,bovada,0.41666666666666663,118,fanduel,0.45871559633027525,0.8753822629969419,14.235807860262017,True,47.6,52.4,114.24,114.23,14.23,100.0,"Bet $47.60 Over @ bovada, $52.40 Under @ fanduel",New York Knicks @ Orlando Magic,2025-12-13T22:43:00Z,4
Josh Hart,player_points,10.5,-107,williamhill_us,0.5169082125603864,175,bovada,0.36363636363636365,0.8805445761967501,13.566084788029919,True,58.7,41.3,113.56,113.57,13.56,100.0,"Bet $58.70 Over @ williamhill_us, $41.30 Under @ bovada",New York Knicks @ Orlando Magic,2025-12-13T22:43:00Z,2
Jalen Brunson,player_assists,5.5,114,draftkings,0.4672897196261682,140,bovada,0.4166666666666667,0.8839563862928349,13.127753303964763,True,52.86,47.14,113.12,113.14,13.12,100.0,"Bet $52.86 Over @ draftkings, $47.14 Under @ bovada",New York Knicks @ Orlando Magic,2025-12-13T22:43:00Z,3
Jalen Brunson,player_threes,2.5,138,williamhill_us,0.42016806722689076,115,bovada,0.46511627906976744,0.8852843462966582,12.958057395143484,True,47.46,52.54,112.95,112.96,12.95,100.0,"Bet $47.46 Over @ williamhill_us, $52.54 Under @ bovada",New York Knicks @ Orlando Magic,2025-12-13T22:43:00Z,2
Jalen Suggs,player_threes,1.5,-125,fanduel,0.5555555555555556,200,bovada,0.3333333333333333,0.8888888888888888,12.5,True,62.5,37.5,112.5,112.5,12.5,100.0,"Bet $62.50 Over @ fanduel, $37.50 Under @ bovada",New York Knicks @ Orlando Magic,2025-12-13T22:43:00Z,3
Wendell Carter Jr,player_points,12.5,160,bovada,0.3846153846153846,-105,draftkings,0.5121951219512195,0.8968105065666041,11.506276150627626,True,42.89,57.11,111.51,111.5,11.5,100.0,"Bet $42.89 Over @ bovada, $57.11 Under @ draftkings",New York Knicks @ Orlando Magic,2025-12-13T22:43:00Z,2
Tristan da Silva,player_rebounds,3.5,107,williamhill_us,0.4830917874396135,140,bovada,0.4166666666666667,0.8997584541062802,11.140939597315436,True,53.69,46.31,111.14,111.14,11.14,100.0,"Bet $53.69 Over @ williamhill_us, $46.31 Under @ bovada",New York Knicks @ Orlando Magic,2025-12-13T22:43:00Z,2
Josh Hart,player_threes,1.5,174,fanduel,0.36496350364963503,-115,bovada,0.5348837209302325,0.8998472245798675,11.129975476325239,True,40.56,59.44,111.13,111.13,11.13,100.0,"Bet $40.56 Over @ fanduel, $59.44 Under @ bovada",New York Knicks @ Orlando Magic,2025-12-13T22:43:00Z,4
OG Anunoby,player_threes,2.5,170,bovada,0.37037037037037035,-116,williamhill_us,0.5370370370370371,0.9074074074074074,10.20408163265305,True,40.82,59.18,110.21,110.2,10.2,100.0,"Bet $40.82 Over @ bovada, $59.18 Under @ williamhill_us",New York Knicks @ Orlando Magic,2025-12-13T22:43:00Z,2
Karl-Anthony Towns,player_rebounds,9.5,-130,draftkings,0.5652173913043478,190,bovada,0.3448275862068966,0.9100449775112444,9.8846787479407,True,62.11,37.89,109.89,109.88,9.88,100.0,"Bet $62.11 Over @ draftkings, $37.89 Under @ bovada",New York Knicks @ Orlando Magic,2025-12-13T22:43:00Z,3
Paolo Banchero,player_rebounds,6.5,100,draftkings,0.5,140,bovada,0.4166666666666667,0.9166666666666667,9.090909090909083,True,54.55,45.45,109.1,109.08,9.08,100.0,"Bet $54.55 Over @ draftkings, $45.45 Under @ bovada",New York Knicks @ Orlando Magic,2025-12-13T22:43:00Z,3
Tristan da Silva,player_points,7.5,-124,williamhill_us,0.5535714285714286,175,bovada,0.36363636363636365,0.9172077922077922,9.02654867256636,True,60.35,39.65,109.02,109.04,9.02,100.0,"Bet $60.35 Over @ williamhill_us, $39.65 Under @ bovada",New York Knicks @ Orlando Magic,2025-12-13T22:43:00Z,2
