player,market,line,best_over_odds,best_over_book,best_over_implied,best_under_odds,best_under_book,best_under_implied,total_prob,expected_profit_pct,is_arb,over_stake,under_stake,over_return,under_return,guaranteed_profit,total_wager,recommendation,game,game_time,num_bookmakers,over_staleness_minutes,under_staleness_minutes,max_staleness,is_stale,stale_bookmaker,fetch_time_et
Mitchell Robinson,player_points,2.5,145,draftkings,0.40816326530612246,165,bovada,0.37735849056603776,0.7855217558721602,27.303921568627445,True,51.96,48.04,127.3,127.31,27.3,100.0,"Bet $51.96 Over @ draftkings, $48.04 Under @ bovada",San Antonio Spurs @ New York Knicks,2025-12-17T01:43:42Z,2,0.28551603333333336,10.868849366666666,10.868849366666666,True,bovada,2025-12-16 21:15:46 ET
Harrison Barnes,player_threes,1.5,154,fanduel,0.3937007874015748,140,bovada,0.4166666666666667,0.8103674540682415,23.40080971659919,True,48.58,51.42,123.39,123.41,23.39,100.0,"Bet $48.58 Over @ fanduel, $51.42 Under @ bovada",San Antonio Spurs @ New York Knicks,2025-12-17T01:43:42Z,5,0.26884936666666664,10.868849366666666,10.868849366666666,True,bovada,2025-12-16 21:15:46 ET
Mikal Bridges,player_assists,4.5,190,bovada,0.3448275862068965,107,williamhill_us,0.4830917874396135,0.82791937364651,20.784708249496987,True,41.65,58.35,120.78,120.78,20.78,100.0,"Bet $41.65 Over @ bovada, $58.35 Under @ williamhill_us",San Antonio Spurs @ New York Knicks,2025-12-17T01:43:42Z,4,10.868849366666666,1.1355160333333332,10.868849366666666,True,bovada,2025-12-16 21:15:46 ET
Victor Wembanyama,player_assists,2.5,130,draftkings,0.4347826086956522,150,bovada,0.4,0.8347826086956522,19.79166666666665,True,52.08,47.92,119.78,119.8,19.78,100.0,"Bet $52.08 Over @ draftkings, $47.92 Under @ bovada",San Antonio Spurs @ New York Knicks,2025-12-17T01:43:42Z,2,0.28551603333333336,10.868849366666666,10.868849366666666,True,bovada,2025-12-16 21:15:46 ET
Devin Vassell,player_points,17.5,215,bovada,0.31746031746031744,-120,williamhill_us,0.5454545454545454,0.8629148629148629,15.88628762541806,True,36.79,63.21,115.89,115.88,15.89,100.0,"Bet $36.79 Over @ bovada, $63.21 Under @ williamhill_us",San Antonio Spurs @ New York Knicks,2025-12-17T01:43:42Z,3,10.868849366666666,1.1355160333333332,10.868849366666666,True,bovada,2025-12-16 21:15:46 ET
Victor Wembanyama,player_points,17.5,-120,draftkings,0.5454545454545454,215,bovada,0.31746031746031744,0.8629148629148629,15.88628762541806,True,63.21,36.79,115.88,115.89,15.89,100.0,"Bet $63.21 Over @ draftkings, $36.79 Under @ bovada",San Antonio Spurs @ New York Knicks,2025-12-17T01:43:42Z,2,0.28551603333333336,10.868849366666666,10.868849366666666,True,bovada,2025-12-16 21:15:46 ET
Dylan Harper,player_points,13.5,200,bovada,0.33333333333333337,-115,draftkings,0.5348837209302325,0.8682170542635659,15.178571428571441,True,38.39,61.61,115.17,115.18,15.17,100.0,"Bet $38.39 Over @ bovada, $61.61 Under @ draftkings",San Antonio Spurs @ New York Knicks,2025-12-17T01:43:42Z,2,10.868849366666666,0.28551603333333336,10.868849366666666,True,bovada,2025-12-16 21:15:46 ET
Devin Vassell,player_rebounds,4.5,215,bovada,0.31746031746031744,-124,williamhill_us,0.5535714285714286,0.871031746031746,14.806378132118446,True,36.45,63.55,114.82,114.8,14.8,100.0,"Bet $36.45 Over @ bovada, $63.55 Under @ williamhill_us",San Antonio Spurs @ New York Knicks,2025-12-17T01:43:42Z,4,10.868849366666666,1.1355160333333332,10.868849366666666,True,bovada,2025-12-16 21:15:46 ET
Harrison Barnes,player_points,12.5,165,bovada,0.37735849056603776,100,fanduel,0.5,0.8773584905660378,13.978494623655902,True,43.01,56.99,113.98,113.98,13.98,100.0,"Bet $43.01 Over @ bovada, $56.99 Under @ fanduel",San Antonio Spurs @ New York Knicks,2025-12-17T01:43:42Z,2,10.868849366666666,0.26884936666666664,10.868849366666666,True,bovada,2025-12-16 21:15:46 ET
Julian Champagnie,player_rebounds,3.5,119,williamhill_us,0.45662100456620996,135,bovada,0.425531914893617,0.882152919459827,13.359030837004404,True,51.76,48.24,113.35,113.36,13.35,100.0,"Bet $51.76 Over @ williamhill_us, $48.24 Under @ bovada",San Antonio Spurs @ New York Knicks,2025-12-17T01:43:42Z,2,1.1355160333333332,10.868849366666666,10.868849366666666,True,bovada,2025-12-16 21:15:46 ET
Josh Hart,player_rebounds,9.5,180,bovada,0.3571428571428572,-114,fanduel,0.5327102803738317,0.8898531375166889,12.3780945236309,True,40.14,59.86,112.39,112.37,12.37,100.0,"Bet $40.14 Over @ bovada, $59.86 Under @ fanduel",San Antonio Spurs @ New York Knicks,2025-12-17T01:43:42Z,4,10.868849366666666,0.26884936666666664,10.868849366666666,True,bovada,2025-12-16 21:15:46 ET
Mikal Bridges,player_points,12.5,-112,williamhill_us,0.5283018867924528,175,bovada,0.36363636363636365,0.8919382504288165,12.115384615384617,True,59.23,40.77,112.11,112.12,12.11,100.0,"Bet $59.23 Over @ williamhill_us, $40.77 Under @ bovada",San Antonio Spurs @ New York Knicks,2025-12-17T01:43:42Z,2,1.1355160333333332,10.868849366666666,10.868849366666666,True,bovada,2025-12-16 21:15:46 ET
Devin Vassell,player_points,16.5,170,bovada,0.37037037037037035,-110,fanduel,0.5238095238095238,0.8941798941798942,11.834319526627212,True,41.42,58.58,111.83,111.83,11.83,100.0,"Bet $41.42 Over @ bovada, $58.58 Under @ fanduel",San Antonio Spurs @ New York Knicks,2025-12-17T01:43:42Z,2,10.868849366666666,0.26884936666666664,10.868849366666666,True,bovada,2025-12-16 21:15:46 ET
