player,market,line,best_over_odds,best_over_book,best_over_implied,best_over_last_update,best_under_odds,best_under_book,best_under_implied,best_under_last_update,total_prob,expected_profit_pct,is_arb,over_stake,under_stake,over_return,under_return,guaranteed_profit,total_wager,recommendation,game,game_time,num_bookmakers,over_staleness_minutes,under_staleness_minutes,max_staleness,is_stale,stale_bookmaker,fetch_time_et
Jaxson Hayes,player_assists,0.5,-125,betmgm,0.5555555555555556,06:50:37 PM ET,139,draftkings,0.41841004184100417,06:50:04 PM ET,0.9739655973965597,2.673031026252981,True,57.04,42.96,102.67,102.67,2.67,100.0,"Bet $57.04 Over @ betmgm, $42.96 Under @ draftkings",Los Angeles Lakers @ Los Angeles Clippers,2025-12-21T03:40:00Z,3,0.20136108333333333,0.7513610833333334,0.7513610833333334,False,,2025-12-20 18:50:49 ET
Jamal Murray,player_assists,8.5,122,fanduel,0.4504504504504504,06:50:40 PM ET,-110,draftkings,0.5238095238095238,06:49:50 PM ET,0.9742599742599742,2.6420079260237816,True,46.24,53.76,102.65,102.63,2.63,100.0,"Bet $46.24 Over @ fanduel, $53.76 Under @ draftkings",Houston Rockets @ Denver Nuggets,2025-12-20T22:11:00Z,3,0.1513610833333333,0.9846944166666667,0.9846944166666667,False,,2025-12-20 18:50:49 ET
Jordan Walsh,player_points,9.5,-111,fanduel,0.5260663507109005,06:50:30 PM ET,120,betrivers,0.45454545454545453,06:49:46 PM ET,0.980611805256355,1.9771528998242527,True,53.65,46.35,101.98,101.97,1.97,100.0,"Bet $53.65 Over @ fanduel, $46.35 Under @ betrivers",Boston Celtics @ Toronto Raptors,2025-12-21T00:11:00Z,6,0.31802775,1.0513610833333333,1.0513610833333333,False,,2025-12-20 18:50:49 ET
Toumani Camara,player_threes,2.5,110,betmgm,0.47619047619047616,06:50:42 PM ET,-102,fanduel,0.504950495049505,06:50:36 PM ET,0.9811409712399811,1.922152811148492,True,48.53,51.47,101.91,101.93,1.91,100.0,"Bet $48.53 Over @ betmgm, $51.47 Under @ fanduel",Portland Trail Blazers @ Sacramento Kings,2025-12-21T03:10:00Z,7,0.11802775,0.21802775,0.21802775,False,,2025-12-20 18:50:49 ET
Stephen Curry,player_threes,4.5,-103,betonlineag,0.5073891625615764,06:50:19 PM ET,110,bovada,0.47619047619047616,06:50:25 PM ET,0.9835796387520526,1.6694490818029983,True,51.59,48.41,101.68,101.66,1.66,100.0,"Bet $51.59 Over @ betonlineag, $48.41 Under @ bovada",Phoenix Suns @ Golden State Warriors,2025-12-21T01:40:00Z,6,0.5013610833333334,0.40136108333333337,0.5013610833333334,False,,2025-12-20 18:50:49 ET
Carlton Carrington,player_rebounds,4.5,130,betrivers,0.4347826086956522,06:49:57 PM ET,-122,fanduel,0.5495495495495496,06:50:07 PM ET,0.9843321582452018,1.5917230401909954,True,44.17,55.83,101.59,101.59,1.59,100.0,"Bet $44.17 Over @ betrivers, $55.83 Under @ fanduel",Washington Wizards @ Memphis Grizzlies,2025-12-21T01:10:00Z,6,0.86802775,0.7013610833333334,0.86802775,False,,2025-12-20 18:50:49 ET
Cam Spencer,player_points_rebounds_assists,24.5,120,bovada,0.4545454545454545,06:50:01 PM ET,-113,draftkings,0.5305164319248826,06:49:59 PM ET,0.9850618864703371,1.5164644714038111,True,46.14,53.86,101.51,101.52,1.51,100.0,"Bet $46.14 Over @ bovada, $53.86 Under @ draftkings",Washington Wizards @ Memphis Grizzlies,2025-12-21T01:10:00Z,5,0.8013610833333333,0.8346944166666667,0.8346944166666667,False,,2025-12-20 18:50:49 ET
Kawhi Leonard,player_rebounds,5.5,100,betmgm,0.5,06:50:37 PM ET,106,fanduel,0.4854368932038835,06:49:22 PM ET,0.9854368932038835,1.4778325123152802,True,50.74,49.26,101.48,101.48,1.48,100.0,"Bet $50.74 Over @ betmgm, $49.26 Under @ fanduel",Los Angeles Lakers @ Los Angeles Clippers,2025-12-21T03:40:00Z,7,0.20136108333333333,1.4513610833333332,1.4513610833333332,False,,2025-12-20 18:50:49 ET
Scottie Barnes,player_points,19.5,105,betrivers,0.4878048780487805,06:49:46 PM ET,100,bovada,0.5,06:50:37 PM ET,0.9878048780487805,1.2345679012345734,True,49.38,50.62,101.23,101.24,1.23,100.0,"Bet $49.38 Over @ betrivers, $50.62 Under @ bovada",Boston Celtics @ Toronto Raptors,2025-12-21T00:11:00Z,6,1.0513610833333333,0.20136108333333333,1.0513610833333333,False,,2025-12-20 18:50:49 ET
Derrick White,player_points,22.5,110,betonlineag,0.47619047619047616,06:50:14 PM ET,-105,draftkings,0.5121951219512195,06:50:25 PM ET,0.9883855981416957,1.1750881316098694,True,48.18,51.82,101.18,101.17,1.17,100.0,"Bet $48.18 Over @ betonlineag, $51.82 Under @ draftkings",Boston Celtics @ Toronto Raptors,2025-12-21T00:11:00Z,7,0.5846944166666667,0.40136108333333337,0.5846944166666667,False,,2025-12-20 18:50:49 ET
Derrick White,player_assists,6.5,150,bovada,0.4,06:50:37 PM ET,-143,betrivers,0.588477366255144,06:49:46 PM ET,0.988477366255144,1.1656952539550458,True,40.47,59.53,101.18,101.16,1.16,100.0,"Bet $40.47 Over @ bovada, $59.53 Under @ betrivers",Boston Celtics @ Toronto Raptors,2025-12-21T00:11:00Z,2,0.20136108333333333,1.0513610833333333,1.0513610833333333,False,,2025-12-20 18:50:49 ET
Zion Williamson,player_points_rebounds_assists,28.5,116,betrivers,0.462962962962963,06:50:06 PM ET,-111,draftkings,0.5260663507109005,06:50:30 PM ET,0.9890293136738635,1.10923773183067,True,46.81,53.19,101.11,101.11,1.11,100.0,"Bet $46.81 Over @ betrivers, $53.19 Under @ draftkings",Indiana Pacers @ New Orleans Pelicans,2025-12-21T00:10:00Z,5,0.71802775,0.31802775,0.71802775,False,,2025-12-20 18:50:49 ET
Saddiq Bey,player_rebounds,5.5,-115,fanduel,0.5348837209302324,06:50:11 PM ET,120,betrivers,0.45454545454545453,06:50:06 PM ET,0.989429175475687,1.0683760683760868,True,54.06,45.94,101.07,101.07,1.07,100.0,"Bet $54.06 Over @ fanduel, $45.94 Under @ betrivers",Indiana Pacers @ New Orleans Pelicans,2025-12-21T00:10:00Z,7,0.6346944166666667,0.71802775,0.71802775,False,,2025-12-20 18:50:49 ET
Saddiq Bey,player_threes,1.5,145,betmgm,0.40816326530612246,06:49:46 PM ET,-139,draftkings,0.5815899581589958,06:50:30 PM ET,0.9897532234651183,1.0352859977568851,True,41.24,58.76,101.04,101.03,1.03,100.0,"Bet $41.24 Over @ betmgm, $58.76 Under @ draftkings",Indiana Pacers @ New Orleans Pelicans,2025-12-21T00:10:00Z,7,1.0513610833333333,0.31802775,1.0513610833333333,False,,2025-12-20 18:50:49 ET
