player,market,line,best_over_odds,best_over_book,best_over_implied,best_under_odds,best_under_book,best_under_implied,total_prob,expected_profit_pct,is_arb,over_stake,under_stake,over_return,under_return,guaranteed_profit,total_wager,recommendation,game,game_time,num_bookmakers,over_staleness_minutes,under_staleness_minutes,max_staleness,is_stale,stale_bookmaker,fetch_time_et
Stephon Castle,player_assists,5.5,100,bovada,0.49999999999999994,115,betrivers,0.46511627906976744,0.9651162790697674,3.6144578313253017,True,51.81,48.19,103.62,103.61,3.61,100.0,"Bet $51.81 Over @ bovada, $48.19 Under @ betrivers",San Antonio Spurs @ New York Knicks,2025-12-17T01:43:42Z,3,0.20434211666666666,2.8543421166666665,2.8543421166666665,True,betrivers,2025-12-16 20:45:46 ET
De'Aaron Fox,player_points,19.5,-122,fanduel,0.5495495495495495,140,bovada,0.4166666666666667,0.9662162162162162,3.4965034965035002,True,56.88,43.12,103.5,103.49,3.49,100.0,"Bet $56.88 Over @ fanduel, $43.12 Under @ bovada",San Antonio Spurs @ New York Knicks,2025-12-17T01:43:42Z,2,0.7543421166666667,0.20434211666666666,0.7543421166666667,False,,2025-12-16 20:45:46 ET
Mikal Bridges,player_points,16.5,120,bovada,0.4545454545454546,-105,draftkings,0.5121951219512195,0.9667405764966741,3.440366972477049,True,47.02,52.98,103.44,103.44,3.44,100.0,"Bet $47.02 Over @ bovada, $52.98 Under @ draftkings",San Antonio Spurs @ New York Knicks,2025-12-17T01:43:42Z,4,0.20434211666666666,0.6876754500000001,0.6876754500000001,False,,2025-12-16 20:45:46 ET
OG Anunoby,player_points,16.5,100,bovada,0.5,114,betrivers,0.4672897196261682,0.9672897196261683,3.3816425120772875,True,51.69,48.31,103.38,103.38,3.38,100.0,"Bet $51.69 Over @ bovada, $48.31 Under @ betrivers",San Antonio Spurs @ New York Knicks,2025-12-17T01:43:42Z,2,0.20434211666666666,2.8543421166666665,2.8543421166666665,True,betrivers,2025-12-16 20:45:46 ET
OG Anunoby,player_threes,2.5,130,bovada,0.4347826086956522,-115,draftkings,0.5348837209302325,0.9696663296258847,3.1282586027111536,True,44.84,55.16,103.13,103.13,3.13,100.0,"Bet $44.84 Over @ bovada, $55.16 Under @ draftkings",San Antonio Spurs @ New York Knicks,2025-12-17T01:43:42Z,7,0.20434211666666666,0.6876754500000001,0.6876754500000001,False,,2025-12-16 20:45:46 ET
OG Anunoby,player_points_rebounds_assists,23.5,100,bovada,0.5,112,betrivers,0.4716981132075472,0.9716981132075472,2.9126213592232997,True,51.46,48.54,102.92,102.9,2.9,100.0,"Bet $51.46 Over @ bovada, $48.54 Under @ betrivers",San Antonio Spurs @ New York Knicks,2025-12-17T01:43:42Z,2,0.20434211666666666,2.8543421166666665,2.8543421166666665,True,betrivers,2025-12-16 20:45:46 ET
Victor Wembanyama,player_steals,0.5,-160,fanduel,0.6153846153846154,180,bovada,0.35714285714285715,0.9725274725274726,2.824858757062132,True,63.28,36.72,102.83,102.82,2.82,100.0,"Bet $63.28 Over @ fanduel, $36.72 Under @ bovada",San Antonio Spurs @ New York Knicks,2025-12-17T01:43:42Z,2,2.0210087833333334,0.20434211666666666,2.0210087833333334,True,fanduel,2025-12-16 20:45:46 ET
Victor Wembanyama,player_points,18.5,-152,betrivers,0.6031746031746031,170,bovada,0.37037037037037035,0.9735449735449735,2.717391304347827,True,61.96,38.04,102.72,102.71,2.71,100.0,"Bet $61.96 Over @ betrivers, $38.04 Under @ bovada",San Antonio Spurs @ New York Knicks,2025-12-17T01:43:42Z,2,2.8543421166666665,0.20434211666666666,2.8543421166666665,True,betrivers,2025-12-16 20:45:46 ET
OG Anunoby,player_points_rebounds_assists,24.5,120,bovada,0.4545454545454545,-108,fanduel,0.5192307692307693,0.9737762237762237,2.6929982046678624,True,46.68,53.32,102.7,102.69,2.69,100.0,"Bet $46.68 Over @ bovada, $53.32 Under @ fanduel",San Antonio Spurs @ New York Knicks,2025-12-17T01:43:42Z,4,0.20434211666666666,2.0210087833333334,2.0210087833333334,True,fanduel,2025-12-16 20:45:46 ET
Victor Wembanyama,player_threes,1.5,104,fanduel,0.4901960784313726,105,bovada,0.4878048780487805,0.9780009564801531,2.249388753056225,True,50.12,49.88,102.24,102.25,2.24,100.0,"Bet $50.12 Over @ fanduel, $49.88 Under @ bovada",San Antonio Spurs @ New York Knicks,2025-12-17T01:43:42Z,7,0.7543421166666667,0.20434211666666666,0.7543421166666667,False,,2025-12-16 20:45:46 ET
