player,market,line,best_over_odds,best_over_book,best_over_implied,best_over_last_update,best_under_odds,best_under_book,best_under_implied,best_under_last_update,total_prob,expected_profit_pct,is_arb,over_stake,under_stake,over_return,under_return,guaranteed_profit,total_wager,recommendation,game,game_time,num_bookmakers,over_staleness_minutes,under_staleness_minutes,max_staleness,is_stale,stale_bookmaker,fetch_time_et
Devin Booker,player_threes,2.5,155,bovada,0.39215686274509803,09:56:53 PM ET,180,draftkings,0.35714285714285715,09:59:42 PM ET,0.7492997198879552,33.45794392523365,True,52.34,47.66,133.47,133.45,33.45,100.0,"Bet $52.34 Over @ bovada, $47.66 Under @ draftkings",Phoenix Suns @ Golden State Warriors,2025-12-21T01:41:00Z,3,3.9321672833333334,1.1155006166666666,3.9321672833333334,True,bovada,2025-12-20 22:00:48 ET
Kyshawn George,player_threes,1.5,134,fanduel,0.42735042735042733,10:00:31 PM ET,205,bovada,0.32786885245901637,09:54:44 PM ET,0.7552192798094437,32.41187384044528,True,56.59,43.41,132.42,132.4,32.4,100.0,"Bet $56.59 Over @ fanduel, $43.41 Under @ bovada",Washington Wizards @ Memphis Grizzlies,2025-12-21T01:11:00Z,2,0.29883394999999996,6.082167283333334,6.082167283333334,True,bovada,2025-12-20 22:00:48 ET
Jusuf Nurkic,player_assists,4.5,190,bovada,0.3448275862068966,09:58:11 PM ET,118,fanduel,0.45871559633027525,09:59:28 PM ET,0.8035431825371718,24.448818897637793,True,42.91,57.09,124.44,124.46,24.44,100.0,"Bet $42.91 Over @ bovada, $57.09 Under @ fanduel",Orlando Magic @ Utah Jazz,2025-12-21T02:41:00Z,4,2.632167283333333,1.34883395,2.632167283333333,True,bovada,2025-12-20 22:00:48 ET
Jimmy Butler,player_rebounds,4.5,104,fanduel,0.4901960784313726,10:00:41 PM ET,215,bovada,0.31746031746031744,09:56:53 PM ET,0.80765639589169,23.815028901734102,True,60.69,39.31,123.81,123.83,23.81,100.0,"Bet $60.69 Over @ fanduel, $39.31 Under @ bovada",Phoenix Suns @ Golden State Warriors,2025-12-21T01:41:00Z,3,0.13216728333333333,3.9321672833333334,3.9321672833333334,True,bovada,2025-12-20 22:00:48 ET
Kyle Filipowski,player_rebounds,6.5,106,fanduel,0.48543689320388345,09:59:28 PM ET,210,bovada,0.3225806451612903,09:58:11 PM ET,0.8080175383651738,23.759689922480632,True,60.08,39.92,123.76,123.75,23.75,100.0,"Bet $60.08 Over @ fanduel, $39.92 Under @ bovada",Orlando Magic @ Utah Jazz,2025-12-21T02:41:00Z,4,1.34883395,2.632167283333333,2.632167283333333,True,bovada,2025-12-20 22:00:48 ET
Tyus Jones,player_threes,1.5,190,bovada,0.34482758620689663,09:58:11 PM ET,114,draftkings,0.4672897196261682,10:00:31 PM ET,0.8121173058330649,23.13492063492062,True,42.46,57.54,123.13,123.14,23.13,100.0,"Bet $42.46 Over @ bovada, $57.54 Under @ draftkings",Orlando Magic @ Utah Jazz,2025-12-21T02:41:00Z,2,2.632167283333333,0.29883394999999996,2.632167283333333,True,bovada,2025-12-20 22:00:48 ET
C.J. McCollum,player_points,22.5,205,bovada,0.3278688524590163,09:54:44 PM ET,100,draftkings,0.5,10:00:34 PM ET,0.8278688524590163,20.79207920792081,True,39.6,60.4,120.78,120.8,20.78,100.0,"Bet $39.60 Over @ bovada, $60.40 Under @ draftkings",Washington Wizards @ Memphis Grizzlies,2025-12-21T01:11:00Z,3,6.082167283333334,0.24883395,6.082167283333334,True,bovada,2025-12-20 22:00:48 ET
Dillon Brooks,player_threes,2.5,110,bovada,0.4761904761904761,09:56:53 PM ET,182,fanduel,0.3546099290780142,10:00:41 PM ET,0.8308004052684903,20.365853658536604,True,57.32,42.68,120.37,120.36,20.36,100.0,"Bet $57.32 Over @ bovada, $42.68 Under @ fanduel",Phoenix Suns @ Golden State Warriors,2025-12-21T01:41:00Z,3,3.9321672833333334,0.13216728333333333,3.9321672833333334,True,bovada,2025-12-20 22:00:48 ET
Tyus Jones,player_assists,4.5,165,bovada,0.3773584905660377,09:58:11 PM ET,120,draftkings,0.45454545454545453,10:00:31 PM ET,0.8319039451114922,20.206185567010326,True,45.36,54.64,120.2,120.21,20.2,100.0,"Bet $45.36 Over @ bovada, $54.64 Under @ draftkings",Orlando Magic @ Utah Jazz,2025-12-21T02:41:00Z,4,2.632167283333333,0.29883394999999996,2.632167283333333,True,bovada,2025-12-20 22:00:48 ET
Devin Booker,player_assists,7.5,215,bovada,0.31746031746031744,09:56:53 PM ET,-108,williamhill_us,0.5192307692307693,10:00:42 PM ET,0.8366910866910867,19.518423932871222,True,37.94,62.06,119.51,119.52,19.51,100.0,"Bet $37.94 Over @ bovada, $62.06 Under @ williamhill_us",Phoenix Suns @ Golden State Warriors,2025-12-21T01:41:00Z,4,3.9321672833333334,0.11550061666666665,3.9321672833333334,True,bovada,2025-12-20 22:00:48 ET
