player,market,line,best_over_odds,best_over_book,best_over_implied,best_under_odds,best_under_book,best_under_implied,total_prob,expected_profit_pct,is_arb,over_stake,under_stake,over_return,under_return,guaranteed_profit,total_wager,recommendation,game,game_time,num_bookmakers
James Harden,player_points,23.5,100,betmgm,0.5,104,betrivers,0.49019607843137253,0.9901960784313726,0.990099009900991,True,50.5,49.5,101.0,100.98,0.98,100.0,"Bet $50.50 Over @ betmgm, $49.50 Under @ betrivers",Los Angeles Clippers @ Houston Rockets,2025-12-12T01:10:00Z,7
John Collins,player_rebounds,4.5,-106,betrivers,0.5145631067961165,107,williamhill_us,0.4830917874396135,0.99765489423573,0.23506182125900832,True,51.58,48.42,100.24,100.23,0.23,100.0,"Bet $51.58 Over @ betrivers, $48.42 Under @ williamhill_us",Los Angeles Clippers @ Houston Rockets,2025-12-12T01:10:00Z,7
Trey Murphy III,player_threes,2.5,110,betmgm,0.47619047619047616,-109,betrivers,0.5215311004784688,0.997721576668945,0.22836263987211503,True,47.73,52.27,100.23,100.22,0.22,100.0,"Bet $47.73 Over @ betmgm, $52.27 Under @ betrivers",Portland Trail Blazers @ New Orleans Pelicans,2025-12-12T01:10:00Z,7
