player,market,line,best_over_odds,best_over_book,best_over_implied,best_over_last_update,best_under_odds,best_under_book,best_under_implied,best_under_last_update,total_prob,expected_profit_pct,is_arb,over_stake,under_stake,over_return,under_return,guaranteed_profit,total_wager,recommendation,game,game_time,game_is_live,num_bookmakers,over_staleness_minutes,under_staleness_minutes,max_staleness,is_stale,stale_bookmaker,fetch_time_et
Kris Dunn,player_threes,1.5,145,bovada,0.4081632653061225,10:51:38 PM ET,182,fanduel,0.3546099290780142,10:55:18 PM ET,0.7627731943841367,31.10056925996203,True,53.51,46.49,131.1,131.1,31.1,100.0,"Bet $53.51 Over @ bovada, $46.49 Under @ fanduel",Houston Rockets @ Los Angeles Clippers,2025-12-24T03:42:00Z,True,3,4.1961329166666665,0.52946625,4.1961329166666665,True,bovada,2025-12-23 22:55:49 ET
Toumani Camara,player_threes,1.5,148,fanduel,0.4032258064516129,10:55:32 PM ET,175,bovada,0.36363636363636365,10:54:11 PM ET,0.7668621700879765,30.401529636711278,True,52.58,47.42,130.4,130.4,30.4,100.0,"Bet $52.58 Over @ fanduel, $47.42 Under @ bovada",Orlando Magic @ Portland Trail Blazers,2025-12-24T03:12:00Z,True,4,0.2961329166666667,1.6461329166666667,1.6461329166666667,False,,2025-12-23 22:55:49 ET
DeMar DeRozan,player_assists,4.5,200,bovada,0.3333333333333333,10:54:48 PM ET,124,fanduel,0.44642857142857145,10:54:48 PM ET,0.7797619047619048,28.244274809160295,True,42.75,57.25,128.25,128.24,28.24,100.0,"Bet $42.75 Over @ bovada, $57.25 Under @ fanduel",Detroit Pistons @ Sacramento Kings,2025-12-24T03:12:00Z,True,2,1.02946625,1.02946625,1.02946625,False,,2025-12-23 22:55:49 ET
Deni Avdija,player_threes,1.5,148,fanduel,0.4032258064516129,10:55:32 PM ET,145,bovada,0.40816326530612246,10:54:11 PM ET,0.8113890717577353,23.24543610547667,True,49.7,50.3,123.26,123.24,23.24,100.0,"Bet $49.70 Over @ fanduel, $50.30 Under @ bovada",Orlando Magic @ Portland Trail Blazers,2025-12-24T03:12:00Z,True,4,0.2961329166666667,1.6461329166666667,1.6461329166666667,False,,2025-12-23 22:55:49 ET
Isaiah Stewart II,player_rebounds,4.5,105,draftkings,0.4878048780487805,10:54:54 PM ET,190,bovada,0.3448275862068966,10:54:48 PM ET,0.832632464255677,20.101010101010107,True,58.59,41.41,120.11,120.09,20.09,100.0,"Bet $58.59 Over @ draftkings, $41.41 Under @ bovada",Detroit Pistons @ Sacramento Kings,2025-12-24T03:12:00Z,True,4,0.92946625,1.02946625,1.02946625,False,,2025-12-23 22:55:49 ET
Desmond Bane,player_threes,1.5,140,fanduel,0.4166666666666667,10:55:32 PM ET,140,bovada,0.4166666666666667,10:54:11 PM ET,0.8333333333333334,19.999999999999996,True,50.0,50.0,120.0,120.0,20.0,100.0,"Bet $50.00 Over @ fanduel, $50.00 Under @ bovada",Orlando Magic @ Portland Trail Blazers,2025-12-24T03:12:00Z,True,4,0.2961329166666667,1.6461329166666667,1.6461329166666667,False,,2025-12-23 22:55:49 ET
Keegan Murray,player_points,13.5,-102,fanduel,0.504950495049505,10:54:48 PM ET,200,bovada,0.3333333333333333,10:54:48 PM ET,0.8382838283828382,19.291338582677177,True,60.24,39.76,119.3,119.28,19.28,100.0,"Bet $60.24 Over @ fanduel, $39.76 Under @ bovada",Detroit Pistons @ Sacramento Kings,2025-12-24T03:12:00Z,True,2,1.02946625,1.02946625,1.02946625,False,,2025-12-23 22:55:49 ET
Keegan Murray,player_threes,1.5,140,draftkings,0.4166666666666667,10:54:54 PM ET,135,bovada,0.425531914893617,10:54:48 PM ET,0.8421985815602837,18.736842105263165,True,49.47,50.53,118.73,118.75,18.73,100.0,"Bet $49.47 Over @ draftkings, $50.53 Under @ bovada",Detroit Pistons @ Sacramento Kings,2025-12-24T03:12:00Z,True,4,0.92946625,1.02946625,1.02946625,False,,2025-12-23 22:55:49 ET
Shaedon Sharpe,player_assists,2.5,140,fanduel,0.4166666666666667,10:55:32 PM ET,130,bovada,0.43478260869565216,10:54:11 PM ET,0.8514492753623188,17.44680851063829,True,48.94,51.06,117.46,117.44,17.44,100.0,"Bet $48.94 Over @ fanduel, $51.06 Under @ bovada",Orlando Magic @ Portland Trail Blazers,2025-12-24T03:12:00Z,True,2,0.2961329166666667,1.6461329166666667,1.6461329166666667,False,,2025-12-23 22:55:49 ET
Kawhi Leonard,player_threes,2.5,123,betrivers,0.4484304932735427,10:41:51 PM ET,148,fanduel,0.4032258064516129,10:55:18 PM ET,0.8516562997251556,17.418259023354565,True,52.65,47.35,117.41,117.43,17.41,100.0,"Bet $52.65 Over @ betrivers, $47.35 Under @ fanduel",Houston Rockets @ Los Angeles Clippers,2025-12-24T03:42:00Z,True,4,13.97946625,0.52946625,13.97946625,True,betrivers,2025-12-23 22:55:49 ET
Anthony Black,player_points,20.5,205,bovada,0.3278688524590163,10:54:11 PM ET,-114,fanduel,0.5327102803738317,10:55:32 PM ET,0.860579132832848,16.20081894249601,True,38.1,61.9,116.2,116.2,16.2,100.0,"Bet $38.10 Over @ bovada, $61.90 Under @ fanduel",Orlando Magic @ Portland Trail Blazers,2025-12-24T03:12:00Z,True,2,1.6461329166666667,0.2961329166666667,1.6461329166666667,False,,2025-12-23 22:55:49 ET
Jabari Smith Jr,player_points,15.5,135,bovada,0.42553191489361697,10:51:38 PM ET,125,fanatics,0.4444444444444444,10:53:06 PM ET,0.8699763593380614,14.94565217391306,True,48.91,51.09,114.94,114.95,14.94,100.0,"Bet $48.91 Over @ bovada, $51.09 Under @ fanatics",Houston Rockets @ Los Angeles Clippers,2025-12-24T03:42:00Z,True,2,4.1961329166666665,2.72946625,4.1961329166666665,True,"bovada, fanatics",2025-12-23 22:55:49 ET
