player,market,line,best_over_odds,best_over_book,best_over_implied,best_under_odds,best_under_book,best_under_implied,total_prob,expected_profit_pct,is_arb,over_stake,under_stake,over_return,under_return,guaranteed_profit,total_wager,recommendation,game,game_time,num_bookmakers
Aaron Holiday,player_points_rebounds_assists,13.5,-118,betonlineag,0.5412844036697249,130,bovada,0.43478260869565216,0.976067012365377,2.4519820187985264,True,55.46,44.54,102.46,102.44,2.44,100.0,"Bet $55.46 Over @ betonlineag, $44.54 Under @ bovada",Houston Rockets @ Dallas Mavericks,2025-12-07T01:40:00Z,2
Moses Moody,player_points,12.5,-120,draftkings,0.5454545454545454,130,bovada,0.43478260869565216,0.9802371541501975,2.016129032258074,True,55.65,44.35,102.02,102.0,2.0,100.0,"Bet $55.65 Over @ draftkings, $44.35 Under @ bovada",Golden State Warriors @ Cleveland Cavaliers,2025-12-07T00:40:00Z,3
Cam Whitmore,player_points,11.5,114,betrivers,0.4672897196261683,-106,draftkings,0.5145631067961165,0.9818528264222848,1.8482580168191376,True,47.59,52.41,101.84,101.85,1.84,100.0,"Bet $47.59 Over @ betrivers, $52.41 Under @ draftkings",Atlanta Hawks @ Washington Wizards,2025-12-07T00:10:00Z,7
Kris Dunn,player_points,6.5,-110,betmgm,0.5238095238095238,118,betrivers,0.45871559633027525,0.9825251201397991,1.7785682525566893,True,53.31,46.69,101.77,101.78,1.77,100.0,"Bet $53.31 Over @ betmgm, $46.69 Under @ betrivers",Los Angeles Clippers @ Minnesota Timberwolves,2025-12-07T01:10:00Z,2
Darius Garland,player_points_rebounds_assists,25.5,-103,betrivers,0.5073891625615764,110,bovada,0.47619047619047616,0.9835796387520526,1.6694490818029983,True,51.59,48.41,101.68,101.66,1.66,100.0,"Bet $51.59 Over @ betrivers, $48.41 Under @ bovada",Golden State Warriors @ Cleveland Cavaliers,2025-12-07T00:40:00Z,3
Amen Thompson,player_assists,6.5,100,fanatics,0.5,105,bovada,0.4878048780487805,0.9878048780487805,1.2345679012345734,True,50.62,49.38,101.24,101.23,1.23,100.0,"Bet $50.62 Over @ fanatics, $49.38 Under @ bovada",Houston Rockets @ Dallas Mavericks,2025-12-07T01:40:00Z,8
Aaron Holiday,player_threes,1.5,-125,fanatics,0.5555555555555556,130,bovada,0.43478260869565216,0.9903381642512077,0.9756097560975618,True,56.1,43.9,100.98,100.97,0.97,100.0,"Bet $56.10 Over @ fanatics, $43.90 Under @ bovada",Houston Rockets @ Dallas Mavericks,2025-12-07T01:40:00Z,6
Amen Thompson,player_rebounds,8.5,145,bovada,0.40816326530612246,-140,draftkings,0.5833333333333334,0.9914965986394558,0.8576329331046351,True,41.17,58.83,100.87,100.85,0.85,100.0,"Bet $41.17 Over @ bovada, $58.83 Under @ draftkings",Houston Rockets @ Dallas Mavericks,2025-12-07T01:40:00Z,2
Jabari Smith Jr,player_rebounds,7.5,145,bovada,0.40816326530612246,-141,betrivers,0.5850622406639004,0.9932255059700229,0.6820700827010029,True,41.09,58.91,100.67,100.69,0.67,100.0,"Bet $41.09 Over @ bovada, $58.91 Under @ betrivers",Houston Rockets @ Dallas Mavericks,2025-12-07T01:40:00Z,2
Moses Moody,player_points_rebounds_assists,18.5,-122,draftkings,0.5495495495495496,125,bovada,0.4444444444444444,0.993993993993994,0.6042296072507503,True,55.29,44.71,100.61,100.6,0.6,100.0,"Bet $55.29 Over @ draftkings, $44.71 Under @ bovada",Golden State Warriors @ Cleveland Cavaliers,2025-12-07T00:40:00Z,2
Darius Garland,player_points,16.5,107,betrivers,0.48309178743961345,-105,bovada,0.5121951219512195,0.995286909390833,0.4735409020954151,True,48.54,51.46,100.48,100.47,0.47,100.0,"Bet $48.54 Over @ betrivers, $51.46 Under @ bovada",Golden State Warriors @ Cleveland Cavaliers,2025-12-07T00:40:00Z,8
Jonathan Kuminga,player_points_rebounds_assists,24.5,-113,fanduel,0.5305164319248827,115,bovada,0.46511627906976744,0.9956327109946501,0.43864458822238106,True,53.28,46.72,100.43,100.45,0.43,100.0,"Bet $53.28 Over @ fanduel, $46.72 Under @ bovada",Golden State Warriors @ Cleveland Cavaliers,2025-12-07T00:40:00Z,3
Jalen Johnson,player_threes,1.5,-119,draftkings,0.54337899543379,120,betrivers,0.45454545454545453,0.9979244499792446,0.2079866888519133,True,54.45,45.55,100.21,100.21,0.21,100.0,"Bet $54.45 Over @ draftkings, $45.55 Under @ betrivers",Atlanta Hawks @ Washington Wizards,2025-12-07T00:10:00Z,8
Jonathan Kuminga,player_rebounds,5.5,121,draftkings,0.4524886877828054,-120,betmgm,0.5454545454545454,0.9979432332373508,0.20610057708163598,True,45.34,54.66,100.2,100.21,0.2,100.0,"Bet $45.34 Over @ draftkings, $54.66 Under @ betmgm",Golden State Warriors @ Cleveland Cavaliers,2025-12-07T00:40:00Z,6
Carlton Carrington,player_assists,4.5,126,fanduel,0.4424778761061947,-125,betmgm,0.5555555555555556,0.9980334316617503,0.19704433497536034,True,44.33,55.67,100.19,100.21,0.19,100.0,"Bet $44.33 Over @ fanduel, $55.67 Under @ betmgm",Atlanta Hawks @ Washington Wizards,2025-12-07T00:10:00Z,5
