player,market,line,best_over_odds,best_over_book,best_over_implied,best_under_odds,best_under_book,best_under_implied,total_prob,expected_profit_pct,is_arb,over_stake,under_stake,over_return,under_return,guaranteed_profit,total_wager,recommendation,game,game_time,num_bookmakers,over_staleness_minutes,under_staleness_minutes,max_staleness,is_stale,stale_bookmaker,fetch_time_et
Naji Marshall,player_threes,0.5,325,draftkings,0.23529411764705882,205,bovada,0.32786885245901637,0.5631629701060752,77.56849315068494,True,41.78,58.22,177.56,177.57,77.56,100.0,"Bet $41.78 Over @ draftkings, $58.22 Under @ bovada",Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,2,0.28098138333333333,4.764314716666666,4.764314716666666,True,bovada,2025-12-15 23:08:30 ET
Ace Bailey,player_points,9.5,114,fanduel,0.4672897196261682,205,bovada,0.32786885245901637,0.7951585720851846,25.761078998073227,True,58.77,41.23,125.77,125.75,25.75,100.0,"Bet $58.77 Over @ fanduel, $41.23 Under @ bovada",Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,2,0.09764805,4.764314716666666,4.764314716666666,True,bovada,2025-12-15 23:08:30 ET
James Harden,player_threes,2.5,106,fanduel,0.4854368932038835,215,bovada,0.31746031746031744,0.8028972106642009,24.548944337811896,True,60.46,39.54,124.55,124.55,24.55,100.0,"Bet $60.46 Over @ fanduel, $39.54 Under @ bovada",Memphis Grizzlies @ Los Angeles Clippers,2025-12-16T03:41:00Z,4,0.26431471666666667,0.21431471666666668,0.26431471666666667,False,,2025-12-15 23:08:30 ET
Jamal Murray,player_assists,5.5,130,fanduel,0.4347826086956522,170,bovada,0.37037037037037035,0.8051529790660226,24.2,True,54.0,46.0,124.2,124.2,24.2,100.0,"Bet $54.00 Over @ fanduel, $46.00 Under @ bovada",Houston Rockets @ Denver Nuggets,2025-12-16T02:43:00Z,4,0.94764805,0.11431471666666666,0.94764805,False,,2025-12-15 23:08:30 ET
Lauri Markkanen,player_points,30.5,185,bovada,0.3508771929824561,100,williamhill_us,0.5,0.8508771929824561,17.525773195876294,True,41.24,58.76,117.53,117.52,17.52,100.0,"Bet $41.24 Over @ bovada, $58.76 Under @ williamhill_us",Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,3,4.764314716666666,0.3309813833333333,4.764314716666666,True,bovada,2025-12-15 23:08:30 ET
Aaron Holiday,player_points,5.5,-110,draftkings,0.523809523809524,205,bovada,0.32786885245901637,0.8516783762685403,17.415215398716754,True,61.5,38.5,117.41,117.42,17.41,100.0,"Bet $61.50 Over @ draftkings, $38.50 Under @ bovada",Houston Rockets @ Denver Nuggets,2025-12-16T02:43:00Z,3,0.7309813833333333,0.11431471666666666,0.7309813833333333,False,,2025-12-15 23:08:30 ET
Naji Marshall,player_rebounds,4.5,172,fanduel,0.36764705882352944,105,bovada,0.4878048780487805,0.8554519368723099,16.897274633123693,True,42.98,57.02,116.91,116.89,16.89,100.0,"Bet $42.98 Over @ fanduel, $57.02 Under @ bovada",Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,2,0.09764805,4.764314716666666,4.764314716666666,True,bovada,2025-12-15 23:08:30 ET
Ace Bailey,player_threes,1.5,205,fanduel,0.3278688524590164,-115,bovada,0.5348837209302325,0.8627525733892489,15.908086610693761,True,38.0,62.0,115.9,115.91,15.9,100.0,"Bet $38.00 Over @ fanduel, $62.00 Under @ bovada",Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,3,0.09764805,4.764314716666666,4.764314716666666,True,bovada,2025-12-15 23:08:30 ET
Cam Spencer,player_threes,2.5,155,bovada,0.39215686274509803,108,fanduel,0.4807692307692308,0.8729260935143288,14.557235421166315,True,44.92,55.08,114.55,114.57,14.55,100.0,"Bet $44.92 Over @ bovada, $55.08 Under @ fanduel",Memphis Grizzlies @ Los Angeles Clippers,2025-12-16T03:41:00Z,4,0.21431471666666668,0.26431471666666667,0.26431471666666667,False,,2025-12-15 23:08:30 ET
Daniel Gafford,player_rebounds,3.5,112,williamhill_us,0.4716981132075472,145,draftkings,0.40816326530612246,0.8798613785136696,13.654266958424511,True,53.61,46.39,113.65,113.66,13.65,100.0,"Bet $53.61 Over @ williamhill_us, $46.39 Under @ draftkings",Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,2,0.3309813833333333,0.28098138333333333,0.3309813833333333,False,,2025-12-15 23:08:30 ET
