player,market,line,best_over_odds,best_over_book,best_over_implied,best_over_last_update,best_under_odds,best_under_book,best_under_implied,best_under_last_update,total_prob,expected_profit_pct,is_arb,over_stake,under_stake,over_return,under_return,guaranteed_profit,total_wager,recommendation,game,game_time,num_bookmakers,over_staleness_minutes,under_staleness_minutes,max_staleness,is_stale,stale_bookmaker,fetch_time_et
Kris Dunn,player_threes,1.5,180,bovada,0.3571428571428572,11:34:46 PM ET,172,fanduel,0.36764705882352944,11:21:11 PM ET,0.7247899159663866,37.971014492753596,True,49.28,50.72,137.98,137.96,37.96,100.0,"Bet $49.28 Over @ bovada, $50.72 Under @ fanduel",Los Angeles Lakers @ Los Angeles Clippers,2025-12-21T03:40:00Z,3,1.0367445833333333,14.620077916666666,14.620077916666666,True,fanduel,2025-12-20 23:35:48 ET
LeBron James,player_rebounds,4.5,120,fanduel,0.4545454545454546,11:21:11 PM ET,215,bovada,0.31746031746031744,11:34:46 PM ET,0.772005772005772,29.53271028037383,True,58.88,41.12,129.54,129.53,29.53,100.0,"Bet $58.88 Over @ fanduel, $41.12 Under @ bovada",Los Angeles Lakers @ Los Angeles Clippers,2025-12-21T03:40:00Z,3,14.620077916666666,1.0367445833333333,14.620077916666666,True,fanduel,2025-12-20 23:35:48 ET
DeMar DeRozan,player_assists,2.5,130,draftkings,0.4347826086956521,11:34:30 PM ET,190,bovada,0.3448275862068966,11:35:02 PM ET,0.7796101949025487,28.26923076923078,True,55.77,44.23,128.27,128.27,28.27,100.0,"Bet $55.77 Over @ draftkings, $44.23 Under @ bovada",Portland Trail Blazers @ Sacramento Kings,2025-12-21T03:12:00Z,4,1.30341125,0.7700779166666667,1.30341125,False,,2025-12-20 23:35:48 ET
Deni Avdija,player_assists,9.5,190,bovada,0.3448275862068966,11:35:02 PM ET,118,fanduel,0.45871559633027525,11:23:18 PM ET,0.8035431825371718,24.448818897637793,True,42.91,57.09,124.44,124.46,24.44,100.0,"Bet $42.91 Over @ bovada, $57.09 Under @ fanduel",Portland Trail Blazers @ Sacramento Kings,2025-12-21T03:12:00Z,2,0.7700779166666667,12.50341125,12.50341125,True,fanduel,2025-12-20 23:35:48 ET
Kawhi Leonard,player_assists,2.5,138,fanduel,0.42016806722689076,11:21:11 PM ET,160,bovada,0.38461538461538464,11:34:46 PM ET,0.8047834518422754,24.257028112449785,True,52.21,47.79,124.26,124.25,24.25,100.0,"Bet $52.21 Over @ fanduel, $47.79 Under @ bovada",Los Angeles Lakers @ Los Angeles Clippers,2025-12-21T03:40:00Z,2,14.620077916666666,1.0367445833333333,14.620077916666666,True,fanduel,2025-12-20 23:35:48 ET
Paolo Banchero,player_rebounds,9.5,180,bovada,0.35714285714285715,11:32:14 PM ET,116,fanduel,0.46296296296296297,11:25:14 PM ET,0.8201058201058201,21.93548387096773,True,43.55,56.45,121.94,121.93,21.93,100.0,"Bet $43.55 Over @ bovada, $56.45 Under @ fanduel",Orlando Magic @ Utah Jazz,2025-12-21T02:41:00Z,2,3.570077916666667,10.570077916666666,10.570077916666666,True,"bovada, fanduel",2025-12-20 23:35:48 ET
Toumani Camara,player_points,17.5,200,bovada,0.33333333333333326,11:35:02 PM ET,105,draftkings,0.4878048780487805,11:34:30 PM ET,0.8211382113821137,21.7821782178218,True,40.59,59.41,121.77,121.79,21.77,100.0,"Bet $40.59 Over @ bovada, $59.41 Under @ draftkings",Portland Trail Blazers @ Sacramento Kings,2025-12-21T03:12:00Z,2,0.7700779166666667,1.30341125,1.30341125,False,,2025-12-20 23:35:48 ET
Desmond Bane,player_rebounds,3.5,158,fanduel,0.38759689922480617,11:25:14 PM ET,130,fanatics,0.43478260869565216,11:35:35 PM ET,0.8223795079204583,21.598360655737704,True,47.13,52.87,121.6,121.6,21.6,100.0,"Bet $47.13 Over @ fanduel, $52.87 Under @ fanatics",Orlando Magic @ Utah Jazz,2025-12-21T02:41:00Z,3,10.570077916666666,0.22007791666666668,10.570077916666666,True,fanduel,2025-12-20 23:35:48 ET
Paolo Banchero,player_threes,1.5,250,fanduel,0.2857142857142857,11:25:14 PM ET,-125,bovada,0.5555555555555556,11:32:14 PM ET,0.8412698412698413,18.867924528301884,True,33.96,66.04,118.86,118.87,18.86,100.0,"Bet $33.96 Over @ fanduel, $66.04 Under @ bovada",Orlando Magic @ Utah Jazz,2025-12-21T02:41:00Z,2,10.570077916666666,3.570077916666667,10.570077916666666,True,"fanduel, bovada",2025-12-20 23:35:48 ET
Anthony Black,player_threes,1.5,230,fanduel,0.303030303030303,11:25:14 PM ET,-120,bovada,0.5454545454545454,11:32:14 PM ET,0.8484848484848484,17.85714285714286,True,35.71,64.29,117.84,117.87,17.84,100.0,"Bet $35.71 Over @ fanduel, $64.29 Under @ bovada",Orlando Magic @ Utah Jazz,2025-12-21T02:41:00Z,2,10.570077916666666,3.570077916666667,10.570077916666666,True,"fanduel, bovada",2025-12-20 23:35:48 ET
