player,market,line,best_over_odds,best_over_book,best_over_implied,best_over_last_update,best_under_odds,best_under_book,best_under_implied,best_under_last_update,total_prob,expected_profit_pct,is_arb,over_stake,under_stake,over_return,under_return,guaranteed_profit,total_wager,recommendation,game,game_time,game_is_live,num_bookmakers,over_staleness_minutes,under_staleness_minutes,max_staleness,is_stale,stale_bookmaker,fetch_time_et
Josh Giddey,player_threes,2.5,175,bovada,0.3636363636363637,08:25:07 PM ET,154,draftkings,0.3937007874015748,08:25:26 PM ET,0.7573371510379385,32.041587901701305,True,48.02,51.98,132.06,132.03,32.03,100.0,"Bet $48.02 Over @ bovada, $51.98 Under @ draftkings",Chicago Bulls @ Atlanta Hawks,2025-12-24T00:41:00Z,True,3,0.7011009333333333,0.38443426666666664,0.7011009333333333,False,,2025-12-23 20:25:49 ET
Tre Jones,player_rebounds,1.5,147,williamhill_us,0.40485829959514164,08:22:58 PM ET,175,draftkings,0.36363636363636365,08:25:26 PM ET,0.7684946632315053,30.124521072796952,True,52.68,47.32,130.12,130.13,30.12,100.0,"Bet $52.68 Over @ williamhill_us, $47.32 Under @ draftkings",Chicago Bulls @ Atlanta Hawks,2025-12-24T00:41:00Z,True,2,2.8511009333333335,0.38443426666666664,2.8511009333333335,True,williamhill_us,2025-12-23 20:25:49 ET
Bennedict Mathurin,player_assists,1.5,154,draftkings,0.3937007874015749,08:25:11 PM ET,165,bovada,0.37735849056603776,08:24:27 PM ET,0.7710592779676126,29.691714836223483,True,51.06,48.94,129.69,129.69,29.69,100.0,"Bet $51.06 Over @ draftkings, $48.94 Under @ bovada",Milwaukee Bucks @ Indiana Pacers,2025-12-24T00:41:00Z,True,3,0.6344342666666667,1.3677676,1.3677676,False,,2025-12-23 20:25:49 ET
Justin Edwards,player_points,5.5,124,draftkings,0.4464285714285714,08:25:37 PM ET,190,bovada,0.3448275862068966,08:23:02 PM ET,0.791256157635468,26.38132295719844,True,56.42,43.58,126.38,126.38,26.38,100.0,"Bet $56.42 Over @ draftkings, $43.58 Under @ bovada",Brooklyn Nets @ Philadelphia 76ers,2025-12-24T00:12:00Z,True,2,0.20110093333333331,2.7844342666666666,2.7844342666666666,True,bovada,2025-12-23 20:25:49 ET
De'Andre Hunter,player_threes,1.5,172,fanduel,0.3676470588235294,08:25:09 PM ET,135,bovada,0.425531914893617,08:24:56 PM ET,0.7931789737171464,26.07495069033532,True,46.35,53.65,126.07,126.08,26.07,100.0,"Bet $46.35 Over @ fanduel, $53.65 Under @ bovada",New Orleans Pelicans @ Cleveland Cavaliers,2025-12-24T00:42:00Z,True,4,0.6677676,0.8844342666666667,0.8844342666666667,False,,2025-12-23 20:25:49 ET
Kyshawn George,player_threes,1.5,165,draftkings,0.3773584905660377,08:24:47 PM ET,140,bovada,0.4166666666666667,08:25:24 PM ET,0.7940251572327044,25.940594059405942,True,47.52,52.48,125.93,125.95,25.93,100.0,"Bet $47.52 Over @ draftkings, $52.48 Under @ bovada",Washington Wizards @ Charlotte Hornets,2025-12-24T00:11:00Z,True,3,1.0344342666666668,0.4177676,1.0344342666666668,False,,2025-12-23 20:25:49 ET
A.J. Green,player_points,6.5,124,fanduel,0.4464285714285714,08:24:17 PM ET,185,bovada,0.3508771929824561,08:24:27 PM ET,0.7973057644110275,25.422396856581543,True,55.99,44.01,125.42,125.43,25.42,100.0,"Bet $55.99 Over @ fanduel, $44.01 Under @ bovada",Milwaukee Bucks @ Indiana Pacers,2025-12-24T00:41:00Z,True,2,1.5344342666666668,1.3677676,1.5344342666666668,False,,2025-12-23 20:25:49 ET
Karl-Anthony Towns,player_assists,2.5,138,fanduel,0.42016806722689076,08:25:03 PM ET,160,bovada,0.38461538461538464,08:25:48 PM ET,0.8047834518422754,24.257028112449785,True,52.21,47.79,124.26,124.25,24.25,100.0,"Bet $52.21 Over @ fanduel, $47.79 Under @ bovada",New York Knicks @ Minnesota Timberwolves,2025-12-24T01:11:00Z,True,4,0.7677676000000001,0.017767599999999998,0.7677676000000001,False,,2025-12-23 20:25:49 ET
Jay Huff,player_threes,1.5,170,draftkings,0.3703703703703704,08:25:11 PM ET,130,bovada,0.43478260869565216,08:24:27 PM ET,0.8051529790660226,24.2,True,46.0,54.0,124.2,124.2,24.2,100.0,"Bet $46.00 Over @ draftkings, $54.00 Under @ bovada",Milwaukee Bucks @ Indiana Pacers,2025-12-24T00:41:00Z,True,3,0.6344342666666667,1.3677676,1.3677676,False,,2025-12-23 20:25:49 ET
Noah Clowney,player_threes,2.5,150,bovada,0.4,08:23:02 PM ET,146,fanduel,0.4065040650406504,08:24:47 PM ET,0.8065040650406504,23.991935483870975,True,49.6,50.4,124.0,123.98,23.98,100.0,"Bet $49.60 Over @ bovada, $50.40 Under @ fanduel",Brooklyn Nets @ Philadelphia 76ers,2025-12-24T00:12:00Z,True,4,2.7844342666666666,1.0344342666666668,2.7844342666666666,True,bovada,2025-12-23 20:25:49 ET
Kyle Kuzma,player_rebounds,7.5,210,bovada,0.32258064516129026,08:24:27 PM ET,105,draftkings,0.4878048780487805,08:25:11 PM ET,0.8103855232100707,23.3980582524272,True,39.81,60.19,123.41,123.39,23.39,100.0,"Bet $39.81 Over @ bovada, $60.19 Under @ draftkings",Milwaukee Bucks @ Indiana Pacers,2025-12-24T00:41:00Z,True,4,1.3677676,0.6344342666666667,1.3677676,False,,2025-12-23 20:25:49 ET
Pascal Siakam,player_assists,2.5,127,williamhill_us,0.4405286343612335,08:22:58 PM ET,160,bovada,0.38461538461538464,08:24:27 PM ET,0.8251440189766182,21.190965092402458,True,53.39,46.61,121.2,121.19,21.19,100.0,"Bet $53.39 Over @ williamhill_us, $46.61 Under @ bovada",Milwaukee Bucks @ Indiana Pacers,2025-12-24T00:41:00Z,True,5,2.8511009333333335,1.3677676,2.8511009333333335,True,williamhill_us,2025-12-23 20:25:49 ET
Nicolas Claxton,player_points,16.5,210,bovada,0.32258064516129026,08:23:02 PM ET,-102,fanduel,0.504950495049505,08:24:47 PM ET,0.8275311402107952,20.841373986877663,True,38.98,61.02,120.84,120.84,20.84,100.0,"Bet $38.98 Over @ bovada, $61.02 Under @ fanduel",Brooklyn Nets @ Philadelphia 76ers,2025-12-24T00:12:00Z,True,2,2.7844342666666666,1.0344342666666668,2.7844342666666666,True,bovada,2025-12-23 20:25:49 ET
Bobby Portis,player_threes,1.5,154,fanduel,0.3937007874015748,08:25:37 PM ET,130,bovada,0.43478260869565216,08:24:27 PM ET,0.828483396097227,20.70247933884297,True,47.52,52.48,120.7,120.7,20.7,100.0,"Bet $47.52 Over @ fanduel, $52.48 Under @ bovada",Milwaukee Bucks @ Indiana Pacers,2025-12-24T00:41:00Z,True,4,0.20110093333333331,1.3677676,1.3677676,False,,2025-12-23 20:25:49 ET
Andrew Nembhard,player_assists,5.5,109,williamhill_us,0.47846889952153115,08:22:58 PM ET,185,bovada,0.3508771929824561,08:24:27 PM ET,0.8293460925039873,20.57692307692307,True,57.69,42.31,120.57,120.58,20.57,100.0,"Bet $57.69 Over @ williamhill_us, $42.31 Under @ bovada",Milwaukee Bucks @ Indiana Pacers,2025-12-24T00:41:00Z,True,3,2.8511009333333335,1.3677676,2.8511009333333335,True,williamhill_us,2025-12-23 20:25:49 ET
