player,market,line,best_over_odds,best_over_book,best_over_implied,best_under_odds,best_under_book,best_under_implied,total_prob,expected_profit_pct,is_arb,over_stake,under_stake,over_return,under_return,guaranteed_profit,total_wager,recommendation,game,game_time,num_bookmakers,over_minutes_stale,under_minutes_stale,over_last_update,under_last_update,fetch_time_et,max_staleness,is_stale,stale_bookmaker,verify_manually
Jamal Shead,player_points_rebounds_assists,14.5,116.0,betrivers,0.46296296296296297,-111.0,betonlineag,0.5260663507109005,0.9890293136738635,1.10923773183067,True,46.81,53.19,101.11,101.11,1.11,100.0,"Bet $46.81 Over @ betrivers, $53.19 Under @ betonlineag",Toronto Raptors @ Brooklyn Nets,2025-12-21T23:10:00Z,2,0.02,0.07,2025-12-21T17:00:44Z,2025-12-21T17:00:41Z,2025-12-21 12:00:45 ET,0.07,False,,False
Ziaire Williams,player_rebounds,2.5,125.0,betrivers,0.4444444444444444,-120.0,betmgm,0.5454545454545454,0.9898989898989898,1.0204081632653184,True,44.9,55.1,101.02,101.02,1.02,100.0,"Bet $44.90 Over @ betrivers, $55.10 Under @ betmgm",Toronto Raptors @ Brooklyn Nets,2025-12-21T23:10:00Z,7,0.02,0.69,2025-12-21T17:00:44Z,2025-12-21T17:00:04Z,2025-12-21 12:00:45 ET,0.69,False,,False
Ochai Agbaji,player_points,6.5,105.0,bovada,0.4878048780487805,-102.0,williamhill_us,0.504950495049505,0.9927553730982854,0.7297494526879111,True,49.14,50.86,100.73,100.73,0.73,100.0,"Bet $49.14 Over @ bovada, $50.86 Under @ williamhill_us",Toronto Raptors @ Brooklyn Nets,2025-12-21T23:10:00Z,7,1.9,1.24,2025-12-21T16:58:51Z,2025-12-21T16:59:31Z,2025-12-21 12:00:45 ET,1.9,False,,False
Matas Buzelis,player_blocks,1.5,178.0,fanduel,0.3597122302158273,-175.0,betmgm,0.6363636363636364,0.9960758665794637,0.3939592908732692,True,36.11,63.89,100.39,100.39,0.39,100.0,"Bet $36.11 Over @ fanduel, $63.89 Under @ betmgm",Chicago Bulls @ Atlanta Hawks,2025-12-21T20:40:00Z,3,1.19,0.7,2025-12-21T16:59:34Z,2025-12-21T17:00:03Z,2025-12-21 12:00:45 ET,1.19,False,,False
Russell Westbrook,player_rebounds,6.5,145.0,bovada,0.40816326530612246,-143.0,draftkings,0.588477366255144,0.9966406315612665,0.33706918344991177,True,40.95,59.05,100.34,100.34,0.34,100.0,"Bet $40.95 Over @ bovada, $59.05 Under @ draftkings",Houston Rockets @ Sacramento Kings,2025-12-22T03:10:00Z,5,0.24,0.72,2025-12-21T17:00:31Z,2025-12-21T17:00:02Z,2025-12-21 12:00:45 ET,0.72,False,,False
Kel'el Ware,player_points,10.5,-104.0,fanduel,0.5098039215686274,105.0,bovada,0.4878048780487805,0.9976087996174079,0.23969319271333056,True,51.1,48.9,100.24,100.24,0.24,100.0,"Bet $51.10 Over @ fanduel, $48.90 Under @ bovada",Miami Heat @ New York Knicks,2025-12-21T23:10:00Z,6,1.24,0.32,2025-12-21T16:59:31Z,2025-12-21T17:00:26Z,2025-12-21 12:00:45 ET,1.24,False,,False
Kevin Porter Jr.,player_points,20.5,-114.0,betrivers,0.5327102803738317,115.0,bovada,0.46511627906976744,0.9978265594435991,0.2178174689610124,True,53.39,46.61,100.22,100.22,0.22,100.0,"Bet $53.39 Over @ betrivers, $46.61 Under @ bovada",Milwaukee Bucks @ Minnesota Timberwolves,2025-12-22T00:10:00Z,3,0.54,0.69,2025-12-21T17:00:13Z,2025-12-21T17:00:04Z,2025-12-21 12:00:45 ET,0.69,False,,False
Coby White,player_rebounds,2.5,-155.0,betmgm,0.6078431372549019,155.0,bovada,0.39215686274509803,1.0,0.0,False,,,,,,,Don't bet - bookmaker has edge,Chicago Bulls @ Atlanta Hawks,2025-12-21T20:40:00Z,2,0.7,0.89,2025-12-21T17:00:03Z,2025-12-21T16:59:52Z,2025-12-21 12:00:45 ET,0.89,False,,False
Gary Trent Jr,player_threes,1.5,-135.0,betmgm,0.574468085106383,135.0,bovada,0.425531914893617,1.0,0.0,False,,,,,,,Don't bet - bookmaker has edge,Milwaukee Bucks @ Minnesota Timberwolves,2025-12-22T00:10:00Z,6,0.77,0.69,2025-12-21T16:59:59Z,2025-12-21T17:00:04Z,2025-12-21 12:00:45 ET,0.77,False,,False
Dylan Harper,player_assists,3.5,104.0,betrivers,0.49019607843137253,-105.0,betmgm,0.5121951219512195,1.002391200382592,-0.23854961832061594,False,,,,,,,Don't bet - bookmaker has edge,San Antonio Spurs @ Washington Wizards,2025-12-22T00:10:00Z,7,0.2,0.79,2025-12-21T17:00:33Z,2025-12-21T16:59:58Z,2025-12-21 12:00:45 ET,0.79,False,,False
