player,market,line,best_over_odds,best_over_book,best_over_implied,best_over_last_update,best_under_odds,best_under_book,best_under_implied,best_under_last_update,total_prob,expected_profit_pct,is_arb,over_stake,under_stake,over_return,under_return,guaranteed_profit,total_wager,recommendation,game,game_time,game_is_live,num_bookmakers,over_staleness_minutes,under_staleness_minutes,max_staleness,is_stale,stale_bookmaker,fetch_time_et
Lauri Markkanen,player_points_rebounds_assists,34.5,125,bovada,0.4444444444444444,06:40:07 PM ET,-115,betmgm,0.5348837209302325,06:39:53 PM ET,0.9793281653746769,2.110817941952514,True,45.38,54.62,102.1,102.12,2.11,100.0,"Bet $45.38 Over @ bovada, $54.62 Under @ betmgm",Utah Jazz @ Denver Nuggets,2025-12-23T02:00:00Z,False,3,0.6951429166666667,0.92847625,0.92847625,False,,2025-12-22 18:40:48 ET
Derik Queen,player_rebounds,7.5,-102,fanduel,0.504950495049505,06:40:19 PM ET,110,bovada,0.47619047619047616,06:40:34 PM ET,0.9811409712399811,1.922152811148492,True,51.47,48.53,101.93,101.91,1.91,100.0,"Bet $51.47 Over @ fanduel, $48.53 Under @ bovada",Dallas Mavericks @ New Orleans Pelicans,2025-12-23T01:00:00Z,False,8,0.49514291666666665,0.24514291666666665,0.49514291666666665,False,,2025-12-22 18:40:48 ET
Kon Knueppel,player_rebounds,4.5,100,betonlineag,0.5,06:40:28 PM ET,105,bovada,0.4878048780487805,06:40:28 PM ET,0.9878048780487805,1.2345679012345734,True,50.62,49.38,101.24,101.23,1.23,100.0,"Bet $50.62 Over @ betonlineag, $49.38 Under @ bovada",Charlotte Hornets @ Cleveland Cavaliers,2025-12-23T00:12:00Z,False,7,0.3451429166666667,0.3451429166666667,0.3451429166666667,False,,2025-12-22 18:40:48 ET
Jose Alvarado,player_rebounds,2.5,130,betmgm,0.4347826086956521,06:40:29 PM ET,-124,draftkings,0.5535714285714286,06:40:40 PM ET,0.9883540372670807,1.178318931657496,True,43.99,56.01,101.18,101.18,1.18,100.0,"Bet $43.99 Over @ betmgm, $56.01 Under @ draftkings",Dallas Mavericks @ New Orleans Pelicans,2025-12-23T01:00:00Z,False,5,0.32847624999999997,0.14514291666666665,0.32847624999999997,False,,2025-12-22 18:40:48 ET
Cooper Flagg,player_assists,3.5,-105,betmgm,0.5121951219512195,06:40:29 PM ET,110,fanduel,0.47619047619047616,06:40:19 PM ET,0.9883855981416957,1.1750881316098694,True,51.82,48.18,101.17,101.18,1.17,100.0,"Bet $51.82 Over @ betmgm, $48.18 Under @ fanduel",Dallas Mavericks @ New Orleans Pelicans,2025-12-23T01:00:00Z,False,6,0.32847624999999997,0.49514291666666665,0.49514291666666665,False,,2025-12-22 18:40:48 ET
Tyus Jones,player_points,4.5,104,fanduel,0.4901960784313726,06:40:10 PM ET,100,betmgm,0.5,06:40:35 PM ET,0.9901960784313726,0.990099009900991,True,49.5,50.5,100.98,101.0,0.98,100.0,"Bet $49.50 Over @ fanduel, $50.50 Under @ betmgm",Orlando Magic @ Golden State Warriors,2025-12-23T03:00:00Z,False,4,0.6451429166666667,0.22847625,0.6451429166666667,False,,2025-12-22 18:40:48 ET
Jaylon Tyson,player_rebounds,5.5,-111,williamhill_us,0.5260663507109005,06:39:42 PM ET,115,betmgm,0.46511627906976744,06:40:43 PM ET,0.9911826297806678,0.8895807850550552,True,53.07,46.93,100.88,100.9,0.88,100.0,"Bet $53.07 Over @ williamhill_us, $46.93 Under @ betmgm",Charlotte Hornets @ Cleveland Cavaliers,2025-12-23T00:12:00Z,False,7,1.1118095833333332,0.09514291666666666,1.1118095833333332,False,,2025-12-22 18:40:48 ET
Brandon Miller,player_threes,3.5,170,bovada,0.37037037037037035,06:40:28 PM ET,-164,draftkings,0.6212121212121212,06:39:28 PM ET,0.9915824915824916,0.8488964346349714,True,37.35,62.65,100.85,100.85,0.85,100.0,"Bet $37.35 Over @ bovada, $62.65 Under @ draftkings",Charlotte Hornets @ Cleveland Cavaliers,2025-12-23T00:12:00Z,False,2,0.3451429166666667,1.3451429166666666,1.3451429166666666,False,,2025-12-22 18:40:48 ET
Cason Wallace,player_points,8.5,110,bovada,0.47619047619047616,06:39:48 PM ET,-107,betrivers,0.5169082125603864,06:40:09 PM ET,0.9930986887508626,0.6949270326615853,True,47.95,52.05,100.7,100.69,0.69,100.0,"Bet $47.95 Over @ bovada, $52.05 Under @ betrivers",Memphis Grizzlies @ Oklahoma City Thunder,2025-12-23T02:30:00Z,False,7,1.0118095833333334,0.6618095833333334,1.0118095833333334,False,,2025-12-22 18:40:48 ET
Tre Mann,player_points_rebounds_assists,13.5,118,betonlineag,0.45871559633027525,06:40:28 PM ET,-115,bovada,0.5348837209302325,06:40:28 PM ET,0.9935993172605078,0.6441915396177889,True,46.17,53.83,100.65,100.64,0.64,100.0,"Bet $46.17 Over @ betonlineag, $53.83 Under @ bovada",Charlotte Hornets @ Cleveland Cavaliers,2025-12-23T00:12:00Z,False,4,0.3451429166666667,0.3451429166666667,0.3451429166666667,False,,2025-12-22 18:40:48 ET
