player,market,line,best_over_odds,best_over_book,best_over_implied,best_under_odds,best_under_book,best_under_implied,total_prob,expected_profit_pct,is_arb,over_stake,under_stake,over_return,under_return,guaranteed_profit,total_wager,recommendation,game,game_time,num_bookmakers
Brandin Podziemski,player_points,14.5,-122,fanduel,0.5495495495495496,175,fanatics,0.36363636363636365,0.9131859131859132,9.506726457399095,True,60.18,39.82,109.51,109.5,9.5,100.0,"Bet $60.18 Over @ fanduel, $39.82 Under @ fanatics",Golden State Warriors @ Chicago Bulls,2025-12-08T00:11:00Z,2
Jimmy Butler,player_rebounds,5.5,-105,fanatics,0.5121951219512195,130,draftkings,0.43478260869565216,0.9469777306468716,5.599104143337064,True,54.09,45.91,105.6,105.59,5.59,100.0,"Bet $54.09 Over @ fanatics, $45.91 Under @ draftkings",Golden State Warriors @ Chicago Bulls,2025-12-08T00:11:00Z,3
Jimmy Butler,player_assists,6.5,-115,fanatics,0.5348837209302324,140,fanduel,0.4166666666666667,0.9515503875968991,5.0916496945010215,True,56.21,43.79,105.09,105.1,5.09,100.0,"Bet $56.21 Over @ fanatics, $43.79 Under @ fanduel",Golden State Warriors @ Chicago Bulls,2025-12-08T00:11:00Z,2
Nikola Vucevic,player_rebounds,6.5,132,fanduel,0.43103448275862066,-109,williamhill_us,0.5215311004784688,0.9525655832370895,4.97964839352214,True,45.25,54.75,104.98,104.98,4.98,100.0,"Bet $45.25 Over @ fanduel, $54.75 Under @ williamhill_us",Golden State Warriors @ Chicago Bulls,2025-12-08T00:11:00Z,3
Joel Embiid,player_rebounds,5.5,110,draftkings,0.47619047619047616,105,fanatics,0.4878048780487805,0.9639953542392566,3.7349397590361377,True,49.4,50.6,103.74,103.73,3.73,100.0,"Bet $49.40 Over @ draftkings, $50.60 Under @ fanatics",Los Angeles Lakers @ Philadelphia 76ers,2025-12-08T00:41:00Z,3
Josh Giddey,player_rebounds,3.5,140,draftkings,0.41666666666666674,-121,williamhill_us,0.5475113122171946,0.9641779788838614,3.7152913570590362,True,43.21,56.79,103.7,103.72,3.7,100.0,"Bet $43.21 Over @ draftkings, $56.79 Under @ williamhill_us",Golden State Warriors @ Chicago Bulls,2025-12-08T00:11:00Z,2
VJ Edgecombe,player_assists,2.5,134,fanduel,0.4273504273504274,-125,draftkings,0.5555555555555556,0.982905982905983,1.7391304347825987,True,43.48,56.52,101.74,101.74,1.74,100.0,"Bet $43.48 Over @ fanduel, $56.52 Under @ draftkings",Los Angeles Lakers @ Philadelphia 76ers,2025-12-08T00:41:00Z,4
Chet Holmgren,player_points,18.5,105,fanatics,0.4878048780487805,100,fanduel,0.5,0.9878048780487805,1.2345679012345734,True,49.38,50.62,101.23,101.24,1.23,100.0,"Bet $49.38 Over @ fanatics, $50.62 Under @ fanduel",Oklahoma City Thunder @ Utah Jazz,2025-12-08T01:11:00Z,4
Nikola Vucevic,player_points,10.5,-115,fanatics,0.5348837209302325,118,fanduel,0.45871559633027525,0.9935993172605078,0.6441915396177889,True,53.83,46.17,100.64,100.65,0.64,100.0,"Bet $53.83 Over @ fanatics, $46.17 Under @ fanduel",Golden State Warriors @ Chicago Bulls,2025-12-08T00:11:00Z,2
