player,market,line,best_over_odds,best_over_book,best_over_implied,best_under_odds,best_under_book,best_under_implied,total_prob,expected_profit_pct,is_arb,over_stake,under_stake,over_return,under_return,guaranteed_profit,total_wager,recommendation,game,game_time,num_bookmakers,over_minutes_stale,under_minutes_stale,over_last_update,under_last_update,fetch_time_et,max_staleness,is_stale,stale_bookmaker,verify_manually
Joel Embiid,player_assists,2.5,-180.0,betrivers,0.6428571428571429,200.0,bovada,0.3333333333333333,0.9761904761904763,2.4390243902439046,True,65.85,34.15,102.44,102.44,2.44,100.0,"Bet $65.85 Over @ betrivers, $34.15 Under @ bovada",Philadelphia 76ers @ New York Knicks,2025-12-20T00:10:00Z,2,0.97,1.02,2025-12-19T16:59:45Z,2025-12-19T16:59:42Z,2025-12-19 12:00:42 ET,1.02,False,,False
Joel Embiid,player_assists,3.5,130.0,betmgm,0.43478260869565216,-120.0,bovada,0.5454545454545454,0.9802371541501975,2.016129032258074,True,44.35,55.65,102.02,102.02,2.02,100.0,"Bet $44.35 Over @ betmgm, $55.65 Under @ bovada",Philadelphia 76ers @ New York Knicks,2025-12-20T00:10:00Z,7,0.93,1.02,2025-12-19T16:59:47Z,2025-12-19T16:59:42Z,2025-12-19 12:00:42 ET,1.02,False,,False
Isaiah Hartenstein,player_assists,2.5,-130.0,betmgm,0.5652173913043478,140.0,bovada,0.4166666666666667,0.9818840579710144,1.8450184501845213,True,57.56,42.44,101.85,101.85,1.85,100.0,"Bet $57.56 Over @ betmgm, $42.44 Under @ bovada",Oklahoma City Thunder @ Minnesota Timberwolves,2025-12-20T02:40:00Z,4,0.67,0.02,2025-12-19T17:00:03Z,2025-12-19T17:00:42Z,2025-12-19 12:00:42 ET,0.67,False,,False
VJ Edgecombe,player_threes,1.5,-118.0,betrivers,0.5412844036697247,125.0,betonlineag,0.4444444444444444,0.9857288481141692,1.4477766287487093,True,54.91,45.09,101.45,101.45,1.45,100.0,"Bet $54.91 Over @ betrivers, $45.09 Under @ betonlineag",Philadelphia 76ers @ New York Knicks,2025-12-20T00:10:00Z,7,0.97,0.78,2025-12-19T16:59:45Z,2025-12-19T16:59:56Z,2025-12-19 12:00:42 ET,0.97,False,,False
Ajay Mitchell,player_assists,2.5,-115.0,williamhill_us,0.5348837209302325,120.0,bovada,0.45454545454545453,0.989429175475687,1.0683760683760868,True,54.06,45.94,101.07,101.07,1.07,100.0,"Bet $54.06 Over @ williamhill_us, $45.94 Under @ bovada",Oklahoma City Thunder @ Minnesota Timberwolves,2025-12-20T02:40:00Z,5,3.08,0.02,2025-12-19T16:57:38Z,2025-12-19T17:00:42Z,2025-12-19 12:00:42 ET,3.08,True,williamhill_us,False
Karl-Anthony Towns,player_assists,2.5,-105.0,draftkings,0.5121951219512195,108.0,betrivers,0.4807692307692308,0.9929643527204504,0.7085498346717012,True,51.58,48.42,100.71,100.71,0.71,100.0,"Bet $51.58 Over @ draftkings, $48.42 Under @ betrivers",Philadelphia 76ers @ New York Knicks,2025-12-20T00:10:00Z,6,0.72,0.97,2025-12-19T17:00:00Z,2025-12-19T16:59:45Z,2025-12-19 12:00:42 ET,0.97,False,,False
Mikal Bridges,player_points_rebounds_assists,25.5,112.0,betrivers,0.4716981132075472,-110.0,betmgm,0.5238095238095238,0.995507637017071,0.4512635379061436,True,47.38,52.62,100.45,100.45,0.45,100.0,"Bet $47.38 Over @ betrivers, $52.62 Under @ betmgm",Philadelphia 76ers @ New York Knicks,2025-12-20T00:10:00Z,4,0.97,0.93,2025-12-19T16:59:45Z,2025-12-19T16:59:47Z,2025-12-19 12:00:42 ET,0.97,False,,False
Zaccharie Risacher,player_points,9.5,-105.0,betrivers,0.5121951219512195,105.0,bovada,0.4878048780487805,1.0,0.0,False,,,,,,,Don't bet - bookmaker has edge,San Antonio Spurs @ Atlanta Hawks,2025-12-20T00:40:00Z,7,0.03,0.33,2025-12-19T17:00:41Z,2025-12-19T17:00:23Z,2025-12-19 12:00:42 ET,0.33,False,,False
Victor Wembanyama,player_threes,1.5,120.0,draftkings,0.45454545454545453,-120.0,bovada,0.5454545454545454,1.0,0.0,False,,,,,,,Don't bet - bookmaker has edge,San Antonio Spurs @ Atlanta Hawks,2025-12-20T00:40:00Z,7,0.05,0.33,2025-12-19T17:00:40Z,2025-12-19T17:00:23Z,2025-12-19 12:00:42 ET,0.33,False,,False
Cason Wallace,player_points,6.5,-130.0,betmgm,0.5652173913043478,130.0,bovada,0.43478260869565216,1.0,0.0,False,,,,,,,Don't bet - bookmaker has edge,Oklahoma City Thunder @ Minnesota Timberwolves,2025-12-20T02:40:00Z,4,0.67,0.02,2025-12-19T17:00:03Z,2025-12-19T17:00:42Z,2025-12-19 12:00:42 ET,0.67,False,,False
