player,market,line,best_over_odds,best_over_book,best_over_implied,best_over_last_update,best_under_odds,best_under_book,best_under_implied,best_under_last_update,total_prob,expected_profit_pct,is_arb,over_stake,under_stake,over_return,under_return,guaranteed_profit,total_wager,recommendation,game,game_time,game_is_live,num_bookmakers,over_staleness_minutes,under_staleness_minutes,max_staleness,is_stale,stale_bookmaker,fetch_time_et
Anthony Edwards,player_threes,4.5,136,williamhill_us,0.42372881355932207,09:40:36 PM ET,116,fanduel,0.46296296296296297,09:50:01 PM ET,0.886691776522285,12.77876106194691,True,47.79,52.21,112.78,112.77,12.77,100.0,"Bet $47.79 Over @ williamhill_us, $52.21 Under @ fanduel",New York Knicks @ Minnesota Timberwolves,2025-12-24T01:11:00Z,True,3,10.227995766666668,0.8113291,10.227995766666668,True,williamhill_us,2025-12-23 21:50:49 ET
Kentavious Caldwell-Pope,player_threes,1.5,175,draftkings,0.36363636363636365,09:50:12 PM ET,-110,bovada,0.5238095238095238,09:49:08 PM ET,0.8874458874458875,12.682926829268283,True,40.98,59.02,112.7,112.67,12.67,100.0,"Bet $40.98 Over @ draftkings, $59.02 Under @ bovada",Memphis Grizzlies @ Utah Jazz,2025-12-24T02:12:00Z,True,3,0.6279957666666667,1.6946624333333333,1.6946624333333333,False,,2025-12-23 21:50:49 ET
Cameron Johnson,player_threes,1.5,100,draftkings,0.49999999999999994,09:50:16 PM ET,155,bovada,0.39215686274509803,09:46:25 PM ET,0.892156862745098,12.08791208791209,True,56.04,43.96,112.08,112.1,12.08,100.0,"Bet $56.04 Over @ draftkings, $43.96 Under @ bovada",Denver Nuggets @ Dallas Mavericks,2025-12-24T01:11:00Z,True,3,0.5613291,4.411329100000001,4.411329100000001,True,bovada,2025-12-23 21:50:49 ET
Donte DiVincenzo,player_points,12.5,-105,draftkings,0.5121951219512195,09:50:20 PM ET,160,bovada,0.38461538461538464,09:48:08 PM ET,0.8968105065666041,11.506276150627626,True,57.11,42.89,111.5,111.51,11.5,100.0,"Bet $57.11 Over @ draftkings, $42.89 Under @ bovada",New York Knicks @ Minnesota Timberwolves,2025-12-24T01:11:00Z,True,3,0.4946624333333334,2.6946624333333333,2.6946624333333333,True,bovada,2025-12-23 21:50:49 ET
Kevin Porter Jr.,player_points,17.5,-132,fanduel,0.5689655172413794,09:44:12 PM ET,205,bovada,0.32786885245901637,09:49:04 PM ET,0.8968343697003958,11.503309171131404,True,63.44,36.56,111.5,111.51,11.5,100.0,"Bet $63.44 Over @ fanduel, $36.56 Under @ bovada",Milwaukee Bucks @ Indiana Pacers,2025-12-24T00:41:00Z,True,2,6.627995766666667,1.7613291,6.627995766666667,True,fanduel,2025-12-23 21:50:49 ET
De'Aaron Fox,player_assists,6.5,200,bovada,0.33333333333333337,09:50:25 PM ET,-130,fanatics,0.5652173913043478,09:49:53 PM ET,0.8985507246376812,11.290322580645151,True,37.1,62.9,111.3,111.28,11.28,100.0,"Bet $37.10 Over @ bovada, $62.90 Under @ fanatics",Oklahoma City Thunder @ San Antonio Spurs,2025-12-24T01:41:00Z,True,5,0.4113291,0.9446624333333333,0.9446624333333333,False,,2025-12-23 21:50:49 ET
LeBron James,player_points,26.5,155,bovada,0.392156862745098,09:49:58 PM ET,-104,fanduel,0.5098039215686274,09:49:39 PM ET,0.9019607843137254,10.869565217391308,True,43.48,56.52,110.87,110.87,10.87,100.0,"Bet $43.48 Over @ bovada, $56.52 Under @ fanduel",Los Angeles Lakers @ Phoenix Suns,2025-12-24T02:11:00Z,True,4,0.8613291000000001,1.1779957666666665,1.1779957666666665,False,,2025-12-23 21:50:49 ET
Paul George,player_points,19.5,180,bovada,0.3571428571428572,09:50:23 PM ET,-120,fanduel,0.5454545454545454,09:38:10 PM ET,0.9025974025974026,10.79136690647482,True,39.57,60.43,110.8,110.79,10.79,100.0,"Bet $39.57 Over @ bovada, $60.43 Under @ fanduel",Brooklyn Nets @ Philadelphia 76ers,2025-12-24T00:12:00Z,True,2,0.4446624333333334,12.6613291,12.6613291,True,fanduel,2025-12-23 21:50:49 ET
Jalen Johnson,player_points,24.5,134,fanduel,0.4273504273504273,09:50:07 PM ET,110,bovada,0.47619047619047616,09:50:02 PM ET,0.9035409035409034,10.675675675675688,True,47.3,52.7,110.68,110.67,10.67,100.0,"Bet $47.30 Over @ fanduel, $52.70 Under @ bovada",Chicago Bulls @ Atlanta Hawks,2025-12-24T00:41:00Z,True,3,0.7113291,0.7946624333333333,0.7946624333333333,False,,2025-12-23 21:50:49 ET
Oso Ighodaro,player_points,6.5,140,bovada,0.41666666666666674,09:49:58 PM ET,105,draftkings,0.4878048780487805,09:50:49 PM ET,0.9044715447154472,10.561797752808989,True,46.07,53.93,110.57,110.56,10.56,100.0,"Bet $46.07 Over @ bovada, $53.93 Under @ draftkings",Los Angeles Lakers @ Phoenix Suns,2025-12-24T02:11:00Z,True,3,0.8613291000000001,0.0113291,0.8613291000000001,False,,2025-12-23 21:50:49 ET
