player,market,line,best_over_odds,best_over_book,best_over_implied,best_under_odds,best_under_book,best_under_implied,total_prob,expected_profit_pct,is_arb,over_stake,under_stake,over_return,under_return,guaranteed_profit,total_wager,recommendation,game,game_time,num_bookmakers
Jalen Williams,player_blocks,0.5,185,betmgm,0.3508771929824561,-178,draftkings,0.6402877697841727,0.9911649627666288,0.8913790907933317,True,35.4,64.6,100.89,100.89,0.89,100.0,"Bet $35.40 Over @ betmgm, $64.60 Under @ draftkings",Phoenix Suns @ Oklahoma City Thunder,2025-12-11T00:30:00Z,2
Jaxson Hayes,player_points_rebounds_assists,8.5,110,betmgm,0.47619047619047616,-108,betonlineag,0.5192307692307693,0.9954212454212454,0.4599816007359703,True,47.84,52.16,100.46,100.46,0.46,100.0,"Bet $47.84 Over @ betmgm, $52.16 Under @ betonlineag",San Antonio Spurs @ Los Angeles Lakers,2025-12-11T03:00:00Z,3
Dylan Harper,player_points_rebounds_assists,20.5,120,betrivers,0.4545454545454546,-119,draftkings,0.54337899543379,0.9979244499792446,0.2079866888519133,True,45.55,54.45,100.21,100.21,0.21,100.0,"Bet $45.55 Over @ betrivers, $54.45 Under @ draftkings",San Antonio Spurs @ Los Angeles Lakers,2025-12-11T03:00:00Z,4
