player,market,line,best_over_odds,best_over_book,best_over_implied,best_under_odds,best_under_book,best_under_implied,total_prob,expected_profit_pct,is_arb,over_stake,under_stake,over_return,under_return,guaranteed_profit,total_wager,recommendation,game,game_time,num_bookmakers,over_minutes_stale,under_minutes_stale,over_last_update,under_last_update,max_staleness,is_stale,stale_bookmaker,verify_manually
Lauri Markkanen,player_points,24.5,-108.0,fanduel,0.5192307692307693,115.0,bovada,0.46511627906976744,0.9843470483005368,1.5901862789641008,True,52.75,47.25,101.59,101.59,1.59,100.0,"Bet $52.75 Over @ fanduel, $47.25 Under @ bovada",Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,2,0.71,1.21,2025-12-16T03:37:10Z,2025-12-16T03:36:40Z,1.21,False,,False
Max Christie,player_points_rebounds_assists,15.5,-120.0,draftkings,0.5454545454545454,125.0,bovada,0.4444444444444444,0.9898989898989898,1.0204081632653184,True,55.1,44.9,101.02,101.02,1.02,100.0,"Bet $55.10 Over @ draftkings, $44.90 Under @ bovada",Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,2,1.07,1.21,2025-12-16T03:36:48Z,2025-12-16T03:36:40Z,1.21,False,,False
Brice Sensabaugh,player_points,7.5,110.0,fanduel,0.47619047619047616,-110.0,draftkings,0.5238095238095238,1.0,0.0,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,2,0.71,1.07,2025-12-16T03:37:10Z,2025-12-16T03:36:48Z,1.07,False,,False
Cooper Flagg,player_rebounds,6.5,-125.0,fanduel,0.5555555555555556,125.0,fanatics,0.4444444444444444,1.0,0.0,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,4,0.71,2.56,2025-12-16T03:37:10Z,2025-12-16T03:35:19Z,2.56,True,fanatics,False
Kyle Filipowski,player_rebounds,9.5,135.0,bovada,0.425531914893617,-136.0,fanduel,0.576271186440678,1.001803101334295,-0.17998560115189965,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,3,1.21,0.71,2025-12-16T03:36:40Z,2025-12-16T03:37:10Z,1.21,False,,False
Walter Clayton Jr.,player_assists,3.5,127.0,williamhill_us,0.44052863436123346,-130.0,bovada,0.5652173913043478,1.0057460256655812,-0.5713197486193033,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,3,0.69,1.21,2025-12-16T03:37:11Z,2025-12-16T03:36:40Z,1.21,False,,False
Kyle Filipowski,player_threes,1.5,170.0,bovada,0.37037037037037035,-178.0,fanduel,0.6402877697841727,1.010658140154543,-1.0545742156604199,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,3,1.21,0.71,2025-12-16T03:36:40Z,2025-12-16T03:37:10Z,1.21,False,,False
Lauri Markkanen,player_points,25.5,100.0,fanatics,0.5,-105.0,bovada,0.5121951219512195,1.0121951219512195,-1.2048192771084376,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,4,0.42,1.21,2025-12-16T03:37:27Z,2025-12-16T03:36:40Z,1.21,False,,False
Klay Thompson,player_threes,3.5,150.0,bovada,0.4,-159.0,williamhill_us,0.6138996138996139,1.013899613899614,-1.3709063214013772,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,4,1.21,0.69,2025-12-16T03:36:40Z,2025-12-16T03:37:11Z,1.21,False,,False
Klay Thompson,player_rebounds,2.5,102.0,fanduel,0.49504950495049505,-110.0,draftkings,0.5238095238095238,1.0188590287600188,-1.8509949097639922,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,3,0.71,1.07,2025-12-16T03:37:10Z,2025-12-16T03:36:48Z,1.07,False,,False
P.J. Washington,player_rebounds,5.5,-145.0,draftkings,0.5918367346938775,132.0,fanduel,0.43103448275862066,1.022871217452498,-2.2359821121430867,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,3,1.07,0.71,2025-12-16T03:36:48Z,2025-12-16T03:37:10Z,1.07,False,,False
Naji Marshall,player_points,13.5,-144.0,fanduel,0.5901639344262295,130.0,bovada,0.43478260869565216,1.0249465431218816,-2.4339360222531248,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,2,0.71,1.21,2025-12-16T03:37:10Z,2025-12-16T03:36:40Z,1.21,False,,False
Keyonte George,player_threes,3.5,-210.0,draftkings,0.6774193548387096,185.0,fanatics,0.3508771929824561,1.0282965478211659,-2.7517886626307164,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,2,1.07,0.42,2025-12-16T03:36:48Z,2025-12-16T03:37:27Z,1.07,False,,False
Naji Marshall,player_points,14.5,-112.0,williamhill_us,0.5283018867924528,100.0,bovada,0.5,1.0283018867924527,-2.752293577981635,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,2,0.69,1.21,2025-12-16T03:37:11Z,2025-12-16T03:36:40Z,1.21,False,,False
Max Christie,player_rebounds,3.5,114.0,draftkings,0.4672897196261682,-128.0,fanduel,0.5614035087719298,1.028693228398098,-2.78928912974179,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,3,1.07,0.71,2025-12-16T03:36:48Z,2025-12-16T03:37:10Z,1.07,False,,False
Keyonte George,player_rebounds,3.5,-120.0,draftkings,0.5454545454545454,106.0,williamhill_us,0.4854368932038835,1.030891438658429,-2.996575342465746,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,3,1.07,0.69,2025-12-16T03:36:48Z,2025-12-16T03:37:11Z,1.07,False,,False
Kyle Filipowski,player_points_rebounds_assists,25.5,105.0,bovada,0.4878048780487805,-125.0,draftkings,0.5555555555555556,1.043360433604336,-4.155844155844157,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,2,1.21,1.07,2025-12-16T03:36:40Z,2025-12-16T03:36:48Z,1.21,False,,False
Lauri Markkanen,player_rebounds,10.5,135.0,draftkings,0.425531914893617,-162.0,williamhill_us,0.6183206106870229,1.04385252558064,-4.201026917690987,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,2,1.07,0.69,2025-12-16T03:36:48Z,2025-12-16T03:37:11Z,1.07,False,,False
Cooper Flagg,player_threes,1.5,198.0,fanduel,0.33557046979865773,-245.0,bovada,0.7101449275362319,1.0457153973348896,-4.371686354757697,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,2,0.71,1.21,2025-12-16T03:37:10Z,2025-12-16T03:36:40Z,1.21,False,,False
Keyonte George,player_threes,4.5,158.0,fanduel,0.3875968992248062,-193.0,williamhill_us,0.658703071672355,1.0462999708971612,-4.425114420815746,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,2,0.71,0.69,2025-12-16T03:37:10Z,2025-12-16T03:37:11Z,0.71,False,,False
Brice Sensabaugh,player_rebounds,1.5,100.0,draftkings,0.5,-121.0,williamhill_us,0.5475113122171946,1.0475113122171946,-4.535637149028082,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,2,1.07,0.69,2025-12-16T03:36:48Z,2025-12-16T03:37:11Z,1.07,False,,False
Keyonte George,player_points,35.5,100.0,fanduel,0.5,-122.0,williamhill_us,0.5495495495495496,1.0495495495495497,-4.721030042918473,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,2,0.71,0.69,2025-12-16T03:37:10Z,2025-12-16T03:37:11Z,0.71,False,,False
Isaiah Collier,player_assists,5.5,-148.0,williamhill_us,0.5967741935483871,120.0,draftkings,0.45454545454545453,1.0513196480938416,-4.881450488145045,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,2,0.69,1.07,2025-12-16T03:37:11Z,2025-12-16T03:36:48Z,1.07,False,,False
Cooper Flagg,player_points,36.5,-108.0,fanduel,0.5192307692307693,-117.0,williamhill_us,0.5391705069124424,1.0584012761432118,-5.517876580423698,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,2,0.71,0.69,2025-12-16T03:37:10Z,2025-12-16T03:37:11Z,0.71,False,,False
Max Christie,player_threes,0.5,-188.0,draftkings,0.6527777777777778,146.0,fanduel,0.4065040650406504,1.0592818428184283,-5.596418292292937,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,2,1.07,0.71,2025-12-16T03:36:48Z,2025-12-16T03:37:10Z,1.07,False,,False
Isaiah Collier,player_rebounds,1.5,-180.0,draftkings,0.6428571428571429,140.0,draftkings,0.4166666666666667,1.0595238095238095,-5.61797752808989,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,1,1.07,1.07,2025-12-16T03:36:48Z,2025-12-16T03:36:48Z,1.07,False,,False
Ace Bailey,player_steals,0.5,260.0,draftkings,0.2777777777777778,-360.0,draftkings,0.782608695652174,1.0603864734299517,-5.6947608200455635,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,1,1.07,1.07,2025-12-16T03:36:48Z,2025-12-16T03:36:48Z,1.07,False,,False
Ace Bailey,player_rebounds,3.5,150.0,draftkings,0.4,-195.0,draftkings,0.6610169491525424,1.0610169491525423,-5.750798722044726,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,3,1.07,1.07,2025-12-16T03:36:48Z,2025-12-16T03:36:48Z,1.07,False,,False
Lauri Markkanen,player_steals,3.5,185.0,draftkings,0.3508771929824561,-245.0,draftkings,0.7101449275362319,1.061022120518688,-5.75125808770669,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,1,1.07,1.07,2025-12-16T03:36:48Z,2025-12-16T03:36:48Z,1.07,False,,False
Isaiah Collier,player_steals,0.5,280.0,draftkings,0.2631578947368421,-395.0,draftkings,0.797979797979798,1.06113769271664,-5.761523046092176,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,1,1.07,1.07,2025-12-16T03:36:48Z,2025-12-16T03:36:48Z,1.07,False,,False
Kyle Filipowski,player_steals,0.5,180.0,draftkings,0.35714285714285715,-238.0,draftkings,0.7041420118343196,1.0612848689771768,-5.774591796097184,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,1,1.07,1.07,2025-12-16T03:36:48Z,2025-12-16T03:36:48Z,1.07,False,,False
Cooper Flagg,player_assists,5.5,-160.0,draftkings,0.6153846153846154,124.0,draftkings,0.44642857142857145,1.0618131868131868,-5.821474773609314,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,2,1.07,1.07,2025-12-16T03:36:48Z,2025-12-16T03:36:48Z,1.07,False,,False
Brice Sensabaugh,player_steals,0.5,160.0,draftkings,0.38461538461538464,-210.0,draftkings,0.6774193548387096,1.0620347394540943,-5.841121495327107,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,1,1.07,1.07,2025-12-16T03:36:48Z,2025-12-16T03:36:48Z,1.07,False,,False
