player,market,line,best_over_odds,best_over_book,best_over_implied,best_under_odds,best_under_book,best_under_implied,total_prob,expected_profit_pct,is_arb,over_stake,under_stake,over_return,under_return,guaranteed_profit,total_wager,recommendation,game,game_time,num_bookmakers,over_minutes_stale,under_minutes_stale,over_last_update,under_last_update,fetch_time_et,max_staleness,is_stale,stale_bookmaker,verify_manually
Lauri Markkanen,player_rebounds,8.5,185.0,bovada,0.3508771929824561,114.0,fanduel,0.4672897196261682,0.8181669126086244,22.22444889779558,True,42.89,57.11,122.22,122.22,22.22,100.0,"Bet $42.89 Over @ bovada, $57.11 Under @ fanduel",Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,2,4.6,1.03,2025-12-16T03:49:12Z,2025-12-16T03:52:46Z,2025-12-15 22:53:47 ET,4.6,True,bovada,True
Ace Bailey,player_points,10.5,104.0,fanduel,0.49019607843137253,155.0,bovada,0.39215686274509803,0.8823529411764706,13.33333333333333,True,55.56,44.44,113.33,113.33,13.33,100.0,"Bet $55.56 Over @ fanduel, $44.44 Under @ bovada",Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,2,1.03,4.6,2025-12-16T03:52:46Z,2025-12-16T03:49:12Z,2025-12-15 22:53:47 ET,4.6,True,bovada,True
Ace Bailey,player_threes,1.5,160.0,fanatics,0.38461538461538464,100.0,bovada,0.5,0.8846153846153846,13.043478260869579,True,43.48,56.52,113.04,113.04,13.04,100.0,"Bet $43.48 Over @ fanatics, $56.52 Under @ bovada",Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,4,0.68,4.6,2025-12-16T03:53:07Z,2025-12-16T03:49:12Z,2025-12-15 22:53:47 ET,4.6,True,bovada,True
Ace Bailey,player_points,9.5,-140.0,draftkings,0.5833333333333334,215.0,bovada,0.31746031746031744,0.9007936507936508,11.013215859030833,True,64.76,35.24,111.01,111.01,11.01,100.0,"Bet $64.76 Over @ draftkings, $35.24 Under @ bovada",Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,2,0.53,4.6,2025-12-16T03:53:16Z,2025-12-16T03:49:12Z,2025-12-15 22:53:47 ET,4.6,True,bovada,True
P.J. Washington,player_threes,1.5,160.0,draftkings,0.38461538461538464,-110.0,bovada,0.5238095238095238,0.9084249084249085,10.080645161290303,True,42.34,57.66,110.08,110.08,10.08,100.0,"Bet $42.34 Over @ draftkings, $57.66 Under @ bovada",Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,2,0.53,4.6,2025-12-16T03:53:16Z,2025-12-16T03:49:12Z,2025-12-15 22:53:47 ET,4.6,True,bovada,True
Keyonte George,player_assists,7.5,150.0,bovada,0.4,-112.0,fanduel,0.5283018867924528,0.9283018867924528,7.72357723577235,True,43.09,56.91,107.72,107.72,7.72,100.0,"Bet $43.09 Over @ bovada, $56.91 Under @ fanduel",Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,4,4.6,1.03,2025-12-16T03:49:12Z,2025-12-16T03:52:46Z,2025-12-15 22:53:47 ET,4.6,True,bovada,False
Klay Thompson,player_points,9.5,-125.0,draftkings,0.5555555555555556,165.0,bovada,0.37735849056603776,0.9329140461215933,7.191011235955047,True,59.55,40.45,107.19,107.19,7.19,100.0,"Bet $59.55 Over @ draftkings, $40.45 Under @ bovada",Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,2,0.53,4.6,2025-12-16T03:53:16Z,2025-12-16T03:49:12Z,2025-12-15 22:53:47 ET,4.6,True,bovada,False
Cooper Flagg,player_rebounds,5.5,-112.0,fanduel,0.5283018867924528,145.0,draftkings,0.40816326530612246,0.9364651520985753,6.7845394736842035,True,56.41,43.59,106.78,106.78,6.78,100.0,"Bet $56.41 Over @ fanduel, $43.59 Under @ draftkings",Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,5,1.03,0.53,2025-12-16T03:52:46Z,2025-12-16T03:53:16Z,2025-12-15 22:53:47 ET,1.03,False,,False
Ace Bailey,player_points_rebounds_assists,16.5,-120.0,draftkings,0.5454545454545454,150.0,bovada,0.4,0.9454545454545454,5.769230769230771,True,57.69,42.31,105.77,105.77,5.77,100.0,"Bet $57.69 Over @ draftkings, $42.31 Under @ bovada",Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,2,0.53,4.6,2025-12-16T03:53:16Z,2025-12-16T03:49:12Z,2025-12-15 22:53:47 ET,4.6,True,bovada,False
Naji Marshall,player_points,14.5,120.0,bovada,0.45454545454545453,100.0,fanduel,0.5,0.9545454545454546,4.761904761904767,True,47.62,52.38,104.76,104.76,4.76,100.0,"Bet $47.62 Over @ bovada, $52.38 Under @ fanduel",Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,4,4.6,1.03,2025-12-16T03:49:12Z,2025-12-16T03:52:46Z,2025-12-15 22:53:47 ET,4.6,True,bovada,False
