player,market,line,best_over_odds,best_over_book,best_over_implied,best_over_last_update,best_under_odds,best_under_book,best_under_implied,best_under_last_update,total_prob,expected_profit_pct,is_arb,over_stake,under_stake,over_return,under_return,guaranteed_profit,total_wager,recommendation,game,game_time,game_is_live,num_bookmakers,over_staleness_minutes,under_staleness_minutes,max_staleness,is_stale,stale_bookmaker,fetch_time_et
Donte DiVincenzo,player_threes,2.5,180,draftkings,0.35714285714285715,10:19:23 PM ET,205,bovada,0.32786885245901637,10:28:53 PM ET,0.6850117096018735,45.982905982906,True,52.14,47.86,145.99,145.97,45.97,100.0,"Bet $52.14 Over @ draftkings, $47.86 Under @ bovada",New York Knicks @ Minnesota Timberwolves,2025-12-24T01:11:00Z,True,2,11.448358083333334,1.9483580833333332,11.448358083333334,True,draftkings,2025-12-23 22:30:49 ET
Jamal Murray,player_threes,2.5,240,fanduel,0.29411764705882354,10:19:17 PM ET,130,bovada,0.43478260869565216,10:27:56 PM ET,0.7289002557544757,37.192982456140356,True,40.35,59.65,137.19,137.2,37.19,100.0,"Bet $40.35 Over @ fanduel, $59.65 Under @ bovada",Denver Nuggets @ Dallas Mavericks,2025-12-24T01:11:00Z,True,2,11.548358083333333,2.8983580833333336,11.548358083333333,True,"fanduel, bovada",2025-12-23 22:30:49 ET
Isaiah Hartenstein,player_points,6.5,152,fanduel,0.39682539682539675,10:30:34 PM ET,185,bovada,0.3508771929824561,10:25:44 PM ET,0.7477025898078529,33.74301675977656,True,53.07,46.93,133.74,133.75,33.74,100.0,"Bet $53.07 Over @ fanduel, $46.93 Under @ bovada",Oklahoma City Thunder @ San Antonio Spurs,2025-12-24T01:41:00Z,True,2,0.26502475,5.098358083333333,5.098358083333333,True,bovada,2025-12-23 22:30:49 ET
Anthony Davis,player_rebounds,10.5,210,fanduel,0.3225806451612903,10:19:17 PM ET,130,bovada,0.43478260869565216,10:27:56 PM ET,0.7573632538569425,32.03703703703704,True,42.59,57.41,132.03,132.04,32.03,100.0,"Bet $42.59 Over @ fanduel, $57.41 Under @ bovada",Denver Nuggets @ Dallas Mavericks,2025-12-24T01:11:00Z,True,2,11.548358083333333,2.8983580833333336,11.548358083333333,True,"fanduel, bovada",2025-12-23 22:30:49 ET
Shai Gilgeous-Alexander,player_threes,1.5,188,fanduel,0.34722222222222215,10:30:34 PM ET,140,bovada,0.4166666666666667,10:25:44 PM ET,0.7638888888888888,30.909090909090907,True,45.45,54.55,130.9,130.92,30.9,100.0,"Bet $45.45 Over @ fanduel, $54.55 Under @ bovada",Oklahoma City Thunder @ San Antonio Spurs,2025-12-24T01:41:00Z,True,3,0.26502475,5.098358083333333,5.098358083333333,True,bovada,2025-12-23 22:30:49 ET
Julius Randle,player_rebounds,5.5,141,williamhill_us,0.41493775933609967,10:18:35 PM ET,185,bovada,0.3508771929824561,10:28:53 PM ET,0.7658149523185558,30.57984790874524,True,54.18,45.82,130.57,130.59,30.57,100.0,"Bet $54.18 Over @ williamhill_us, $45.82 Under @ bovada",New York Knicks @ Minnesota Timberwolves,2025-12-24T01:11:00Z,True,3,12.248358083333333,1.9483580833333332,12.248358083333333,True,williamhill_us,2025-12-23 22:30:49 ET
LeBron James,player_rebounds,4.5,116,fanduel,0.46296296296296297,10:30:01 PM ET,200,bovada,0.3333333333333333,10:30:48 PM ET,0.7962962962962963,25.581395348837212,True,58.14,41.86,125.58,125.58,25.58,100.0,"Bet $58.14 Over @ fanduel, $41.86 Under @ bovada",Los Angeles Lakers @ Phoenix Suns,2025-12-24T02:11:00Z,True,4,0.81502475,0.031691416666666666,0.81502475,False,,2025-12-23 22:30:49 ET
Ausar Thompson,player_rebounds,4.5,120,fanduel,0.4545454545454546,10:29:51 PM ET,190,bovada,0.3448275862068966,10:26:49 PM ET,0.7993730407523512,25.098039215686274,True,56.86,43.14,125.09,125.11,25.09,100.0,"Bet $56.86 Over @ fanduel, $43.14 Under @ bovada",Detroit Pistons @ Sacramento Kings,2025-12-24T03:12:00Z,True,4,0.9816914166666667,4.01502475,4.01502475,True,bovada,2025-12-23 22:30:49 ET
Shaedon Sharpe,player_threes,2.5,175,bovada,0.3636363636363636,10:30:24 PM ET,120,draftkings,0.45454545454545453,10:30:17 PM ET,0.8181818181818181,22.222222222222232,True,44.44,55.56,122.21,122.23,22.21,100.0,"Bet $44.44 Over @ bovada, $55.56 Under @ draftkings",Orlando Magic @ Portland Trail Blazers,2025-12-24T03:12:00Z,True,4,0.43169141666666666,0.5483580833333334,0.5483580833333334,False,,2025-12-23 22:30:49 ET
DeMar DeRozan,player_points,23.5,205,bovada,0.3278688524590163,10:26:49 PM ET,-106,fanduel,0.5145631067961165,10:29:51 PM ET,0.8424319592551328,18.703948611373523,True,38.92,61.08,118.71,118.7,18.7,100.0,"Bet $38.92 Over @ bovada, $61.08 Under @ fanduel",Detroit Pistons @ Sacramento Kings,2025-12-24T03:12:00Z,True,2,4.01502475,0.9816914166666667,4.01502475,True,bovada,2025-12-23 22:30:49 ET
